I dati analizzati provengono dal file: data/1962.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1     3.8361        -7.9699
n.2     4.8627        -7.8241
n.3     3.5651        -7.5831
n.4     3.0217        -7.3373
n.5     0.4916        -7.2337
n.6     0.0000        -7.0325
n.7     0.7012        -6.9217
n.8    -0.3241        -6.7988
n.9    -0.4386        -6.6904
n.10    -0.1048        -6.3482
n.11     0.5771        -6.2253
n.12     2.3361        -6.1422
n.13     0.3494        -6.1072
n.14    -0.1108        -6.0735
n.15     1.0904        -6.0542
n.16    -1.0675        -6.0193
n.17    -0.4169        -5.9157
n.18     1.5434        -5.8470
n.19     2.5169        -5.7988
n.20     1.4434        -5.6964
n.21     1.4651        -5.6590
n.22     1.9735        -5.6193
n.23     1.5482        -5.2892
n.24     0.3506        -5.2386
n.25     0.4771        -5.2048
n.26     1.6205        -5.1072
n.27     3.9952        -5.0349
n.28     2.5193        -5.0145
n.29    -1.1542        -4.9458
n.30    -3.9217        -4.9410
n.31    -3.4000        -4.8964
n.32    -3.7205        -4.8072
n.33    -2.4892        -4.7976
n.34    -2.5602        -4.7530
n.35    -1.2928        -4.7482
n.36     0.1783        -4.7470
n.37     0.9036        -4.7169
n.38     0.1747        -4.6988
n.39     1.8542        -4.6952
n.40     2.4699        -4.6711
n.41     1.7892        -4.6506
n.42     0.8795        -4.6241
n.43    -0.2494        -4.5554
n.44     1.7831        -4.5048
n.45     0.9867        -4.4988
n.46    -1.3663        -4.4096
n.47    -1.8157        -4.4060
n.48     2.2578        -4.3072
n.49     0.8578        -4.2892
n.50     0.4880        -4.0928
n.51     1.1819        -3.9602
n.52     1.7566        -3.9373
n.53    -1.6048        -3.9253
n.54    -2.6386        -3.9217
n.55    -4.2892        -3.9024
n.56    -4.8964        -3.9000
n.57    -3.9602        -3.8422
n.58    -3.2205        -3.8349
n.59    -3.1759        -3.8145
n.60    -1.2819        -3.8108
n.61    -3.3398        -3.7952
n.62    -1.5313        -3.7855
n.63    -2.4060        -3.7783
n.64    -1.4831        -3.7771
n.65    -1.9614        -3.7265
n.66    -2.2410        -3.7217
n.67    -3.3361        -3.7205
n.68    -3.9253        -3.6904
n.69    -4.5048        -3.6759
n.70    -2.8542        -3.6313
n.71    -2.2976        -3.6241
n.72    -2.3940        -3.6145
n.73    -5.0349        -3.5867
n.74    -6.7988        -3.5590
n.75    -6.1072        -3.4000
n.76    -7.8241        -3.3494
n.77    -7.9699        -3.3398
n.78    -7.5831        -3.3361
n.79    -7.3373        -3.3157
n.80    -6.0193        -3.2831
n.81    -5.9157        -3.2205
n.82    -4.6952        -3.2000
n.83    -3.9373        -3.1952
n.84    -4.5554        -3.1940
n.85    -3.8108        -3.1759
n.86    -4.4060        -3.1458
n.87    -2.1241        -3.1205
n.88    -1.8084        -3.0976
n.89    -0.9530        -3.0193
n.90     1.6229        -2.9373
n.91     0.6470        -2.9108
n.92    -0.1928        -2.8795
n.93    -2.7614        -2.8735
n.94    -2.8651        -2.8651
n.95    -2.0072        -2.8542
n.96    -2.5458        -2.8446
n.97    -1.6277        -2.8193
n.98    -1.7867        -2.7892
n.99    -1.9096        -2.7880
n.100    -2.5120        -2.7614
n.101    -3.8422        -2.7313
n.102    -2.5904        -2.7217
n.103    -0.1325        -2.6386
n.104    -5.7988        -2.5904
n.105    -6.6904        -2.5795
n.106    -5.2048        -2.5735
n.107    -5.0145        -2.5602
n.108    -1.9325        -2.5458
n.109    -0.5410        -2.5120
n.110     0.6361        -2.5108
n.111     2.4277        -2.5084
n.112     3.3795        -2.4892
n.113     3.1880        -2.4494
n.114     2.7253        -2.4458
n.115     3.3699        -2.4313
n.116     3.6904        -2.4301
n.117     3.5614        -2.4145
n.118     2.3181        -2.4060
n.119    -1.2904        -2.3940
n.120    -3.2831        -2.3024
n.121    -4.9410        -2.2976
n.122    -3.8349        -2.2542
n.123    -1.6386        -2.2410
n.124    -0.3952        -2.2386
n.125    -1.1277        -2.2253
n.126     0.6036        -2.2241
n.127     2.0783        -2.1651
n.128     3.0096        -2.1277
n.129     1.8036        -2.1241
n.130     1.3060        -2.0337
n.131    -1.8361        -2.0181
n.132    -2.5735        -2.0072
n.133    -4.6711        -1.9614
n.134    -3.1940        -1.9325
n.135    -2.5084        -1.9301
n.136    -1.9301        -1.9253
n.137    -2.2253        -1.9120
n.138    -1.1542        -1.9108
n.139    -3.3157        -1.9096
n.140    -2.0181        -1.8361
n.141    -4.6241        -1.8325
n.142    -2.0337        -1.8277
n.143    -0.0289        -1.8157
n.144    -0.0108        -1.8084
n.145    -3.0193        -1.7988
n.146    -3.6241        -1.7867
n.147    -4.0928        -1.7759
n.148    -2.7313        -1.7699
n.149    -1.7699        -1.6843
n.150    -1.1542        -1.6554
n.151    -0.2867        -1.6386
n.152    -2.1651        -1.6277
n.153    -5.1072        -1.6169
n.154    -5.6964        -1.6048
n.155    -5.2386        -1.5554
n.156    -4.4096        -1.5434
n.157    -4.3072        -1.5313
n.158    -4.7470        -1.5036
n.159    -5.6590        -1.4892
n.160    -4.8072        -1.4855
n.161    -4.7976        -1.4831
n.162    -2.7892        -1.4361
n.163    -2.9108        -1.4361
n.164    -2.8735        -1.4181
n.165    -0.8145        -1.3663
n.166    -0.7723        -1.3482
n.167     0.2807        -1.2928
n.168     1.5771        -1.2904
n.169     2.0434        -1.2819
n.170     2.3253        -1.2398
n.171     0.5988        -1.2277
n.172     0.1169        -1.2157
n.173     1.7446        -1.1542
n.174     2.8988        -1.1542
n.175     4.1289        -1.1542
n.176     2.7518        -1.1277
n.177    -0.9361        -1.0723
n.178    -0.7554        -1.0675
n.179    -3.7783        -0.9771
n.180    -3.0976        -0.9530
n.181    -3.8145        -0.9361
n.182    -4.9458        -0.8904
n.183    -4.4988        -0.8687
n.184    -2.4494        -0.8301
n.185    -2.2241        -0.8145
n.186    -7.0325        -0.7723
n.187    -6.2253        -0.7627
n.188    -5.2892        -0.7554
n.189    -3.3494        -0.7108
n.190    -1.4181        -0.6651
n.191     0.2386        -0.6590
n.192     1.8036        -0.5855
n.193     1.3795        -0.5410
n.194     0.4952        -0.4386
n.195    -0.4169        -0.4289
n.196     0.0952        -0.4169
n.197    -1.9120        -0.4169
n.198    -1.4855        -0.3952
n.199    -2.1277        -0.3675
n.200    -2.8193        -0.3398
n.201    -0.6590        -0.3386
n.202     0.6916        -0.3241
n.203     1.1542        -0.3084
n.204     0.2458        -0.2867
n.205     1.8096        -0.2494
n.206     2.1843        -0.1928
n.207     3.4349        -0.1627
n.208     4.1795        -0.1325
n.209     2.4373        -0.1108
n.210    -1.2277        -0.1048
n.211    -1.6843        -0.1012
n.212    -0.7108        -0.0289
n.213     0.1012        -0.0133
n.214     1.4036        -0.0108
n.215     1.4470         0.0000
n.216     1.8084         0.0205
n.217     1.4771         0.0566
n.218     1.6819         0.0952
n.219     1.5410         0.1012
n.220     0.2145         0.1169
n.221    -0.8301         0.1747
n.222     0.0566         0.1783
n.223     1.2783         0.1831
n.224     2.7000         0.1988
n.225     4.3289         0.2145
n.226     5.2627         0.2386
n.227     4.8422         0.2458
n.228     2.2651         0.2807
n.229     0.5096         0.3084
n.230     1.7265         0.3494
n.231     1.1675         0.3506
n.232     1.8157         0.4301
n.233     1.6289         0.4494
n.234     0.7916         0.4771
n.235     1.6000         0.4880
n.236     2.0398         0.4916
n.237     2.8867         0.4952
n.238     2.5217         0.5096
n.239     4.1530         0.5627
n.240     4.7554         0.5627
n.241     5.9241         0.5771
n.242     4.8639         0.5988
n.243     5.3855         0.6036
n.244     5.3988         0.6145
n.245     5.0253         0.6157
n.246     5.0627         0.6361
n.247     4.7771         0.6470
n.248     2.9265         0.6916
n.249     3.6133         0.7012
n.250     5.1084         0.7398
n.251     4.1530         0.7916
n.252     2.0855         0.8578
n.253     2.4711         0.8795
n.254     4.0747         0.9036
n.255     5.3434         0.9482
n.256     6.2217         0.9831
n.257     1.7253         0.9867
n.258     0.6157         1.0217
n.259     1.0217         1.0253
n.260     0.9831         1.0422
n.261    -2.5795         1.0904
n.262    -3.9024         1.1542
n.263    -3.7771         1.1675
n.264    -3.1205         1.1819
n.265    -2.8795         1.2410
n.266    -2.3024         1.2554
n.267    -1.4361         1.2783
n.268    -2.4145         1.3060
n.269    -2.7217         1.3193
n.270    -3.6904         1.3795
n.271    -2.4458         1.4012
n.272    -0.5855         1.4036
n.273    -1.2157         1.4301
n.274     0.0205         1.4434
n.275     1.0253         1.4470
n.276     1.4301         1.4651
n.277     2.3313         1.4771
n.278     3.3060         1.4819
n.279     3.4711         1.5410
n.280     2.3627         1.5434
n.281     1.3193         1.5482
n.282     1.4012         1.5771
n.283     0.4494         1.5916
n.284    -0.3675         1.6000
n.285    -0.6651         1.6205
n.286     0.3084         1.6229
n.287     0.1831         1.6289
n.288     0.9482         1.6819
n.289     1.2410         1.7253
n.290    -0.1627         1.7265
n.291    -0.9771         1.7446
n.292    -0.8904         1.7566
n.293    -0.3084         1.7831
n.294     0.4301         1.7892
n.295    -0.1012         1.8036
n.296    -1.4892         1.8036
n.297    -1.7759         1.8084
n.298    -1.5554         1.8096
n.299    -0.3398         1.8157
n.300    -1.2398         1.8542
n.301     1.4819         1.9735
n.302    -1.5434         2.0398
n.303    -1.5036         2.0434
n.304    -1.8325         2.0783
n.305    -1.6169         2.0855
n.306    -1.6554         2.1843
n.307    -0.8687         2.2024
n.308    -1.3482         2.2578
n.309     0.7398         2.2651
n.310     2.7349         2.3181
n.311     3.8470         2.3253
n.312     5.5867         2.3313
n.313     2.4639         2.3361
n.314     2.2024         2.3627
n.315     0.5627         2.4277
n.316     1.0422         2.4373
n.317     1.2554         2.4639
n.318    -0.0133         2.4699
n.319     1.5916         2.4711
n.320    -0.3386         2.5169
n.321    -3.7855         2.5193
n.322    -3.7217         2.5217
n.323    -3.6145         2.7000
n.324    -4.7169         2.7253
n.325    -6.0542         2.7349
n.326    -3.9000         2.7518
n.327    -5.8470         2.8867
n.328    -7.2337         2.8988
n.329    -5.6193         2.9265
n.330    -3.7265         3.0096
n.331    -3.5867         3.0217
n.332    -1.9253         3.1880
n.333    -3.5590         3.3060
n.334    -3.2000         3.3699
n.335    -3.6759         3.3795
n.336    -1.9108         3.4349
