I dati analizzati provengono dal file: data/1990.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -4.2639        -5.0361
n.2    -3.6373        -5.0133
n.3    -2.9349        -4.8976
n.4    -2.0783        -4.7530
n.5    -3.2084        -4.7108
n.6    -2.6000        -4.5108
n.7    -2.2988        -4.3361
n.8    -2.4241        -4.2639
n.9    -1.5386        -4.2627
n.10    -1.0048        -4.2446
n.11    -0.7229        -4.2060
n.12    -0.8639        -4.1651
n.13    -1.4506        -4.1325
n.14    -1.7108        -4.0639
n.15    -1.7096        -3.8964
n.16     0.4325        -3.8602
n.17     0.8831        -3.7494
n.18     0.7434        -3.7108
n.19     1.6169        -3.6735
n.20     0.8434        -3.6699
n.21     1.3651        -3.6373
n.22     1.4735        -3.6373
n.23     1.1482        -3.6012
n.24     1.0506        -3.5976
n.25     1.5771        -3.5410
n.26     3.5205        -3.4880
n.27     1.1952        -3.4747
n.28     3.2193        -3.4723
n.29     4.4458        -3.4386
n.30     5.0783        -3.4133
n.31     3.5000        -3.4120
n.32     3.8795        -3.4072
n.33     3.4108        -3.3482
n.34     1.9398        -3.3205
n.35     3.1072        -3.3145
n.36     0.5783        -3.2892
n.37     0.7036        -3.2855
n.38     1.2747        -3.2096
n.39     0.8542        -3.2084
n.40     1.9699        -3.1952
n.41    -0.0108        -3.1241
n.42     0.9795        -3.0590
n.43    -0.2494        -3.0542
n.44    -0.4169        -3.0373
n.45     2.4867        -2.9349
n.46     7.0337        -2.9301
n.47     4.9843        -2.9084
n.48     2.1578        -2.8892
n.49     2.1578        -2.8241
n.50     2.7880        -2.8108
n.51     3.9819        -2.7205
n.52     4.1566        -2.6000
n.53     5.7952        -2.5952
n.54     5.7614        -2.5723
n.55     5.5108        -2.5530
n.56     4.8036        -2.5241
n.57     4.5398        -2.4855
n.58     4.6795        -2.4723
n.59     2.8241        -2.4313
n.60     3.1181        -2.4241
n.61     1.6602        -2.3759
n.62     0.1687        -2.3446
n.63    -1.5060        -2.2988
n.64    -0.5831        -2.2759
n.65     1.1386        -2.1892
n.66     3.4590        -2.1735
n.67     2.5639        -2.1470
n.68     2.6747        -2.1313
n.69     4.0952        -2.0988
n.70     5.3458        -2.0904
n.71     4.0024        -2.0783
n.72     5.9060        -2.0193
n.73     5.1651        -1.9928
n.74     5.2012        -1.9735
n.75     3.4928        -1.9687
n.76     2.8759        -1.9145
n.77     1.6301        -1.9000
n.78     2.5169        -1.8988
n.79     3.8627        -1.8386
n.80     5.5807        -1.8301
n.81     5.9843        -1.7988
n.82     5.2048        -1.7554
n.83     3.6627        -1.7325
n.84     2.7446        -1.7253
n.85    -3.7108        -1.7108
n.86    -4.2060        -1.7096
n.87    -3.1241        -1.6566
n.88    -1.6084        -1.6325
n.89    -0.1530        -1.6301
n.90     0.8229        -1.6120
n.91     1.6470        -1.6084
n.92     1.8072        -1.6048
n.93     0.3386        -1.5867
n.94     1.9349        -1.5590
n.95     0.2928        -1.5494
n.96    -1.4458        -1.5386
n.97    -0.4277        -1.5325
n.98    -0.3867        -1.5060
n.99    -3.2096        -1.5048
n.100    -1.6120        -1.4506
n.101     0.1578        -1.4482
n.102     0.4096        -1.4458
n.103    -1.5325        -1.4434
n.104    -1.7988        -1.4145
n.105    -2.0904        -1.4072
n.106    -1.5048        -1.3590
n.107    -1.9145        -1.3458
n.108    -4.1325        -1.3181
n.109    -3.5410        -1.2578
n.110    -4.0639        -1.2096
n.111    -3.4723        -1.1916
n.112    -3.3205        -1.1855
n.113    -3.4120        -1.1566
n.114    -3.4747        -1.1506
n.115    -1.6301        -1.1482
n.116    -0.2096        -1.1253
n.117     0.2614        -1.0747
n.118     1.7181        -1.0578
n.119     0.6096        -1.0506
n.120     0.6169        -1.0470
n.121     1.6590        -1.0253
n.122     3.5651        -1.0048
n.123     2.4614        -0.9988
n.124     2.3048        -0.9904
n.125     2.1723        -0.9843
n.126     1.9036        -0.9373
n.127     1.3783        -0.9313
n.128     1.9096        -0.9289
n.129     2.4036        -0.9217
n.130     2.4060        -0.9072
n.131     1.9639        -0.8651
n.132     0.7265        -0.8639
n.133     1.7289        -0.8289
n.134     2.2060        -0.7964
n.135     3.3916        -0.7831
n.136     4.1699        -0.7675
n.137     4.9747        -0.7554
n.138     3.2458        -0.7229
n.139     0.3843        -0.7217
n.140     1.1819        -0.7157
n.141     1.7759        -0.6157
n.142     0.8663        -0.6108
n.143     1.1711        -0.5831
n.144    -0.6108        -0.5554
n.145    -0.0193        -0.5193
n.146    -2.8241        -0.5169
n.147    -1.9928        -0.4904
n.148    -2.1313        -0.4867
n.149    -3.6699        -0.4747
n.150    -3.0542        -0.4373
n.151    -1.5867        -0.4277
n.152    -0.3651        -0.4169
n.153    -1.4072        -0.4084
n.154    -0.7964        -0.3867
n.155    -1.8386        -0.3783
n.156    -1.2096        -0.3651
n.157    -0.9072        -0.3012
n.158    -1.0470        -0.2590
n.159    -1.5590        -0.2494
n.160    -3.4072        -0.2386
n.161    -3.5976        -0.2217
n.162    -2.1892        -0.2205
n.163    -4.7108        -0.2096
n.164    -3.6735        -0.1530
n.165    -3.3145        -0.1470
n.166    -2.5723        -0.1422
n.167    -2.0193        -0.1349
n.168    -0.0229        -0.1229
n.169    -1.6566        -0.0783
n.170    -1.0747        -0.0277
n.171     0.1988        -0.0229
n.172    -0.7831        -0.0193
n.173    -0.7554        -0.0108
n.174    -0.3012         0.0157
n.175     0.2289         0.0253
n.176     1.3518         0.0458
n.177     1.4639         0.0542
n.178     1.6446         0.0602
n.179     1.5217         0.0711
n.180     1.4024         0.1133
n.181     2.2855         0.1578
n.182     1.4542         0.1687
n.183    -1.8988         0.1855
n.184    -3.7494         0.1988
n.185    -2.5241         0.2060
n.186    -1.7325         0.2217
n.187    -1.7253         0.2289
n.188    -3.2892         0.2289
n.189    -1.5494         0.2614
n.190     0.6819         0.2928
n.191     0.4386         0.2988
n.192    -3.8964         0.3386
n.193    -2.7205         0.3843
n.194    -1.6048         0.4000
n.195     0.8831         0.4096
n.196     0.8952         0.4265
n.197     1.7880         0.4325
n.198     2.7145         0.4386
n.199    -0.0277         0.4566
n.200    -0.5193         0.4723
n.201    -0.2590         0.4735
n.202     0.9916         0.5145
n.203     2.3542         0.5193
n.204     2.8458         0.5602
n.205     0.9096         0.5783
n.206    -0.6157         0.5988
n.207    -0.8651         0.6000
n.208    -0.2205         0.6096
n.209     0.9373         0.6169
n.210     0.8723         0.6819
n.211     1.0157         0.6976
n.212     0.7892         0.7036
n.213     1.1012         0.7265
n.214     2.7036         0.7434
n.215     2.6470         0.7663
n.216     2.5084         0.7892
n.217     1.8771         0.8229
n.218     1.2819         0.8434
n.219    -3.0590         0.8542
n.220    -3.2855         0.8663
n.221    -1.8301         0.8723
n.222    -1.4434         0.8831
n.223    -0.2217         0.8831
n.224     0.6000         0.8952
n.225     0.2289         0.9096
n.226    -0.9373         0.9373
n.227    -1.0578         0.9795
n.228    -0.1349         0.9916
n.229    -0.4904         1.0157
n.230    -2.1735         1.0205
n.231    -1.6325         1.0398
n.232     0.0157         1.0506
n.233     1.3289         1.0627
n.234    -0.4084         1.0675
n.235     0.4000         1.1012
n.236     1.0398         1.1205
n.237     1.3867         1.1386
n.238     0.2217         1.1482
n.239    -0.1470         1.1711
n.240     1.2554         1.1807
n.241     2.0241         1.1819
n.242     2.5639         1.1952
n.243     1.8855         1.2349
n.244     0.5988         1.2554
n.245     0.0253         1.2747
n.246     1.0627         1.2819
n.247    -0.1229         1.3012
n.248     0.4265         1.3229
n.249    -0.4867         1.3289
n.250    -1.1916         1.3313
n.251    -2.1470         1.3518
n.252    -1.4145         1.3651
n.253    -0.8289         1.3783
n.254    -1.0253         1.3867
n.255    -1.1566         1.4024
n.256    -0.3783         1.4542
n.257    -0.4747         1.4639
n.258    -0.9843         1.4735
n.259    -0.0783         1.5217
n.260    -0.5169         1.5639
n.261     1.1205         1.5771
n.262     0.6976         1.5783
n.263     1.3229         1.5964
n.264     1.9795         1.6169
n.265     3.0205         1.6301
n.266     2.5976         1.6446
n.267     1.5639         1.6470
n.268     0.1855         1.6590
n.269    -0.7217         1.6602
n.270    -0.9904         1.7181
n.271    -1.3458         1.7289
n.272    -1.1855         1.7759
n.273    -0.7157         1.7880
n.274     1.0205         1.8072
n.275     1.9253         1.8771
n.276     2.3301         1.8855
n.277     1.3313         1.9036
n.278     0.2060         1.9096
n.279     0.0711         1.9253
n.280    -0.4373         1.9349
n.281     0.5193         1.9398
n.282    -0.9988         1.9639
n.283    -1.0506         1.9699
n.284    -0.7675         1.9795
n.285     1.2349         2.0241
n.286     3.1084         2.1578
n.287     4.0831         2.1578
n.288     4.2482         2.1723
n.289     3.7410         2.1831
n.290     3.6373         2.2060
n.291     2.7229         2.2855
n.292     2.8096         2.2855
n.293     3.0916         2.3048
n.294     3.6301         2.3301
n.295     0.2988         2.3542
n.296    -2.8892         2.4036
n.297    -2.2759         2.4060
n.298    -1.7554         2.4614
n.299     0.0602         2.4867
n.300     0.5602         2.5084
n.301    -1.3181         2.5169
n.302     0.4566         2.5639
n.303     1.5964         2.5639
n.304     1.0675         2.5831
n.305     2.5831         2.5976
n.306    -0.5554         2.6470
n.307    -1.9687         2.6627
n.308    -3.3482         2.6747
n.309    -3.8602         2.7036
n.310    -4.1651         2.7145
n.311    -4.7530         2.7229
n.312    -5.0133         2.7446
n.313    -5.0361         2.7880
n.314    -4.8976         2.8096
n.315    -3.6373         2.8241
n.316    -1.2578         2.8458
n.317    -2.3446         2.8759
n.318    -3.4133         3.0205
n.319    -2.9084         3.0916
n.320    -0.2386         3.1072
n.321     0.5145         3.1084
n.322     1.5783         3.1181
n.323     2.2855         3.2193
n.324     2.1831         3.2458
n.325     4.2458         3.3916
n.326     6.0000         3.4108
n.327     3.7530         3.4590
n.328     0.7663         3.4928
n.329     1.1807         3.5000
n.330     0.4735         3.5205
n.331     0.1133         3.5651
n.332    -1.1253         3.6301
n.333    -1.3590         3.6373
n.334    -1.9000         3.6627
n.335    -2.3759         3.7410
n.336    -4.5108         3.7530
n.337    -3.1952         3.8627
n.338    -2.5530         3.8795
n.339    -1.1506         3.9819
n.340    -2.5952         4.0024
n.341    -4.2446         4.0831
n.342    -3.4880         4.0952
n.343     0.0542         4.1566
n.344     0.0458         4.1699
n.345     0.4723         4.2458
n.346    -2.4723         4.2482
n.347    -2.4855         4.4458
n.348    -0.9289         4.5398
n.349    -2.9301         4.6795
n.350    -3.6012         4.8036
n.351    -3.0373         4.9747
n.352    -2.8108         4.9843
n.353    -4.3361         5.0783
n.354    -4.2627         5.1651
n.355    -3.4386         5.2012
n.356    -2.4313         5.2048
n.357    -2.0988         5.3458
n.358    -1.9735         5.5108
n.359    -0.9217         5.5807
n.360    -1.1482         5.7614
n.361    -0.1422         5.7952
n.362    -1.4482         5.9060
n.363    -0.9313         5.9843
n.364     1.3012         6.0000
n.365     2.6627         7.0337

Dai dati sono state estrapolate le seguenti variabili.
Media: 0.1795
Varianza: 6.1179
Mediana: 0.1855
