I dati analizzati provengono dal file: data/1968.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -3.6639        -7.1639
n.2    -5.2373        -7.0506
n.3    -4.4349        -6.8855
n.4    -5.1783        -6.0735
n.5    -3.3084        -6.0229
n.6    -1.2000        -5.9904
n.7    -0.2988        -5.9386
n.8     0.4759        -5.9108
n.9    -3.2386        -5.7386
n.10    -2.8048        -5.6542
n.11    -6.0229        -5.6181
n.12    -7.1639        -5.5108
n.13    -7.0506        -5.4157
n.14    -5.9108        -5.4157
n.15    -2.7096        -5.3241
n.16    -0.4675        -5.3145
n.17    -1.0169        -5.2373
n.18     1.7434        -5.2169
n.19     1.0169        -5.1892
n.20    -0.0566        -5.1783
n.21    -0.9349        -5.1325
n.22    -0.1265        -5.0627
n.23     0.6482        -4.9843
n.24    -0.1494        -4.8458
n.25     0.9771        -4.8373
n.26     1.5205        -4.8313
n.27     2.7952        -4.7482
n.28     0.5193        -4.7277
n.29     0.2458        -4.6627
n.30    -0.2217        -4.5855
n.31    -0.6000        -4.5434
n.32    -0.1205        -4.5277
n.33     0.7108        -4.5205
n.34    -0.2602        -4.5120
n.35     0.2072        -4.5000
n.36     0.3783        -4.4988
n.37     1.1036        -4.4349
n.38     2.1747        -4.3904
n.39     1.6542        -4.3711
n.40     1.6699        -4.3337
n.41     1.3892        -4.2735
n.42     0.8795        -4.2590
n.43     2.0506        -4.2542
n.44     1.2831        -4.2373
n.45     3.5867        -4.1217
n.46     3.3337        -4.1072
n.47     2.3843        -4.0855
n.48     0.1578        -4.0542
n.49    -2.1422        -4.0301
n.50    -2.4120        -3.9904
n.51    -0.1181        -3.9651
n.52     0.1566        -3.9602
n.53     0.9952        -3.8325
n.54     2.1614        -3.7590
n.55     2.8108        -3.7145
n.56     3.6036        -3.7000
n.57     1.4398        -3.6843
n.58     0.2795        -3.6711
n.59    -0.8759        -3.6651
n.60    -1.9819        -3.6639
n.61    -2.0398        -3.6530
n.62    -3.0313        -3.6470
n.63    -2.5060        -3.6289
n.64    -1.5831        -3.6217
n.65    -0.3614        -3.5940
n.66    -0.4410        -3.5723
n.67    -1.1361        -3.5193
n.68    -0.8253        -3.5193
n.69    -0.6048        -3.4361
n.70     0.9458        -3.3084
n.71    -1.0976        -3.3084
n.72    -3.5940        -3.3012
n.73    -1.7349        -3.2554
n.74    -2.8988        -3.2386
n.75    -1.5072        -3.1735
n.76    -2.0241        -3.1349
n.77    -0.4699        -3.1229
n.78    -0.3831        -3.0313
n.79    -0.8373        -3.0313
n.80    -0.2193        -3.0229
n.81     0.6843        -3.0000
n.82    -0.1952        -2.9964
n.83     0.3627        -2.9867
n.84     0.8446        -2.9711
n.85     2.9892        -2.8988
n.86     3.8940        -2.8855
n.87     3.8759        -2.8048
n.88     3.4916        -2.7578
n.89     3.2470        -2.7422
n.90     2.6229        -2.7361
n.91     2.6470        -2.7096
n.92     1.8072        -2.6892
n.93     0.6386        -2.6506
n.94    -1.1651        -2.6253
n.95    -1.4072        -2.6169
n.96     0.4542        -2.6145
n.97     0.4723        -2.6084
n.98    -1.1867        -2.5181
n.99    -2.2096        -2.5060
n.100    -2.0120        -2.5012
n.101    -2.1422        -2.5012
n.102    -2.4904        -2.4904
n.103    -3.8325        -2.4795
n.104    -1.9988        -2.4566
n.105    -1.4904        -2.4446
n.106     0.1952        -2.4217
n.107     1.8855        -2.4120
n.108     3.4675        -2.3976
n.109     4.1590        -2.3759
n.110     4.7361        -2.3289
n.111     4.6277        -2.3217
n.112     4.7795        -2.3108
n.113     5.5880        -2.3048
n.114     3.8253        -2.2771
n.115     0.9699        -2.2229
n.116     0.2904        -2.2169
n.117     0.4614        -2.2133
n.118    -0.3819        -2.2108
n.119    -0.5904        -2.2096
n.120    -2.1831        -2.2084
n.121    -1.4410        -2.2024
n.122    -1.4349        -2.1964
n.123     0.2614        -2.1831
n.124     0.1048        -2.1711
n.125     1.5723        -2.1530
n.126     0.8036        -2.1422
n.127    -2.4217        -2.1422
n.128    -4.3904        -2.1301
n.129    -2.0964        -2.0964
n.130    -0.4940        -2.0916
n.131     0.2639        -2.0723
n.132    -1.4735        -2.0398
n.133    -2.9711        -2.0241
n.134    -1.1940        -2.0120
n.135    -0.0084        -1.9988
n.136     0.8699        -1.9819
n.137     1.1747        -1.9566
n.138    -4.0542        -1.8988
n.139    -5.4157        -1.8916
n.140    -5.6181        -1.8759
n.141    -5.3241        -1.8747
n.142    -4.3337        -1.8747
n.143    -3.6289        -1.8482
n.144    -2.2108        -1.8470
n.145    -1.2193        -1.8108
n.146    -1.1241        -1.8012
n.147    -0.5928        -1.7988
n.148    -0.1313        -1.7783
n.149     0.2301        -1.7747
n.150     0.0458        -1.7349
n.151     0.1133        -1.7145
n.152    -3.9651        -1.6831
n.153    -4.1072        -1.5831
n.154    -2.1964        -1.5783
n.155    -1.2386        -1.5072
n.156     0.4904        -1.5012
n.157    -0.0072        -1.4904
n.158    -0.8470        -1.4904
n.159    -0.6590        -1.4735
n.160    -0.3072        -1.4410
n.161    -2.3976        -1.4349
n.162    -5.1892        -1.4205
n.163    -5.5108        -1.4108
n.164    -6.0735        -1.4072
n.165    -3.7145        -1.4024
n.166    -3.5723        -1.3795
n.167    -3.5193        -1.3699
n.168    -3.0229        -1.3373
n.169    -1.9566        -1.2590
n.170    -1.8747        -1.2386
n.171    -2.5012        -1.2193
n.172    -1.6831        -1.2000
n.173    -3.2554        -1.1952
n.174    -3.3012        -1.1940
n.175    -2.1711        -1.1867
n.176    -1.8482        -1.1843
n.177    -0.3361        -1.1651
n.178     0.1446        -1.1554
n.179     1.0217        -1.1361
n.180     2.1024        -1.1241
n.181     2.9855        -1.0976
n.182     3.9542        -1.0337
n.183     2.6012        -1.0169
n.184     1.2506        -0.9349
n.185    -0.2241        -0.9217
n.186     0.3675        -0.9145
n.187    -0.7253        -0.9048
n.188    -0.5892        -0.8783
n.189     1.1506        -0.8759
n.190     2.5819        -0.8470
n.191     3.3386        -0.8373
n.192     2.8036        -0.8253
n.193     0.3795        -0.7735
n.194    -0.9048        -0.7470
n.195    -2.6169        -0.7289
n.196    -2.3048        -0.7265
n.197    -4.5120        -0.7253
n.198    -6.8855        -0.7133
n.199    -4.5277        -0.7000
n.200    -3.5193        -0.6952
n.201    -4.2590        -0.6590
n.202    -3.3084        -0.6373
n.203    -4.8458        -0.6048
n.204    -5.6542        -0.6000
n.205    -5.9904        -0.5928
n.206    -5.4157        -0.5904
n.207    -3.6651        -0.5892
n.208    -4.5205        -0.5771
n.209    -5.0627        -0.5157
n.210    -4.7277        -0.4940
n.211    -3.6843        -0.4759
n.212    -2.3108        -0.4699
n.213    -1.7988        -0.4675
n.214    -2.9964        -0.4482
n.215    -3.6530        -0.4410
n.216    -2.0916        -0.3831
n.217    -2.2229        -0.3819
n.218    -2.5181        -0.3747
n.219    -3.7590        -0.3614
n.220    -4.5855        -0.3458
n.221    -4.0301        -0.3361
n.222    -4.5434        -0.3181
n.223    -4.1217        -0.3072
n.224    -3.0000        -0.2988
n.225    -4.3711        -0.2699
n.226    -4.8373        -0.2602
n.227    -2.7578        -0.2241
n.228    -3.1349        -0.2217
n.229    -3.9904        -0.2193
n.230    -4.2735        -0.2193
n.231    -5.1325        -0.1952
n.232    -4.9843        -0.1494
n.233    -3.6711        -0.1313
n.234    -2.2084        -0.1265
n.235    -3.7000        -0.1205
n.236    -3.9602        -0.1181
n.237    -2.2133        -0.0867
n.238    -1.5783        -0.0627
n.239    -1.8470        -0.0566
n.240    -2.4446        -0.0434
n.241    -1.8759        -0.0398
n.242    -2.7361        -0.0277
n.243    -2.6145        -0.0084
n.244    -1.8012        -0.0072
n.245    -1.7747         0.0145
n.246    -1.3373         0.0458
n.247    -3.1229         0.0602
n.248    -3.1735         0.0639
n.249    -2.9867         0.1048
n.250    -1.8916         0.1133
n.251    -0.7470         0.1446
n.252    -0.9145         0.1566
n.253    -0.7289         0.1578
n.254    -2.6253         0.1952
n.255    -2.4566         0.2072
n.256    -1.7783         0.2301
n.257    -1.8747         0.2458
n.258    -1.1843         0.2614
n.259    -0.8783         0.2639
n.260    -2.2169         0.2795
n.261    -2.4795         0.2904
n.262    -2.2024         0.2916
n.263    -2.2771         0.3024
n.264    -1.4205         0.3627
n.265     0.9205         0.3675
n.266    -1.4024         0.3783
n.267     0.0639         0.3795
n.268    -1.7145         0.4060
n.269    -2.3217         0.4542
n.270    -1.4904         0.4554
n.271    -0.3458         0.4554
n.272     0.0145         0.4614
n.273    -0.5157         0.4723
n.274    -1.3795         0.4747
n.275    -0.3747         0.4759
n.276    -0.2699         0.4904
n.277     0.5313         0.5193
n.278     0.4060         0.5313
n.279     1.3711         0.5494
n.280     1.6627         0.6096
n.281     1.3193         0.6386
n.282     1.7012         0.6482
n.283     0.5494         0.6843
n.284     1.6325         0.7108
n.285     1.8349         0.7867
n.286     1.8084         0.8036
n.287     2.5831         0.8446
n.288     4.1482         0.8470
n.289     1.4410         0.8699
n.290    -0.0627         0.8795
n.291    -0.5771         0.8964
n.292     0.6096         0.9205
n.293     0.2916         0.9458
n.294    -1.3699         0.9699
n.295    -2.5012         0.9771
n.296    -2.6892         0.9952
n.297    -2.3759         1.0169
n.298    -1.1554         1.0217
n.299    -0.0398         1.0398
n.300     0.0602         1.1036
n.301    -0.3181         1.1506
n.302    -0.0434         1.1747
n.303     0.8964         1.2506
n.304     2.8675         1.2831
n.305     3.2831         1.3193
n.306     4.9446         1.3711
n.307     4.7313         1.3892
n.308     1.8518         1.4398
n.309     1.0398         1.4410
n.310     1.7349         1.5205
n.311     0.8470         1.5723
n.312     0.7867         1.6325
n.313     1.9639         1.6542
n.314     0.3024         1.6627
n.315     1.6627         1.6627
n.316     1.7422         1.6699
n.317     0.4554         1.7012
n.318    -0.7133         1.7349
n.319    -2.6084         1.7422
n.320    -5.7386         1.7434
n.321    -4.0855         1.7458
n.322    -3.6217         1.8072
n.323    -5.3145         1.8084
n.324    -5.2169         1.8349
n.325    -4.2542         1.8518
n.326    -4.5000         1.8855
n.327    -3.6470         1.9639
n.328    -1.0337         2.0506
n.329    -0.2193         2.1024
n.330    -0.7265         2.1120
n.331    -0.0867         2.1614
n.332     0.4747         2.1747
n.333    -1.2590         2.3843
n.334    -0.7000         2.5819
n.335    -0.4759         2.5831
n.336    -1.4108         2.6012
n.337    -0.6952         2.6229
n.338    -2.1530         2.6470
n.339    -2.6506         2.7952
n.340    -1.1952         2.8036
n.341     0.4554         2.8108
n.342     2.1120         2.8675
n.343     3.4542         2.9855
n.344     1.7458         2.9892
n.345    -0.0277         3.2470
n.346    -2.0723         3.2831
n.347    -2.8855         3.3337
n.348    -2.3289         3.3386
n.349    -2.1301         3.4542
n.350    -1.5012         3.4675
n.351    -0.6373         3.4916
n.352    -1.8108         3.5867
n.353    -3.4361         3.6036
n.354    -4.6627         3.8253
n.355    -5.9386         3.8759
n.356    -3.0313         3.8940
n.357    -1.8988         3.9542
n.358    -0.7735         4.1482
n.359    -0.9217         4.1590
n.360    -0.4482         4.6277
n.361    -2.7422         4.7313
n.362    -4.7482         4.7361
n.363    -4.8313         4.7795
n.364    -4.4988         4.9446
n.365    -4.2373         5.5880

Dai dati sono state estrapolate le seguenti variabili.
Media: -1.0643
Varianza: 6.1575
Mediana: -1.0169
