I dati analizzati provengono dal file: data/1958.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -2.4639       -11.3940
n.2    -1.9373        -8.8542
n.3    -1.2349        -8.2904
n.4    -0.5783        -8.0422
n.5    -0.4084        -8.0349
n.6    -0.2000        -7.5976
n.7     1.4012        -6.6952
n.8     1.8759        -6.6048
n.9    -0.5386        -6.4325
n.10    -0.5048        -6.3554
n.11    -0.6229        -5.8253
n.12    -0.2639        -5.7325
n.13    -0.0506        -5.5373
n.14    -0.1108        -5.3458
n.15     1.0904        -5.3157
n.16     0.5325        -5.2554
n.17    -0.0169        -5.1988
n.18    -0.1566        -5.1241
n.19    -0.3831        -5.1241
n.20     0.8434        -4.9699
n.21    -0.5349        -4.8988
n.22    -2.8265        -4.8711
n.23    -1.4518        -4.8181
n.24    -2.3494        -4.8120
n.25    -2.7229        -4.7361
n.26    -2.4795        -4.6506
n.27    -1.4048        -4.5494
n.28    -2.1807        -4.5410
n.29    -1.9542        -4.4880
n.30    -0.5217        -4.4831
n.31    -0.5000        -4.4446
n.32    -0.3205        -4.4096
n.33    -0.2892        -4.4084
n.34    -0.6602        -4.3952
n.35    -0.8928        -4.3048
n.36     0.0783        -4.2000
n.37     1.0036        -4.0193
n.38     0.7747        -4.0072
n.39     2.1542        -3.9325
n.40     4.6699        -3.8530
n.41     5.2892        -3.8145
n.42     5.1795        -3.7867
n.43     6.1506        -3.7108
n.44     6.8831        -3.7084
n.45     6.9867        -3.6783
n.46     6.1337        -3.3928
n.47     5.6843        -3.3458
n.48     6.6578        -3.3012
n.49     1.7578        -3.2904
n.50    -2.8120        -3.2904
n.51    -4.8181        -3.2735
n.52    -1.8434        -3.2614
n.53    -0.2048        -3.2145
n.54    -1.7386        -3.1542
n.55    -0.9892        -3.1482
n.56    -0.6964        -3.0892
n.57     1.8398        -3.0892
n.58    -1.6205        -3.0759
n.59    -1.3759        -3.0542
n.60    -2.4819        -3.0060
n.61    -2.3398        -2.9747
n.62     0.4687        -2.9253
n.63     0.0940        -2.8988
n.64    -0.7831        -2.8976
n.65    -0.1614        -2.8554
n.66    -0.8410        -2.8265
n.67    -2.6361        -2.8120
n.68    -5.8253        -2.7711
n.69    -6.6048        -2.7229
n.70    -8.8542        -2.7157
n.71    -7.5976        -2.6373
n.72   -11.3940        -2.6361
n.73    -8.0349        -2.6277
n.74    -5.1988        -2.6145
n.75    -4.0072        -2.6012
n.76    -5.1241        -2.5602
n.77    -4.9699        -2.5482
n.78    -4.4831        -2.5120
n.79    -2.6373        -2.4819
n.80    -4.0193        -2.4795
n.81    -5.3157        -2.4639
n.82    -6.6952        -2.4458
n.83    -5.5373        -2.3916
n.84    -5.2554        -2.3892
n.85    -3.7108        -2.3494
n.86    -3.0060        -2.3398
n.87    -0.2241        -2.3036
n.88     0.2916        -2.2229
n.89     1.1470        -2.2108
n.90     0.9229        -2.1807
n.91    -0.8530        -2.1651
n.92    -3.3928        -2.1325
n.93    -3.2614        -2.0687
n.94    -1.3651        -2.0470
n.95    -1.9072        -2.0458
n.96    -3.3458        -2.0301
n.97    -1.8277        -2.0133
n.98    -3.7867        -1.9952
n.99    -4.4096        -1.9904
n.100    -4.8120        -1.9723
n.101    -8.0422        -1.9699
n.102    -8.2904        -1.9590
n.103    -6.4325        -1.9554
n.104    -4.8988        -1.9542
n.105    -3.2904        -1.9373
n.106    -4.3048        -1.9181
n.107    -3.2145        -1.9072
n.108    -5.7325        -1.8976
n.109    -4.5410        -1.8783
n.110    -1.7639        -1.8602
n.111    -0.7723        -1.8554
n.112    -1.7205        -1.8434
n.113    -2.5120        -1.8277
n.114    -2.9747        -1.7843
n.115    -1.6301        -1.7639
n.116    -0.7096        -1.7398
n.117    -0.6386        -1.7386
n.118    -1.1819        -1.7205
n.119    -0.7904        -1.6301
n.120    -0.8831        -1.6205
n.121    -0.6410        -1.5855
n.122     0.4651        -1.5398
n.123     1.0614        -1.5193
n.124     1.5048        -1.4831
n.125     0.9723        -1.4771
n.126     1.1036        -1.4518
n.127     1.3783        -1.4133
n.128     3.1096        -1.4048
n.129     3.4036        -1.3759
n.130     3.3060        -1.3651
n.131     3.3639        -1.3627
n.132     3.8265        -1.3012
n.133     4.6289        -1.2494
n.134     4.5060        -1.2349
n.135     1.3916        -1.2169
n.136    -2.0301        -1.1819
n.137    -0.5253        -1.1458
n.138    -0.3542        -1.1446
n.139     1.3843        -1.0855
n.140     2.5819        -1.0434
n.141     3.1759        -1.0181
n.142     1.1663        -1.0169
n.143     0.7711        -0.9892
n.144     0.1892        -0.9614
n.145     0.2807        -0.8928
n.146     1.6759        -0.8867
n.147     0.8072        -0.8855
n.148     0.3687        -0.8831
n.149    -0.1699        -0.8723
n.150    -0.8542        -0.8542
n.151    -0.8867        -0.8530
n.152     0.7349        -0.8410
n.153     1.9928        -0.8361
n.154     1.8036        -0.8205
n.155     1.4614        -0.7904
n.156     0.9904        -0.7831
n.157     1.4928        -0.7723
n.158     1.2530        -0.7301
n.159     1.1410        -0.7301
n.160     2.4928        -0.7229
n.161    -1.8976        -0.7096
n.162    -3.0892        -0.6964
n.163    -2.2108        -0.6602
n.164    -3.2735        -0.6410
n.165    -2.6145        -0.6386
n.166    -1.9723        -0.6229
n.167    -1.5193        -0.5783
n.168    -0.7229        -0.5422
n.169     0.0434        -0.5386
n.170     0.2253        -0.5349
n.171    -1.3012        -0.5253
n.172    -1.4831        -0.5217
n.173    -2.8554        -0.5048
n.174    -2.6012        -0.5000
n.175    -4.8711        -0.4867
n.176    -3.1482        -0.4711
n.177    -4.7361        -0.4530
n.178    -6.3554        -0.4157
n.179    -3.6783        -0.4084
n.180    -2.8976        -0.3976
n.181    -3.8145        -0.3831
n.182    -2.4458        -0.3542
n.183    -2.8988        -0.3205
n.184    -4.5494        -0.3181
n.185    -5.1241        -0.2964
n.186    -3.9325        -0.2892
n.187    -2.9253        -0.2639
n.188    -2.3892        -0.2361
n.189    -1.2494        -0.2241
n.190    -1.0181        -0.2205
n.191    -0.9614        -0.2048
n.192    -0.2964        -0.2000
n.193    -0.2205        -0.1783
n.194     0.2952        -0.1699
n.195     0.8831        -0.1614
n.196     2.1952        -0.1566
n.197     1.6880        -0.1373
n.198     0.7145        -0.1373
n.199     0.2723        -0.1108
n.200     0.0807        -0.0916
n.201     0.3410        -0.0735
n.202     0.2916        -0.0566
n.203    -2.0458        -0.0506
n.204    -3.1542        -0.0169
n.205    -1.9904         0.0253
n.206    -2.7157         0.0253
n.207    -2.1651         0.0434
n.208    -0.8205         0.0783
n.209     0.2373         0.0807
n.210     1.4723         0.0940
n.211     2.8157         0.0976
n.212     4.1892         0.1747
n.213     5.1012         0.1892
n.214     5.0036         0.1892
n.215     2.3470         0.2084
n.216    -2.3916         0.2253
n.217    -2.2229         0.2349
n.218    -1.9181         0.2373
n.219    -1.9590         0.2723
n.220    -1.5855         0.2807
n.221    -0.7301         0.2916
n.222     0.9566         0.2916
n.223     1.9783         0.2952
n.224     0.6000         0.3410
n.225    -0.4711         0.3627
n.226    -0.1373         0.3687
n.227     1.1422         0.3988
n.228     1.6651         0.4614
n.229     1.9096         0.4651
n.230     1.3265         0.4687
n.231     1.4675         0.4771
n.232    -1.7843         0.4831
n.233    -2.7711         0.4855
n.234    -4.4084         0.5325
n.235    -4.2000         0.5711
n.236    -2.5602         0.5711
n.237    -2.0133         0.6000
n.238    -1.8783         0.6855
n.239    -2.0470         0.7096
n.240    -1.1446         0.7145
n.241     1.3241         0.7349
n.242     3.1639         0.7422
n.243     3.1855         0.7711
n.244     0.3988         0.7747
n.245     0.0253         0.8072
n.246     0.3627         0.8157
n.247     0.4771         0.8434
n.248    -0.0735         0.8831
n.249    -0.4867         0.9060
n.250     0.2084         0.9229
n.251     1.2530         0.9566
n.252     1.8855         0.9627
n.253     1.3711         0.9723
n.254     0.1747         0.9904
n.255    -0.0566         1.0036
n.256    -0.1783         1.0458
n.257     0.0253         1.0614
n.258     0.8157         1.0904
n.259     1.5217         1.1036
n.260     1.6831         1.1410
n.261     1.6205         1.1422
n.262     1.4976         1.1470
n.263     2.2229         1.1518
n.264     2.2795         1.1663
n.265     1.5205         1.1916
n.266     0.0976         1.2205
n.267    -0.8361         1.2301
n.268     0.4855         1.2518
n.269     1.8783         1.2530
n.270     0.7096         1.2530
n.271    -1.1458         1.3241
n.272    -1.0855         1.3241
n.273    -0.4157         1.3253
n.274     1.2205         1.3265
n.275     1.3253         1.3711
n.276     1.2301         1.3783
n.277     1.6313         1.3843
n.278     0.9060         1.3916
n.279     0.5711         1.4012
n.280    -0.1373         1.4614
n.281     1.9193         1.4675
n.282     1.5012         1.4723
n.283     2.8494         1.4928
n.284     2.8325         1.4976
n.285     2.0349         1.5012
n.286    -0.0916         1.5048
n.287    -1.2169         1.5205
n.288     1.9482         1.5217
n.289     2.0410         1.6205
n.290    -1.3627         1.6313
n.291    -1.4771         1.6651
n.292    -3.2904         1.6759
n.293    -3.7084         1.6831
n.294    -1.9699         1.6880
n.295    -3.3012         1.7578
n.296    -3.0892         1.8036
n.297    -3.0759         1.8398
n.298    -1.9554         1.8759
n.299    -1.5398         1.8783
n.300    -1.7398         1.8855
n.301    -0.3181         1.8867
n.302    -1.0434         1.9096
n.303    -2.3036         1.9145
n.304    -2.1325         1.9193
n.305    -1.0169         1.9410
n.306    -1.8554         1.9482
n.307    -2.0687         1.9783
n.308    -2.5482         1.9928
n.309    -1.8602         2.0349
n.310     0.2349         2.0410
n.311    -0.4530         2.0747
n.312    -1.4133         2.0783
n.313    -0.2361         2.1542
n.314    -0.3976         2.1952
n.315     0.9627         2.2229
n.316     0.7422         2.2795
n.317     2.4554         2.3470
n.318     1.8867         2.4554
n.319     1.1916         2.4783
n.320     0.4614         2.4928
n.321     1.9145         2.5819
n.322     2.4783         2.6012
n.323     0.6855         2.7000
n.324     0.4831         2.7988
n.325     1.0458         2.8157
n.326     3.5000         2.8325
n.327     3.0530         2.8494
n.328     3.9663         3.0530
n.329     3.5807         3.0687
n.330     4.9735         3.1096
n.331     3.4133         3.1639
n.332     2.0747         3.1759
n.333     1.9410         3.1855
n.334     2.7000         3.3060
n.335     1.3241         3.3639
n.336     0.1892         3.4036
n.337    -1.9952         3.4133
n.338    -3.8530         3.5000
n.339    -4.6506         3.5639
n.340    -4.3952         3.5807
n.341    -4.4446         3.5892
n.342    -4.4880         3.6627
n.343    -5.3458         3.7627
n.344    -3.0542         3.8265
n.345    -2.6277         3.8265
n.346    -0.8723         3.9663
n.347    -0.8855         4.1012
n.348     0.5711         4.1892
n.349    -0.7301         4.5060
n.350     2.7988         4.6289
n.351     3.7627         4.6699
n.352     3.5892         4.9687
n.353     3.5639         4.9735
n.354     5.1373         5.0036
n.355     5.6614         5.1012
n.356     4.9687         5.1373
n.357     4.1012         5.1795
n.358     3.8265         5.2892
