I dati analizzati provengono dal file: data/1978.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1     0.4361        -6.6361
n.2     0.5627        -6.6157
n.3     0.6651        -6.5253
n.4     1.0217        -6.3422
n.5     1.3916        -6.2482
n.6    -2.4000        -6.1711
n.7    -2.2988        -6.1554
n.8    -1.5241        -6.0663
n.9    -1.7386        -5.9880
n.10    -0.7048        -5.8048
n.11    -0.5229        -5.7434
n.12     1.1361        -5.5494
n.13     4.4494        -5.5446
n.14     4.9892        -5.4892
n.15     4.5904        -5.3566
n.16     3.2325        -5.3325
n.17     2.4831        -5.2735
n.18     0.7434        -5.0855
n.19     0.9169        -5.0783
n.20     1.6434        -5.0747
n.21     1.8651        -4.9952
n.22     0.9735        -4.9373
n.23     0.4482        -4.9217
n.24     0.3506        -4.9108
n.25     0.3771        -4.8795
n.26     0.1205        -4.8229
n.27    -0.9048        -4.8145
n.28    -0.2807        -4.7530
n.29    -0.7542        -4.7181
n.30    -3.8217        -4.6940
n.31    -3.4000        -4.6386
n.32    -2.8205        -4.6181
n.33    -1.8892        -4.5711
n.34    -1.5602        -4.5578
n.35    -2.6928        -4.5458
n.36    -4.3217        -4.5458
n.37    -3.3964        -4.5301
n.38    -3.0253        -4.5193
n.39    -2.0458        -4.4952
n.40    -2.3301        -4.3976
n.41    -2.9108        -4.3422
n.42    -2.3205        -4.3325
n.43    -2.0494        -4.3217
n.44    -3.6169        -4.3145
n.45    -3.6133        -4.3000
n.46    -6.0663        -4.2988
n.47    -6.6157        -4.2711
n.48    -6.3422        -4.2542
n.49    -4.3422        -4.1373
n.50    -3.0120        -4.0747
n.51    -4.6181        -3.9470
n.52    -3.2434        -3.9241
n.53    -5.8048        -3.9012
n.54    -4.6386        -3.8217
n.55    -2.0892        -3.7952
n.56    -2.2964        -3.7747
n.57    -2.3602        -3.7723
n.58    -1.1205        -3.7084
n.59     0.7241        -3.6169
n.60     0.6181        -3.6145
n.61     2.7602        -3.6133
n.62     3.2687        -3.5759
n.63     2.2940        -3.5614
n.64     3.1169        -3.5289
n.65     2.0386        -3.5012
n.66     2.3590        -3.4988
n.67     2.6639        -3.4904
n.68     3.1747        -3.4831
n.69     2.8952        -3.4458
n.70     2.4458        -3.4373
n.71     3.3024        -3.4000
n.72     1.7060        -3.3964
n.73    -0.4349        -3.3904
n.74     0.7012        -3.3735
n.75    -0.8072        -3.3133
n.76    -0.8241        -3.2831
n.77    -2.0699        -3.2590
n.78    -3.2831        -3.2434
n.79    -2.8373        -3.2145
n.80    -0.9193        -3.2000
n.81    -1.4157        -3.1976
n.82    -3.7952        -3.1048
n.83    -4.1373        -3.0651
n.84    -1.4554        -3.0446
n.85    -1.5108        -3.0253
n.86    -2.8060        -3.0120
n.87    -0.7241        -3.0084
n.88     0.1916        -3.0012
n.89     0.5470        -2.9530
n.90    -0.4771        -2.9506
n.91    -1.1530        -2.9361
n.92    -0.6928        -2.9301
n.93    -0.7614        -2.9108
n.94    -0.2651        -2.8964
n.95    -0.8072        -2.8964
n.96    -0.9458        -2.8904
n.97    -1.2277        -2.8578
n.98    -2.5867        -2.8373
n.99    -0.9096        -2.8217
n.100    -0.4120        -2.8205
n.101    -1.9422        -2.8108
n.102    -1.4904        -2.8060
n.103    -1.4325        -2.7602
n.104    -4.2988        -2.7494
n.105    -3.3904        -2.7253
n.106    -3.1048        -2.7096
n.107    -4.8145        -2.6928
n.108    -5.3325        -2.6446
n.109    -2.4410        -2.6386
n.110    -1.2639        -2.6373
n.111    -2.3723        -2.6181
n.112    -2.2205        -2.5867
n.113    -1.8120        -2.5554
n.114    -2.2747        -2.5337
n.115    -1.9301        -2.4699
n.116    -2.7096        -2.4590
n.117    -2.2386        -2.4410
n.118    -1.2819        -2.4229
n.119    -0.7904        -2.4000
n.120    -1.1831        -2.3928
n.121    -2.1410        -2.3723
n.122    -0.0349        -2.3602
n.123    -1.6386        -2.3590
n.124    -0.2952        -2.3434
n.125    -2.3277        -2.3349
n.126    -2.8964        -2.3301
n.127    -2.8217        -2.3277
n.128    -1.6904        -2.3253
n.129    -1.1964        -2.3229
n.130    -1.5940        -2.3205
n.131    -1.6361        -2.3193
n.132    -5.2735        -2.2988
n.133    -6.1711        -2.2964
n.134    -4.6940        -2.2747
n.135    -3.7084        -2.2386
n.136    -2.9301        -2.2241
n.137    -2.7253        -2.2205
n.138    -1.9542        -2.2193
n.139    -2.2157        -2.2169
n.140    -1.0181        -2.2157
n.141    -2.2241        -2.1964
n.142    -2.5337        -2.1867
n.143    -3.5289        -2.1627
n.144    -2.8108        -2.1410
n.145    -2.3193        -2.1337
n.146    -1.6241        -2.1193
n.147    -2.3928        -2.1157
n.148    -2.0313        -2.1145
n.149    -0.6699        -2.0892
n.150    -1.0542        -2.0699
n.151    -1.4867        -2.0494
n.152    -0.3651        -2.0458
n.153     0.0928        -2.0313
n.154     0.7036        -2.0289
n.155     1.3614        -2.0217
n.156     1.2904        -2.0205
n.157     1.1928        -2.0036
n.158     0.9530        -1.9759
n.159     1.2410        -1.9651
n.160     1.7928        -1.9542
n.161     2.7024        -1.9422
n.162     0.7108        -1.9301
n.163     0.2892        -1.9133
n.164    -3.3735        -1.9084
n.165    -4.3145        -1.8892
n.166    -3.7723        -1.8795
n.167    -4.5193        -1.8735
n.168    -4.8229        -1.8542
n.169    -5.3566        -1.8398
n.170    -3.7747        -1.8120
n.171    -3.5012        -1.7988
n.172    -3.4831        -1.7916
n.173    -2.5554        -1.7747
n.174    -3.0012        -1.7386
n.175    -4.2711        -1.7361
n.176    -6.2482        -1.7157
n.177    -6.6361        -1.7108
n.178    -6.1554        -1.6904
n.179    -5.0783        -1.6554
n.180    -4.3976        -1.6482
n.181    -3.6145        -1.6386
n.182    -3.4458        -1.6361
n.183    -3.4988        -1.6241
n.184    -2.7494        -1.5940
n.185    -3.9241        -1.5602
n.186    -4.3325        -1.5386
