I dati analizzati provengono dal file: data/1973.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1     3.6361        -7.0952
n.2     4.7627        -6.1108
n.3     4.8651        -5.9530
n.4     3.7217        -5.6554
n.5     4.0916        -5.5398
n.6     1.8000        -5.3157
n.7     0.6012        -5.3012
n.8     0.3759        -5.2590
n.9    -0.8386        -4.9398
n.10    -0.4048        -4.8627
n.11    -1.1229        -4.8542
n.12    -1.7639        -4.7205
n.13    -2.7506        -4.6181
n.14    -2.4108        -4.4988
n.15    -1.4096        -4.2843
n.16    -1.4675        -4.2651
n.17    -1.9169        -4.2554
n.18     1.9434        -4.2048
n.19     0.7169        -4.1325
n.20     2.7434        -4.1253
n.21     1.5651        -4.0976
n.22     3.0735        -4.0108
n.23     2.6482        -4.0096
n.24     0.2506        -3.9542
n.25    -1.1229        -3.8723
n.26    -0.8795        -3.8590
n.27    -1.2048        -3.8434
n.28     0.6193        -3.8277
n.29     1.4458        -3.8133
n.30     1.7783        -3.7759
n.31     0.9000        -3.7542
n.32     0.9795        -3.7422
n.33     0.2108        -3.6120
n.34     0.8398        -3.5602
n.35     0.5072        -3.5277
n.36     0.9783        -3.4530
n.37     1.2036        -3.4205
n.38     1.3747        -3.3964
n.39     1.6542        -3.3723
n.40     2.2699        -3.3458
n.41     2.7892        -3.3253
n.42     0.3795        -3.3084
n.43     0.1506        -3.3072
n.44    -2.1169        -3.2639
n.45    -1.6133        -3.2349
n.46    -1.3663        -3.2000
n.47    -1.2157        -3.1904
n.48    -0.9422        -3.1795
n.49    -0.5422        -3.1687
n.50    -1.9120        -3.0855
n.51    -2.0181        -3.0831
n.52    -1.0434        -3.0120
n.53     1.4952        -2.9940
n.54    -0.2386        -2.9759
n.55    -1.5892        -2.9036
n.56    -1.5964        -2.8988
n.57    -3.5602        -2.8988
n.58    -2.5205        -2.8976
n.59    -2.9759        -2.8867
n.60    -2.8819        -2.8819
n.61    -2.5398        -2.8735
n.62    -0.6313        -2.8699
n.63     1.1940        -2.8482
n.64     2.3169        -2.8241
n.65     2.9386        -2.8048
n.66     0.8590        -2.7904
n.67     0.6639        -2.7506
n.68    -1.3253        -2.6952
n.69    -4.2048        -2.6542
n.70    -4.8542        -2.5916
n.71    -4.0976        -2.5892
n.72    -2.9940        -2.5711
n.73    -3.2349        -2.5506
n.74    -2.8988        -2.5410
n.75    -3.3072        -2.5398
n.76    -2.8241        -2.5373
n.77    -2.8699        -2.5205
n.78    -0.8831        -2.5157
n.79    -0.3373        -2.4904
n.80    -1.3193        -2.4747
n.81    -1.3157        -2.4699
n.82     0.0048        -2.4108
n.83    -0.9373        -2.3916
n.84    -1.1554        -2.3819
n.85    -0.6108        -2.3711
n.86     1.0940        -2.3145
n.87     1.8759        -2.2904
n.88     1.9916        -2.2458
n.89     1.2470        -2.2361
n.90     1.6229        -2.2169
n.91     1.8470        -2.2072
n.92     1.9072        -2.2048
n.93    -0.8614        -2.1169
n.94    -2.0651        -2.0867
n.95    -2.2072        -2.0651
n.96    -0.4458        -2.0361
n.97     0.5723        -2.0241
n.98    -2.8867        -2.0181
n.99    -4.0096        -2.0169
n.100    -3.0120        -2.0108
n.101    -3.7422        -1.9590
n.102    -2.7904        -1.9169
n.103    -4.1325        -1.9145
n.104    -4.4988        -1.9120
n.105    -3.1904        -1.9012
n.106    -2.8048        -1.8084
n.107    -1.6145        -1.8024
n.108    -0.8325        -1.7855
n.109    -2.5410        -1.7831
n.110    -3.2639        -1.7639
n.111    -3.8723        -1.7554
n.112    -4.7205        -1.7373
n.113    -3.6120        -1.7325
n.114    -2.4747        -1.6904
n.115    -1.0301        -1.6446
n.116    -0.8096        -1.6217
n.117    -0.2386        -1.6193
n.118    -2.3819        -1.6181
n.119    -2.2904        -1.6145
n.120    -1.7831        -1.6133
n.121     0.7590        -1.5964
n.122     0.0651        -1.5892
n.123     1.4614        -1.4904
n.124     3.7048        -1.4675
n.125     3.3723        -1.4470
n.126     2.3036        -1.4181
n.127     0.5783        -1.4169
n.128    -0.9904        -1.4096
n.129    -0.9964        -1.3940
n.130    -1.3940        -1.3663
n.131    -2.2361        -1.3361
n.132    -2.8735        -1.3289
n.133    -2.3711        -1.3253
n.134    -1.0940        -1.3193
n.135     0.5916        -1.3157
n.136    -0.1301        -1.2506
n.137    -3.3253        -1.2446
n.138    -3.9542        -1.2277
n.139    -2.5157        -1.2229
n.140    -1.6181        -1.2157
n.141    -2.0241        -1.2048
n.142    -0.1337        -1.1675
n.143     0.7711        -1.1590
n.144     1.2892        -1.1554
n.145     1.2807        -1.1361
n.146     1.3759        -1.1229
n.147     1.5072        -1.1229
n.148     1.8687        -1.0940
n.149     1.8301        -1.0434
n.150     1.3458        -1.0301
n.151     1.9133        -1.0072
n.152     2.2349        -0.9964
n.153     0.7928        -0.9904
n.154     0.3036        -0.9759
n.155     1.2614        -0.9530
n.156     1.0904        -0.9470
n.157    -0.1072        -0.9446
n.158    -1.4470        -0.9422
n.159    -3.8590        -0.9373
n.160    -1.0072        -0.8988
n.161     0.0024        -0.8831
n.162     1.9108        -0.8795
n.163     2.2892        -0.8614
n.164     1.5265        -0.8578
n.165     1.6855        -0.8386
n.166     1.2277        -0.8325
n.167     0.7807        -0.8157
n.168     1.3771        -0.8096
n.169     3.1434        -0.7880
n.170     0.5253        -0.7759
n.171    -0.2012        -0.7048
n.172    -3.0831        -0.6313
n.173    -5.6554        -0.6108
n.174    -5.3012        -0.5783
n.175    -2.5711        -0.5614
n.176    -0.5482        -0.5602
n.177     0.1639        -0.5482
n.178     0.7446        -0.5422
n.179     1.2217        -0.4518
n.180     1.3024        -0.4458
n.181     0.5855        -0.4048
n.182     1.2542        -0.4012
n.183     1.1012        -0.3988
n.184     2.3506        -0.3807
n.185     3.0759        -0.3470
n.186     2.2675        -0.3373
n.187     1.5747        -0.3120
n.188     1.0108        -0.2855
n.189    -0.1494        -0.2747
n.190    -1.4181        -0.2386
n.191    -0.5614        -0.2386
n.192    -0.0964        -0.2012
n.193     0.2795        -0.2012
n.194    -0.7048        -0.2000
n.195    -2.0169        -0.1795
n.196    -2.2048        -0.1494
n.197    -0.3120        -0.1337
n.198    -0.2855        -0.1301
n.199    -1.2277        -0.1072
n.200    -1.6193        -0.1000
n.201    -1.9590        -0.0964
n.202    -1.8084        -0.0602
n.203    -3.3458        -0.0373
n.204    -3.7542         0.0024
n.205    -2.4904         0.0048
n.206    -5.3157         0.0651
n.207    -4.2651         0.0819
n.208    -3.4205         0.0976
n.209    -4.8627         0.1349
n.210    -3.8277         0.1349
n.211    -4.2843         0.1506
n.212    -4.0108         0.1639
n.213    -2.8988         0.1639
n.214    -3.3964         0.1867
n.215    -3.4530         0.2108
n.216    -2.5916         0.2205
n.217    -1.2229         0.2229
n.218     0.0819         0.2506
n.219     0.6410         0.2687
n.220     1.6145         0.2795
n.221     1.2699         0.3036
n.222     0.8566         0.3217
n.223     2.1783         0.3759
n.224     2.9000         0.3795
n.225     3.0289         0.3855
n.226     1.9627         0.4373
n.227     0.8422         0.4434
n.228     0.9651         0.5072
n.229     1.5096         0.5229
n.230     2.2265         0.5253
n.231     2.7675         0.5723
n.232     3.4157         0.5783
n.233     3.6289         0.5855
n.234     2.0916         0.5916
n.235    -0.1000         0.6012
n.236    -0.0602         0.6193
n.237     0.1867         0.6410
n.238    -0.5783         0.6458
n.239    -0.9470         0.6639
n.240    -0.9446         0.7169
n.241    -0.7759         0.7253
n.242     0.1639         0.7446
n.243    -2.3145         0.7518
n.244    -0.4012         0.7590
n.245    -0.2747         0.7627
n.246     0.9627         0.7711
n.247     2.1771         0.7807
n.248     2.5265         0.7867
n.249     2.8133         0.7928
n.250     3.4084         0.8060
n.251     3.1530         0.8398
n.252     2.5855         0.8422
n.253     2.1711         0.8566
n.254     0.8747         0.8590
n.255     0.4434         0.8735
n.256     0.3217         0.8747
n.257     1.2253         0.8783
n.258     2.1157         0.9000
n.259     1.7217         0.9542
n.260     1.7831         0.9627
n.261    -0.1795         0.9651
n.262     0.0976         0.9783
n.263     0.5229         0.9795
n.264     1.2795         0.9807
n.265     0.2205         1.0108
n.266    -1.8024         1.0578
n.267    -1.3361         1.0663
n.268    -1.9145         1.0904
n.269    -1.6217         1.0940
n.270    -1.4904         1.1012
n.271    -2.2458         1.1711
n.272    -1.7855         1.1940
n.273    -0.8157         1.2036
n.274    -3.1795         1.2217
n.275     0.7253         1.2253
n.276     1.2301         1.2277
n.277     1.6313         1.2301
n.278     0.8060         1.2470
n.279     1.1711         1.2542
n.280    -0.0373         1.2614
n.281    -0.3807         1.2699
n.282    -0.8988         1.2795
n.283    -1.2506         1.2807
n.284    -1.1675         1.2892
n.285     0.1349         1.3024
n.286    -2.3916         1.3373
n.287    -1.4169         1.3458
n.288    -0.4518         1.3747
n.289    -1.1590         1.3759
n.290     0.4373         1.3771
n.291     0.2229         1.3916
n.292    -1.6904         1.4458
n.293    -3.3084         1.4614
n.294    -2.4699         1.4699
n.295    -0.2012         1.4831
n.296    -2.5892         1.4952
n.297    -0.9759         1.5072
n.298    -4.2554         1.5096
n.299    -5.5398         1.5265
n.300    -4.9398         1.5651
n.301    -4.6181         1.5747
n.302    -3.8434         1.6145
n.303    -2.9036         1.6229
n.304    -1.7325         1.6313
n.305    -2.2169         1.6542
n.306    -1.7554         1.6855
n.307    -3.1687         1.7217
n.308    -2.8482         1.7783
n.309    -0.5602         1.7831
n.310     0.1349         1.8000
n.311    -0.9530         1.8301
n.312    -3.8133         1.8470
n.313    -2.0361         1.8687
n.314    -2.8976         1.8759
n.315    -2.5373         1.9072
n.316    -0.8578         1.9108
n.317    -1.6446         1.9133
n.318     0.7867         1.9434
n.319     1.3916         1.9627
n.320     2.5614         1.9916
n.321     2.2145         2.0916
n.322     0.8783         2.1157
n.323     0.3855         2.1711
n.324     1.4831         2.1771
n.325     0.6458         2.1783
n.326    -0.2000         2.2145
n.327    -0.3470         2.2265
n.328     1.0663         2.2349
n.329     0.9807         2.2675
n.330     0.8735         2.2699
n.331    -2.0867         2.2892
n.332    -4.1253         2.3036
n.333    -5.2590         2.3169
n.334    -3.2000         2.3506
n.335    -3.7759         2.5265
n.336    -6.1108         2.5614
n.337    -7.0952         2.5855
n.338    -5.9530         2.6482
n.339    -2.5506         2.6687
n.340    -2.6952         2.7434
n.341    -1.2446         2.7675
n.342    -0.7880         2.7892
n.343     0.9542         2.8133
n.344    -2.6542         2.9000
n.345    -3.5277         2.9386
n.346    -3.3723         2.9518
n.347    -3.0855         3.0289
n.348    -1.3289         3.0735
n.349     1.4699         3.0759
n.350    -1.9012         3.1434
n.351    -1.7373         3.1530
n.352    -2.0108         3.3723
n.353    -1.1361         3.4084
n.354     1.3373         3.4157
n.355     4.7614         3.6289
n.356     2.6687         3.6361
n.357     4.1012         3.7048
n.358     6.1265         3.7217
n.359     5.8783         4.0916
n.360     2.9518         4.1012
n.361     1.0578         4.7614
n.362     0.7518         4.7627
n.363     0.2687         4.8651
n.364    -0.3988         5.8783
n.365     0.7627         6.1265

Dai dati sono state estrapolate le seguenti variabili.
Media: -0.4945
Varianza: 5.1744
Mediana: -0.3988
