I dati analizzati provengono dal file: data/2007.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1     3.1361        -6.5699
n.2     3.0627        -6.0711
n.3     2.3651        -5.8012
n.4     2.9217        -4.9904
n.5     1.5916        -4.8084
n.6     3.2000        -4.8084
n.7     3.5012        -4.3217
n.8     4.9759        -4.2157
n.9     4.1614        -4.1301
n.10     5.1952        -4.0843
n.11     6.3771        -4.0699
n.12     6.8361        -4.0145
n.13     5.8494        -3.8313
n.14     4.7892        -3.6964
n.15     4.3904        -3.6952
n.16     3.3325        -3.6855
n.17     5.1831        -3.5373
n.18     4.4434        -3.5217
n.19     8.0169        -3.4651
n.20     8.2434        -3.4554
n.21     5.2651        -3.4458
n.22     5.9735        -3.4000
n.23     6.8482        -3.1386
n.24     3.3506        -3.1361
n.25     0.4771        -3.1072
n.26    -0.5795        -3.0614
n.27    -1.2048        -2.9735
n.28     1.2193        -2.9446
n.29     2.3458        -2.8373
n.30     2.3783        -2.7855
n.31     0.7000        -2.7373
n.32     2.2795        -2.7108
n.33     2.8108        -2.5759
n.34     2.6398        -2.5434
n.35     2.8072        -2.5325
n.36     0.6783        -2.4867
n.37     1.8036        -2.4783
n.38     2.3747        -2.4012
n.39     3.2542        -2.3627
n.40     2.4699        -2.3133
n.41     3.5892        -2.2205
n.42     2.4795        -2.1892
n.43     2.2506        -2.1602
n.44     4.0831        -2.1169
n.45     2.9867        -2.0976
n.46     5.3337        -1.9771
n.47     3.4843        -1.9313
n.48     3.6578        -1.8554
n.49     2.5578        -1.8205
n.50     1.6880        -1.7855
n.51     1.9819        -1.7771
n.52     2.6566        -1.7301
n.53     5.3952        -1.7229
n.54     4.7614        -1.7193
n.55     4.0108        -1.7108
n.56     2.5036        -1.5181
n.57     3.4398        -1.5157
n.58     4.7795        -1.5084
n.59     4.3241        -1.4554
n.60     3.1181        -1.4542
n.61     4.7602        -1.4530
n.62     4.5687        -1.4482
n.63     5.7940        -1.4241
n.64     4.8169        -1.3904
n.65     4.2386        -1.3386
n.66     4.0590        -1.2867
n.67     3.3639        -1.2542
n.68     2.8747        -1.2530
n.69     3.5952        -1.2494
n.70     0.8458        -1.2325
n.71     0.2024        -1.2048
n.72     2.3060        -1.1217
n.73     3.9651        -1.1108
n.74     4.1012        -1.0952
n.75     4.3928        -1.0735
n.76     3.4759        -1.0145
n.77     3.0301        -0.9060
n.78     1.5169        -0.8988
n.79    -2.8373        -0.8916
n.80    -1.7193        -0.8687
n.81    -4.2157        -0.8470
n.82    -3.6952        -0.7795
n.83    -3.5373        -0.7470
n.84    -3.4554        -0.7398
n.85    -1.1108        -0.7241
n.86    -0.9060        -0.7024
n.87    -0.7241        -0.7012
n.88    -0.6084        -0.6964
n.89    -1.4530        -0.6711
n.90    -1.9771        -0.6530
n.91    -0.6530        -0.6313
n.92     0.6072        -0.6289
n.93     0.8386        -0.6084
n.94     0.4349        -0.5795
n.95     1.1928        -0.5783
n.96     1.9542        -0.5735
n.97     2.0723        -0.5554
n.98     2.7133        -0.5386
n.99     3.3904        -0.5373
n.100     2.6880        -0.4976
n.101     4.3578        -0.4627
n.102     4.7096        -0.4482
n.103     4.8675        -0.4349
n.104     5.5012        -0.4193
n.105     6.7096        -0.3988
n.106     5.8952        -0.3904
n.107     5.4855        -0.3747
n.108     5.5675        -0.3602
n.109     3.4590        -0.3542
n.110     4.6361        -0.3373
n.111     4.5277        -0.3361
n.112     5.1795        -0.3289
n.113     6.7880        -0.3169
n.114     7.1253        -0.3133
n.115     6.5699        -0.2988
n.116     5.6904        -0.2373
n.117     4.7614        -0.2253
n.118     5.9181        -0.1988
n.119     6.5096        -0.1795
n.120     4.7169        -0.1518
n.121     2.7590        -0.1373
n.122    -0.4349        -0.1000
n.123    -0.5386        -0.0651
n.124    -1.0952        -0.0048
n.125     0.0723         0.0229
n.126     0.5036         0.0410
n.127     2.6783         0.0422
n.128     3.9096         0.0723
n.129     5.0036         0.0747
n.130     4.7060         0.1000
n.131     2.9639         0.1277
n.132     4.0265         0.1434
n.133     3.7289         0.2024
n.134     3.5060         0.2253
n.135     0.8916         0.2470
n.136     0.3699         0.2578
n.137    -0.2253         0.2639
n.138     1.3458         0.2867
n.139     2.6843         0.3639
n.140     4.5819         0.3699
n.141     6.0759         0.3831
n.142     8.1663         0.3855
n.143     7.7711         0.4012
n.144     7.9892         0.4072
n.145     6.6807         0.4349
n.146     2.8759         0.4771
n.147     0.4072         0.4771
n.148    -3.8313         0.4855
n.149    -4.0699         0.4855
n.150    -1.2542         0.4928
n.151    -1.2867         0.5000
n.152    -3.4651         0.5036
n.153    -3.1072         0.5084
n.154    -0.6964         0.5193
n.155     1.3614         0.5410
n.156     1.4904         0.5494
n.157     0.4928         0.5783
n.158    -0.7470         0.6072
n.159     0.5410         0.6084
n.160     2.5928         0.6325
n.161     2.7024         0.6422
n.162     1.9108         0.6542
n.163     1.1892         0.6747
n.164     0.8265         0.6783
n.165     1.1855         0.6976
n.166     0.1277         0.7000
n.167    -0.4193         0.7036
n.168     0.4771         0.7988
n.169     0.8434         0.8265
n.170     2.7253         0.8289
n.171     3.5988         0.8386
n.172     1.0169         0.8434
n.173     0.9446         0.8458
n.174     0.7988         0.8916
n.175     0.8289         0.9048
n.176     1.6518         0.9133
n.177     0.2639         0.9446
n.178    -1.4554         0.9470
n.179    -2.4783         0.9627
n.180    -0.4976         0.9639
n.181     0.4855         0.9723
n.182     1.6542         1.0169
n.183    -0.3988         1.0277
n.184    -1.2494         1.0747
n.185    -1.4241         1.0819
n.186    -2.5325         1.0964
n.187     0.0747         1.1145
n.188     1.4108         1.1241
n.189     2.0506         1.1253
n.190    -1.5181         1.1410
n.191    -3.0614         1.1518
n.192    -3.6964         1.1771
n.193    -2.2205         1.1855
n.194    -0.0048         1.1892
n.195     1.3831         1.1928
n.196     3.3952         1.2193
n.197     4.4880         1.2241
n.198     4.5145         1.2301
n.199     5.2723         1.2349
n.200     5.8807         1.3205
n.201     5.5410         1.3458
n.202     3.7916         1.3602
n.203     1.8542         1.3614
n.204     2.3458         1.3651
n.205     1.6096         1.3831
n.206     2.4843         1.4108
n.207     2.9349         1.4217
n.208     4.6795         1.4904
n.209     4.8373         1.5169
n.210     4.6723         1.5916
n.211     2.5157         1.6096
n.212    -1.7108         1.6518
n.213    -0.2988         1.6542
n.214     0.7036         1.6880
n.215     0.2470         1.7675
n.216     0.6084         1.7831
n.217     1.1771         1.8036
n.218     2.5819         1.8410
n.219     1.8410         1.8542
n.220    -1.7855         1.9108
n.221    -4.1301         1.9542
n.222    -2.5434         1.9819
n.223    -1.1217         2.0506
n.224    -0.1000         2.0566
n.225    -0.6711         2.0723
n.226    -0.5373         2.2506
n.227     0.6422         2.2795
n.228     1.3651         2.3060
n.229    -0.3904         2.3458
n.230    -1.0735         2.3458
n.231    -1.2325         2.3494
n.232    -4.0843         2.3530
n.233    -6.0711         2.3530
n.234    -4.8084         2.3651
n.235    -3.4000         2.3747
n.236    -2.1602         2.3783
n.237    -0.3133         2.4554
n.238     1.4217         2.4699
n.239     2.3530         2.4795
n.240     2.4554         2.4843
n.241     1.1241         2.5036
n.242    -0.3361         2.5157
n.243    -1.0145         2.5578
n.244    -0.7012         2.5735
n.245    -0.3747         2.5819
n.246    -0.1373         2.5928
n.247    -1.7229         2.6398
n.248    -2.9735         2.6566
n.249    -2.4867         2.6783
n.250    -0.8916         2.6843
n.251    -0.8470         2.6880
n.252     0.3855         2.7024
n.253    -0.3289         2.7133
n.254     0.6747         2.7157
n.255     0.1434         2.7253
n.256    -0.5783         2.7590
n.257     1.1253         2.8072
n.258     2.7157         2.8108
n.259     3.1217         2.8554
n.260     1.7831         2.8747
n.261     1.3205         2.8759
n.262    -0.7024         2.9217
n.263    -1.7771         2.9349
n.264    -1.8205         2.9639
n.265    -0.1795         2.9867
n.266     0.6976         2.9892
n.267     0.9639         3.0120
n.268     0.4855         3.0301
