I dati analizzati provengono dal file: data/2001.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -1.7639        -5.4723
n.2    -0.0373        -5.0988
n.3    -0.3349        -5.0301
n.4    -0.3783        -4.8205
n.5     0.5916        -4.8024
n.6     3.2000        -4.7795
n.7     4.7012        -4.6012
n.8     4.6759        -4.4819
n.9     2.8614        -4.4289
n.10     3.1952        -4.4205
n.11     4.1771        -4.4120
n.12     5.2361        -4.3361
n.13     3.4494        -4.2373
n.14    -0.1108        -4.2169
n.15    -2.0096        -4.0904
n.16    -2.2675        -3.9735
n.17    -1.8169        -3.8771
n.18    -0.9566        -3.8398
n.19    -0.2831        -3.8012
n.20     1.1434        -3.7108
n.21     1.5651        -3.4964
n.22     0.7735        -3.4277
n.23     2.7482        -3.4217
n.24     3.2506        -3.3759
n.25     4.4771        -3.2639
n.26     4.5205        -3.2590
n.27     3.1952        -3.1337
n.28     0.4193        -3.0855
n.29     2.1458        -3.0313
n.30     2.3783        -3.0253
n.31     0.3000        -2.9783
n.32    -0.7205        -2.9627
n.33    -1.1892        -2.9602
n.34    -1.3602        -2.9193
n.35     0.2072        -2.8843
n.36     2.9783        -2.8795
n.37     2.8036        -2.8747
n.38     5.8747        -2.8542
n.39     4.9542        -2.8386
n.40     4.5699        -2.8289
n.41     4.1892        -2.7723
n.42     2.6795        -2.7566
n.43     2.9506        -2.7410
n.44     4.2831        -2.7386
n.45     3.7867        -2.7325
n.46     3.5337        -2.6313
n.47     2.8843        -2.5120
n.48     2.5578        -2.5024
n.49     3.8578        -2.4747
n.50     2.7880        -2.4458
n.51     2.9819        -2.3048
n.52     2.6566        -2.2675
n.53     4.5952        -2.2542
n.54     4.0614        -2.2386
n.55     0.0108        -2.2277
n.56    -1.9964        -2.2108
n.57    -2.9602        -2.2000
n.58    -4.4205        -2.1988
n.59    -3.3759        -2.1229
n.60    -4.4819        -2.1217
n.61    -3.8398        -2.1217
n.62    -2.6313        -2.0904
n.63     1.2940        -2.0096
n.64     4.0169        -2.0084
n.65     3.2386        -1.9976
n.66     1.9590        -1.9964
n.67     1.0639        -1.9783
n.68     2.3747        -1.9747
n.69     1.4952        -1.8169
n.70     2.1458        -1.7867
n.71     2.4024        -1.7855
n.72     4.6060        -1.7855
n.73     2.0651        -1.7735
n.74     2.2012        -1.7639
n.75     1.7928        -1.7361
n.76     0.7759        -1.7241
n.77     0.6301        -1.7000
n.78     3.4169        -1.6735
n.79     2.9627        -1.6482
n.80     2.3807        -1.6205
