I dati analizzati provengono dal file: data/1942.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -0.0639        -9.9518
n.2     1.4627        -9.9349
n.3     1.4651        -9.0494
n.4     0.9217        -9.0265
n.5     3.7916        -8.5566
n.6     2.9000        -6.8193
n.7     1.2012        -6.6566
n.8     2.3759        -6.6169
n.9    -0.0386        -6.5831
n.10    -1.7048        -6.4590
n.11    -2.0229        -5.3349
n.12    -2.2639        -5.2386
n.13    -1.8506        -5.1410
n.14    -4.0108        -5.1265
n.15    -2.1096        -5.1229
n.16    -3.7675        -4.7229
n.17    -6.6169        -4.6831
n.18    -8.5566        -4.5048
n.19    -6.5831        -4.5048
n.20    -6.6566        -4.3181
n.21    -9.9349        -4.3048
n.22    -9.0265        -4.2566
n.23    -9.9518        -4.2494
n.24    -9.0494        -4.1422
n.25    -4.7229        -4.0157
n.26    -0.1795        -4.0108
n.27    -1.6048        -3.9277
n.28    -3.1807        -3.9084
n.29    -2.3542        -3.8578
n.30    -2.2217        -3.8434
n.31    -3.0000        -3.7675
n.32    -2.2205        -3.7169
n.33    -2.9892        -3.6590
n.34    -2.5602        -3.6193
n.35    -3.0928        -3.5253
n.36    -3.4217        -3.5193
n.37    -1.9964        -3.5181
n.38    -3.5253        -3.4590
n.39    -2.4458        -3.4229
n.40    -2.5301        -3.4217
n.41    -1.6108        -3.3120
n.42    -1.9205        -3.2482
n.43    -4.2494        -3.2386
n.44    -2.2169        -3.1952
n.45    -1.9133        -3.1855
n.46    -1.5663        -3.1807
n.47    -4.0157        -3.0928
n.48    -4.1422        -3.0000
n.49    -2.4422        -2.9892
n.50    -2.5120        -2.9867
n.51    -3.5181        -2.8904
n.52    -3.8434        -2.8723
n.53    -4.5048        -2.8337
n.54    -3.2386        -2.7916
n.55    -1.3892        -2.7349
n.56    -1.4964        -2.6952
n.57    -0.1602        -2.6855
n.58    -0.6205        -2.6470
n.59     0.1241        -2.6301
n.60     1.0181        -2.5759
n.61    -0.8398        -2.5602
n.62    -0.7313        -2.5373
n.63    -1.4060        -2.5325
n.64     0.5169        -2.5301
n.65     1.5386        -2.5120
n.66     1.6590        -2.4458
n.67     2.0639        -2.4422
n.68     2.0747        -2.4145
n.69     2.4952        -2.4000
n.70     0.7458        -2.3783
n.71     0.6024        -2.3747
n.72     1.1060        -2.3542
n.73    -2.7349        -2.3458
n.74     0.4012        -2.3253
n.75     1.0928        -2.3157
n.76     1.2759        -2.3048
n.77     2.9301        -2.2639
n.78     2.6169        -2.2217
n.79     2.6627        -2.2205
n.80     1.4807        -2.2169
n.81    -2.3157        -2.1542
n.82    -3.1952        -2.1386
n.83    -1.3373        -2.1133
n.84    -1.3554        -2.1096
n.85     0.6892        -2.0229
n.86     0.6940        -1.9976
n.87     1.3759        -1.9964
n.88    -0.7084        -1.9313
n.89    -0.1530        -1.9277
n.90     0.1229        -1.9205
n.91     1.3470        -1.9133
n.92     2.2072        -1.8964
n.93     0.5386        -1.8952
n.94    -1.8651        -1.8651
n.95    -1.8072        -1.8506
n.96     0.2542        -1.8072
n.97     0.6723        -1.7904
n.98     1.2133        -1.7855
n.99     3.1904        -1.7145
n.100     4.9880        -1.7048
n.101     4.0578        -1.7012
n.102     1.8096        -1.6554
n.103     0.1675        -1.6458
n.104    -0.6988        -1.6434
n.105    -1.7904        -1.6205
n.106    -2.3048        -1.6108
n.107    -1.7145        -1.6048
n.108    -2.5325        -1.5735
n.109    -0.0410        -1.5663
n.110     0.4361        -1.5530
n.111    -0.3723        -1.5446
n.112    -0.1205        -1.5277
n.113    -0.6120        -1.4964
n.114    -0.1747        -1.4373
n.115     0.5699        -1.4361
n.116    -0.7096        -1.4060
n.117     0.9614        -1.3988
n.118     0.0181        -1.3892
n.119    -2.8904        -1.3554
n.120    -4.6831        -1.3373
n.121    -5.1410        -1.2940
n.122    -5.3349        -1.2458
n.123    -5.2386        -1.2373
n.124    -2.6952        -1.2361
n.125    -1.9277        -1.2217
n.126     0.1036        -1.2169
n.127     0.7783        -1.2108
n.128     0.4096        -1.2072
n.129    -1.8964        -1.2012
n.130    -0.0940        -1.1964
n.131    -1.2361        -1.1193
n.132    -0.8735        -1.1084
n.133    -0.8711        -1.0976
n.134    -1.2940        -1.0964
n.135     1.1916        -1.0855
n.136     0.0699        -1.0217
n.137     0.7747        -0.9795
n.138     2.2458        -0.9542
n.139     4.9843        -0.9530
n.140     5.2819        -0.8735
n.141     4.7759        -0.8711
n.142     2.3663        -0.8578
n.143     1.1711        -0.8398
n.144    -0.0108        -0.8349
n.145    -1.1193        -0.8000
n.146    -0.0241        -0.7988
n.147     1.0072        -0.7880
n.148     2.4687        -0.7711
n.149     2.2301        -0.7711
n.150     1.6458        -0.7313
n.151    -0.2867        -0.7096
n.152    -0.2651        -0.7084
n.153    -1.2072        -0.6988
n.154     0.9036        -0.6205
n.155     1.4614        -0.6145
n.156     2.5904        -0.6120
n.157     4.4928        -0.5831
n.158     5.8530        -0.5422
n.159     3.8410        -0.5145
n.160     1.7928        -0.4735
n.161     1.7024        -0.4735
n.162     0.9108        -0.4012
n.163     0.2892        -0.3723
n.164    -1.5735        -0.2867
n.165    -0.6145        -0.2843
n.166    -2.8723        -0.2651
n.167    -3.6193        -0.1988
n.168    -5.1229        -0.1904
n.169    -4.2566        -0.1904
n.170    -2.3747        -0.1795
n.171    -1.7012        -0.1747
n.172    -0.5831        -0.1602
n.173     0.1446        -0.1530
n.174    -1.2012        -0.1217
n.175    -0.0711        -0.1205
n.176     2.0518        -0.0940
n.177    -1.4361        -0.0711
n.178    -1.6554        -0.0639
n.179    -2.3783        -0.0494
n.180    -1.0976        -0.0410
n.181    -0.5145        -0.0386
n.182     1.0542        -0.0241
n.183     0.6012        -0.0108
n.184    -0.0494         0.0000
n.185     0.5759         0.0108
n.186     0.6675         0.0181
n.187     1.8747         0.0687
n.188     1.3108         0.0699
n.189     1.5506         0.0916
n.190     1.2819         0.1036
n.191     0.2386         0.1229
n.192    -1.1964         0.1241
n.193    -1.6205         0.1446
n.194    -4.5048         0.1675
n.195    -3.7169         0.1675
n.196    -4.3048         0.1843
n.197    -3.3120         0.2386
n.198    -2.6855         0.2542
n.199    -3.9277         0.2723
n.200    -6.8193         0.2892
n.201    -6.4590         0.4012
n.202    -3.9084         0.4096
n.203    -2.3458         0.4157
n.204    -2.1542         0.4361
n.205    -0.1904         0.5169
n.206     0.1843         0.5386
n.207     0.9349         0.5458
n.208     0.9795         0.5699
n.209     1.2373         0.5759
n.210    -1.5277         0.5892
n.211    -0.2843         0.6012
n.212     0.5892         0.6024
n.213    -1.3988         0.6145
n.214    -1.0964         0.6349
n.215    -1.5530         0.6518
n.216    -2.7916         0.6675
n.217    -3.4229         0.6723
n.218    -4.3181         0.6892
n.219    -3.6590         0.6940
n.220    -3.1855         0.7458
n.221    -2.6301         0.7747
n.222    -1.6434         0.7783
n.223    -1.0217         0.7831
n.224     0.0000         0.7843
n.225    -0.7711         0.8096
n.226    -1.4373         0.8241
n.227    -0.8578         0.9036
n.228    -0.8349         0.9108
n.229    -0.1904         0.9217
n.230    -0.4735         0.9277
n.231     0.1675         0.9349
n.232     0.4157         0.9614
n.233    -0.7711         0.9795
n.234     0.0916         1.0072
n.235     1.4000         1.0181
n.236     1.0398         1.0398
n.237     1.7867         1.0542
n.238     1.9217         1.0711
n.239     2.2530         1.0928
n.240     2.8554         1.1060
n.241     2.8241         1.1084
n.242     3.6639         1.1301
n.243     3.9855         1.1554
n.244     3.7988         1.1639
n.245     3.0253         1.1711
n.246     3.8627         1.1916
n.247     3.8771         1.2012
n.248     3.8265         1.2133
n.249     3.9133         1.2373
n.250     4.5084         1.2759
n.251     3.9530         1.2819
n.252     3.4855         1.2976
n.253     3.7711         1.3108
n.254     3.6747         1.3470
n.255     4.6434         1.3759
n.256     5.7217         1.3867
n.257     5.4253         1.4000
n.258     5.5157         1.4373
n.259     5.5217         1.4446
n.260     3.8831         1.4494
n.261     4.1205         1.4614
n.262     4.0976         1.4627
n.263     4.0229         1.4651
n.264     2.5795         1.4807
n.265    -0.9795         1.5386
n.266     1.2976         1.5446
n.267     2.4639         1.5506
n.268     3.7855         1.6458
n.269     2.5783         1.6590
n.270     0.8096         1.6602
n.271    -1.2458         1.7024
n.272    -1.7855         1.7614
n.273     0.7843         1.7867
n.274     1.9205         1.7928
n.275     3.3253         1.8096
n.276     2.4301         1.8566
n.277     2.7313         1.8747
n.278     4.0060         1.9205
n.279     2.9711         1.9217
n.280     2.4627         1.9494
n.281     3.8193         2.0325
n.282     3.2012         2.0518
n.283     1.9494         2.0639
n.284     2.0325         2.0747
n.285     0.6349         2.1410
n.286     1.1084         2.1482
n.287     0.7831         2.2072
n.288     2.1482         2.2301
n.289     2.1410         2.2458
n.290     1.4373         2.2530
n.291     3.4229         2.3048
n.292     5.0096         2.3663
n.293     4.0916         2.3759
n.294     1.1301         2.4301
n.295    -0.4012         2.4470
n.296     0.0108         2.4627
n.297     0.8241         2.4639
n.298     1.4446         2.4687
n.299     1.6602         2.4952
n.300     2.7602         2.5783
n.301     4.3819         2.5795
n.302     1.8566         2.5904
n.303     2.9964         2.6169
n.304     5.1675         2.6627
n.305     3.4831         2.7313
n.306     1.5446         2.7602
n.307     2.9313         2.8241
n.308     3.2518         2.8554
n.309     4.1398         2.9000
n.310     5.6349         2.9301
n.311     2.4470         2.9313
n.312     1.3867         2.9711
n.313     1.1639         2.9964
n.314    -1.9976         3.0253
n.315    -1.2373         3.1904
