I dati analizzati provengono dal file: data/2005.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -0.4639        -8.8988
n.2     0.4627        -8.0819
n.3     2.4651        -7.0398
n.4     1.3217        -7.0313
n.5     1.6916        -6.5060
n.6     2.5000        -6.2313
n.7     3.2012        -6.0759
n.8     2.0759        -6.0410
n.9     2.9614        -5.8193
n.10     2.9952        -5.1711
n.11     2.1771        -5.0867
n.12     1.8361        -5.0831
n.13     1.8494        -4.7337
n.14     0.5892        -4.7265
n.15    -0.6096        -4.6253
n.16     0.1325        -4.6048
n.17    -1.2169        -4.4542
n.18    -1.7566        -4.3205
n.19     1.0169        -4.1795
n.20     0.6434        -4.1590
n.21     3.6651        -4.1434
n.22     3.0735        -4.0084
n.23    -0.7518        -3.9807
n.24    -2.2494        -3.8470
n.25    -0.7229        -3.7699
n.26    -1.6795        -3.7602
n.27    -2.0048        -3.7386
n.28    -3.9807        -3.5181
n.29    -4.4542        -3.5169
n.30    -3.1217        -3.4892
n.31    -2.5000        -3.4614
n.32     1.6795        -3.4024
n.33     0.4108        -3.3000
n.34     1.4398        -3.2446
n.35    -0.4928        -3.1542
n.36    -1.9217        -3.1482
n.37    -1.9964        -3.1217
n.38    -2.8253        -3.0964
n.39    -2.3458        -3.0880
n.40    -2.2301        -3.0361
n.41    -1.1108        -2.9494
n.42     0.0795        -2.9373
n.43     1.6506        -2.9145
n.44     2.5831        -2.9120
n.45     2.8867        -2.8759
n.46     0.8337        -2.8253
n.47    -0.5157        -2.8181
n.48    -0.5422        -2.7277
n.49    -1.6422        -2.7145
n.50    -1.9120        -2.7108
n.51    -2.8181        -2.6940
n.52    -4.1434        -2.6205
n.53    -4.6048        -2.5855
n.54    -3.7386        -2.5614
n.55    -3.4892        -2.5361
n.56    -3.0964        -2.5000
n.57    -3.7602        -2.4952
n.58    -4.3205        -2.4747
n.59    -6.0759        -2.4313
n.60    -8.0819        -2.3843
n.61    -7.0398        -2.3578
n.62    -7.0313        -2.3566
n.63    -6.5060        -2.3542
n.64    -5.0831        -2.3530
n.65    -3.4614        -2.3458
n.66    -6.0410        -2.2940
n.67    -2.5361        -2.2494
n.68    -0.3253        -2.2373
n.69    -0.3048        -2.2301
n.70    -1.8542        -2.2048
n.71    -1.4976        -2.1892
n.72    -0.6940        -2.1723
n.73    -0.2349        -2.1072
n.74     1.3012        -2.0904
n.75     2.3928        -2.0747
n.76     3.6759        -2.0687
n.77     4.7301        -2.0627
n.78     5.1169        -2.0048
n.79     3.4627        -2.0000
n.80     2.6807        -1.9964
n.81     1.5843        -1.9349
n.82     3.8048        -1.9301
n.83     3.5627        -1.9217
n.84     3.9446        -1.9217
n.85     3.0892        -1.9120
n.86     1.8940        -1.9120
n.87     3.4759        -1.8542
n.88     1.9916        -1.8410
n.89     2.5470        -1.8386
n.90     1.8229        -1.8145
n.91     1.4470        -1.8084
n.92    -0.8928        -1.8000
n.93    -0.9614        -1.7590
n.94    -1.0651        -1.7566
n.95    -0.4072        -1.7458
n.96     0.5542        -1.7253
n.97     0.5723        -1.7217
n.98    -0.3867        -1.7108
n.99    -0.8096        -1.6795
n.100    -1.9120        -1.6422
n.101    -1.3422        -1.5976
n.102    -1.0904        -1.5952
n.103     0.4675        -1.5253
n.104     1.2012        -1.5169
n.105     1.2096        -1.4976
n.106    -2.2048        -1.4651
n.107    -2.9145        -1.4325
n.108    -1.4325        -1.4301
n.109    -1.8410        -1.3542
n.110    -1.1639        -1.3422
n.111    -1.1723        -1.3301
n.112    -2.6205        -1.3289
n.113    -2.9120        -1.2771
n.114    -2.0747        -1.2470
n.115    -1.9301        -1.2205
n.116     0.5904        -1.2169
n.117     1.4614        -1.1988
n.118     2.9181        -1.1916
n.119     4.1096        -1.1723
n.120     4.6169        -1.1639
n.121     5.3590        -1.1590
n.122     4.6651        -1.1542
n.123     4.5614        -1.1518
n.124     3.5048        -1.1108
n.125     1.5723        -1.0904
n.126     2.0036        -1.0771
n.127     2.7783        -1.0651
n.128     0.8096        -1.0602
n.129    -0.2964        -1.0446
n.130    -2.2940        -0.9795
n.131    -0.5361        -0.9614
n.132    -0.1735        -0.9590
n.133     0.1289        -0.8928
n.134     0.0060        -0.8892
n.135     0.7916        -0.8795
n.136     0.1699        -0.8783
n.137    -0.5253        -0.8422
n.138    -1.3542        -0.8289
n.139     0.0843        -0.8108
n.140     0.7819        -0.8096
n.141     2.4759        -0.7964
n.142     2.5663        -0.7735
n.143    -0.5289        -0.7518
n.144     0.6892        -0.7229
n.145     2.3807        -0.7000
n.146     3.1759        -0.6940
n.147     4.7072        -0.6916
n.148     6.9687        -0.6373
n.149     7.4301        -0.6096
n.150     7.1458        -0.5964
n.151     5.5133        -0.5675
n.152     2.2349        -0.5530
n.153     1.9928        -0.5422
n.154     2.7036        -0.5361
n.155     4.4614        -0.5289
n.156     3.2904        -0.5253
n.157     1.1928        -0.5157
n.158     1.6530        -0.5024
n.159    -1.7590        -0.4928
n.160    -2.1072        -0.4904
n.161    -1.5976        -0.4711
n.162    -0.8892        -0.4639
n.163    -0.8108        -0.4325
n.164    -0.1735        -0.4145
n.165    -1.8145        -0.4072
n.166    -0.0723        -0.3904
n.167     2.2807        -0.3867
n.168     3.6771        -0.3627
n.169     4.7434        -0.3434
n.170     5.8253        -0.3253
n.171     5.1988        -0.3229
n.172     5.3169        -0.3133
n.173     6.4446        -0.3048
n.174     6.8988        -0.2964
n.175     5.2289        -0.2783
n.176     3.2518        -0.2482
n.177     5.2639        -0.2349
n.178     7.0446        -0.2169
n.179     7.4217        -0.2048
n.180     4.3024        -0.1735
n.181     3.0855        -0.1735
n.182     1.7542        -0.1205
n.183     2.4012        -0.0723
n.184     2.1506        -0.0217
n.185     2.6759         0.0060
n.186    -0.4325         0.0133
n.187    -1.7253         0.0193
n.188    -2.1892         0.0301
n.189    -2.9494         0.0422
n.190    -3.5181         0.0494
n.191    -2.5614         0.0795
n.192    -0.5964         0.0843
n.193    -0.1205         0.1265
n.194    -0.2048         0.1289
n.195     1.5831         0.1325
n.196     2.4952         0.1530
n.197     2.9880         0.1699
n.198     4.0145         0.1711
n.199     2.7723         0.2819
n.200     1.4807         0.4108
n.201     1.4410         0.4627
n.202     2.2916         0.4675
n.203     1.0542         0.4855
n.204    -1.1542         0.4988
n.205    -0.3904         0.5145
n.206     1.4843         0.5241
n.207     2.7349         0.5253
n.208     2.4795         0.5542
n.209     4.3373         0.5723
n.210     5.0723         0.5843
n.211     4.0157         0.5892
n.212     2.0892         0.5904
n.213     1.5012         0.6145
n.214    -0.7964         0.6434
n.215    -0.5530         0.6892
n.216     0.7084         0.6964
n.217    -0.3229         0.7084
n.218     0.2819         0.7819
n.219    -0.9590         0.7916
n.220    -2.5855         0.8012
n.221    -1.3301         0.8096
n.222    -0.3434         0.8265
n.223    -1.9217         0.8337
n.224    -0.7000         0.8627
n.225    -0.4711         0.8639
n.226    -2.2373         0.8675
n.227    -2.3578         0.9157
n.228    -1.9349         1.0169
n.229    -0.4904         1.0217
n.230     0.1265         1.0241
n.231     0.8675         1.0494
n.232    -2.3843         1.0542
n.233    -5.1711         1.0614
n.234    -4.0084         1.0783
n.235    -2.0000         1.1928
n.236    -1.0602         1.2012
n.237    -0.3133         1.2096
n.238    -0.2783         1.2771
n.239    -1.2470         1.3012
n.240    -1.0446         1.3145
n.241     0.5241         1.3217
n.242     1.5639         1.3988
n.243     2.3855         1.4096
n.244     2.9988         1.4398
n.245     3.6253         1.4410
n.246     2.6627         1.4470
n.247     1.2771         1.4614
n.248     0.8265         1.4675
n.249     0.0133         1.4807
n.250    -0.6916         1.4843
n.251     0.1530         1.5012
