I dati analizzati provengono dal file: data/1957.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -0.2639        -7.2217
n.2     0.0627        -7.0904
n.3     0.2651        -6.8928
n.4    -1.6783        -6.3313
n.5    -0.4084        -6.0795
n.6     0.7000        -5.5964
n.7     2.9012        -5.3699
n.8     0.6759        -4.9964
n.9    -1.2386        -4.9783
n.10    -0.6048        -4.8241
n.11     1.5771        -4.8108
n.12    -1.5639        -4.7747
n.13    -2.0506        -4.7542
n.14    -2.4108        -4.6988
n.15    -1.6096        -4.6325
n.16    -2.3675        -4.6277
n.17    -1.8169        -4.5193
n.18    -2.0566        -4.4843
n.19    -2.0831        -4.4084
n.20    -2.3566        -4.2048
n.21    -1.7349        -4.0759
n.22    -3.2265        -4.0699
n.23    -1.1518        -4.0590
n.24     0.1506        -4.0554
n.25    -0.6229        -4.0325
n.26    -0.8795        -3.9904
n.27     0.0952        -3.9735
n.28     0.4193        -3.9361
n.29    -0.7542        -3.9313
n.30    -1.5217        -3.9313
n.31    -0.2000        -3.9289
n.32     1.1795        -3.8940
n.33     2.1108        -3.8843
n.34     2.2398        -3.8759
n.35     3.2072        -3.8458
n.36     4.4783        -3.8169
n.37     3.4036        -3.8108
n.38     3.5747        -3.7277
n.39     3.2542        -3.7000
n.40     4.3699        -3.6952
n.41     1.6892        -3.6867
n.42     1.5795        -3.6627
n.43     0.5506        -3.6120
n.44     0.8831        -3.5855
n.45     2.3867        -3.5386
n.46     2.3337        -3.5048
n.47     1.6843        -3.4964
n.48     1.6578        -3.4373
n.49     0.5578        -3.3747
n.50     0.8880        -3.3373
n.51    -1.8181        -3.3361
n.52     0.4566        -3.3133
n.53    -2.0048        -3.2446
n.54    -1.7386        -3.2265
n.55    -0.4892        -3.2193
n.56     0.8036        -3.2145
n.57     2.2398        -3.1988
n.58     2.5795        -3.1843
n.59     0.8241        -3.1687
n.60    -1.7819        -3.1398
n.61    -3.1398        -3.1349
n.62    -3.9313        -3.1108
n.63    -2.3060        -3.0867
n.64    -0.8831        -3.0735
n.65     1.3386        -3.0542
n.66     2.1590        -3.0470
n.67     1.5639        -2.9904
n.68     3.4747        -2.9602
n.69     1.1952        -2.8940
n.70     0.4458        -2.8904
n.71    -0.0976        -2.8578
n.72    -0.0940        -2.7964
n.73     0.1651        -2.7289
n.74     0.5012        -2.7229
n.75     2.0928        -2.7096
n.76     2.3759        -2.6506
n.77     2.5301        -2.6108
n.78     2.4169        -2.5783
n.79     2.8627        -2.5651
n.80     3.7807        -2.5012
n.81     2.9843        -2.5000
n.82     2.5048        -2.4157
n.83     1.8627        -2.4108
n.84     0.9446        -2.3952
n.85     2.1892        -2.3904
n.86     1.3940        -2.3675
n.87     0.9759        -2.3566
n.88     1.7916        -2.3554
n.89     0.3470        -2.3337
n.90    -0.8771        -2.3060
n.91    -0.8530        -2.2747
n.92    -0.6928        -2.2482
n.93    -1.0614        -2.2361
n.94     0.2349        -2.1711
n.95     2.8928        -2.1398
n.96     2.3542        -2.0988
n.97     2.1723        -2.0831
n.98    -3.0867        -2.0759
n.99    -2.7096        -2.0651
n.100    -1.7120        -2.0627
n.101    -0.9422        -2.0566
n.102    -2.3904        -2.0506
n.103    -4.6325        -2.0253
n.104    -4.6988        -2.0205
n.105    -3.9904        -2.0048
n.106    -4.2048        -1.8795
n.107    -1.7145        -1.8181
n.108     0.6675        -1.8169
n.109     1.1590        -1.7819
n.110     1.0361        -1.7783
n.111     0.5277        -1.7590
n.112    -0.4205        -1.7386
n.113    -0.5120        -1.7373
n.114     1.0253        -1.7361
n.115     0.4699        -1.7349
n.116     0.6904        -1.7145
n.117     0.3614        -1.7120
n.118     0.9181        -1.6867
n.119     0.3096        -1.6783
n.120     1.2169        -1.6386
n.121    -0.0410        -1.6096
n.122    -0.8349        -1.5735
n.123    -1.0386        -1.5735
n.124    -0.6952        -1.5639
n.125    -1.2277        -1.5530
n.126    -4.9964        -1.5229
n.127    -7.2217        -1.5217
n.128    -7.0904        -1.5072
n.129    -5.5964        -1.4783
n.130    -3.8940        -1.4373
n.131    -2.2361        -1.3398
n.132    -1.5735        -1.3072
n.133    -0.6711        -1.3072
n.134    -0.1940        -1.2614
n.135     1.2916        -1.2446
n.136     0.5699        -1.2386
n.137    -2.0253        -1.2277
n.138     0.0458        -1.2205
n.139    -1.1157        -1.2108
n.140    -1.0181        -1.1976
n.141    -0.2241        -1.1916
n.142    -2.3337        -1.1892
n.143    -2.7289        -1.1892
n.144    -3.8108        -1.1518
n.145    -3.2193        -1.1482
n.146    -4.8241        -1.1313
n.147    -6.8928        -1.1157
n.148    -6.3313        -1.0964
n.149    -5.3699        -1.0711
n.150    -4.7542        -1.0614
n.151    -3.6867        -1.0566
n.152    -2.5651        -1.0470
n.153    -1.3072        -1.0386
n.154    -3.4964        -1.0265
n.155    -1.6386        -1.0193
n.156    -1.0096        -1.0181
n.157    -1.3072        -1.0096
n.158    -1.0470        -1.0084
n.159    -1.7590        -0.9916
n.160    -1.5072        -0.9554
n.161    -1.1976        -0.9542
n.162    -1.1892        -0.9422
n.163    -3.1108        -0.9422
n.164     0.7265        -0.9169
n.165     1.6855        -0.9024
n.166     1.4277        -0.8831
n.167    -0.6193        -0.8795
n.168    -1.5229        -0.8771
n.169    -1.0566        -0.8530
n.170    -0.1747        -0.8530
n.171     0.7988        -0.8349
n.172     0.7169        -0.8169
n.173    -0.9554        -0.8169
n.174    -0.5012        -0.8048
n.175    -1.0711        -0.7807
n.176    -2.2482        -0.7542
n.177    -3.3361        -0.6988
n.178    -4.0554        -0.6952
n.179    -2.5783        -0.6928
n.180    -0.2976        -0.6711
n.181     1.7855        -0.6229
n.182     1.8542        -0.6193
n.183     1.5012        -0.6048
n.184     2.9506        -0.5458
n.185     2.0759        -0.5120
n.186     3.1675        -0.5012
n.187     4.1747        -0.4892
n.188     4.8108        -0.4482
n.189     4.5506        -0.4434
n.190     2.5819        -0.4205
n.191    -1.2614        -0.4181
n.192    -2.7964        -0.4084
n.193    -1.2205        -0.3880
n.194    -0.8048        -0.3470
n.195    -0.9169        -0.3325
n.196    -3.5048        -0.3253
n.197    -3.6120        -0.3036
n.198    -3.5855        -0.2976
n.199    -3.7277        -0.2639
