I dati analizzati provengono dal file: data/1954.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -2.2639       -10.7241
n.2    -2.3373       -10.2386
n.3    -2.5349       -10.1048
n.4    -2.1783        -8.1892
n.5    -3.3084        -8.1542
n.6    -3.5000        -8.0988
n.7    -8.0988        -8.0217
n.8   -10.7241        -8.0205
n.9   -10.2386        -7.2301
n.10   -10.1048        -7.0928
n.11    -5.7229        -7.0639
n.12    -2.6639        -7.0602
n.13    -4.0506        -7.0000
n.14    -3.3108        -6.6795
n.15    -4.0096        -6.6217
n.16    -3.2675        -6.3133
n.17    -1.7169        -6.2602
n.18    -1.4566        -6.2458
n.19    -4.7831        -6.2229
n.20    -4.1566        -5.9108
n.21     0.7651        -5.7807
n.22     0.3735        -5.7253
n.23     0.0482        -5.7229
n.24    -4.1494        -5.4349
n.25    -6.2229        -5.3964
n.26    -6.6795        -5.3614
n.27    -5.2048        -5.2048
n.28    -5.7807        -5.1783
n.29    -8.1542        -5.1000
n.30    -6.6217        -5.0988
n.31    -7.0000        -5.0675
n.32    -8.0205        -5.0506
n.33    -8.1892        -4.9964
n.34    -6.2602        -4.9892
n.35    -7.0928        -4.9205
n.36    -8.0217        -4.7831
n.37    -5.3964        -4.6952
n.38    -5.7253        -4.6458
n.39    -6.2458        -4.6337
n.40    -7.2301        -4.5988
n.41    -5.9108        -4.5904
n.42    -3.5205        -4.5723
n.43    -1.9494        -4.5361
n.44    -1.4169        -4.4542
n.45    -0.4133        -4.4494
n.46    -0.1663        -4.4289
n.47    -0.5157        -4.4169
n.48    -0.2422        -4.4108
n.49    -1.7422        -4.3651
n.50    -2.2120        -4.3410
n.51    -3.4181        -4.3253
n.52    -4.1434        -4.3217
n.53    -3.8048        -4.2301
n.54    -3.3386        -4.1843
n.55    -3.1892        -4.1566
n.56    -2.5964        -4.1494
n.57    -1.0602        -4.1434
n.58    -0.9205        -4.1181
n.59     0.8241        -4.1084
n.60     1.2181        -4.1024
n.61    -0.3398        -4.0506
n.62    -0.2313        -4.0470
n.63    -1.0060        -4.0096
n.64     0.0169        -3.9855
n.65    -0.3614        -3.9325
n.66    -1.9410        -3.9169
n.67    -2.2361        -3.9000
n.68    -1.4253        -3.8386
n.69    -1.4048        -3.8157
n.70    -0.9542        -3.8145
n.71    -0.6976        -3.8048
n.72    -0.8940        -3.7976
n.73     0.5651        -3.7253
n.74     1.4012        -3.6241
n.75     0.5928        -3.6217
n.76     1.8759        -3.6000
n.77     1.7301        -3.5988
n.78     1.7169        -3.5205
n.79     0.7627        -3.5000
n.80     2.5807        -3.4855
n.81     1.4843        -3.4819
n.82    -0.2952        -3.4494
n.83    -0.6373        -3.4241
n.84    -0.6554        -3.4205
n.85     0.6892        -3.4181
n.86    -1.7060        -3.4108
n.87    -1.0241        -3.3964
n.88    -0.1084        -3.3916
n.89     0.8470        -3.3807
n.90     0.5229        -3.3795
n.91     1.5470        -3.3735
n.92     1.5072        -3.3578
n.93     3.1386        -3.3386
n.94     3.8349        -3.3145
n.95     2.2928        -3.3108
n.96     0.6542        -3.3084
