I dati analizzati provengono dal file: data/2014.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -0.4639        -4.8349
n.2     1.1627        -4.1904
n.3     1.3651        -4.0843
n.4     2.9217        -3.9843
n.5     5.0916        -3.9325
n.6     3.6000        -3.8578
n.7     4.0012        -3.8277
n.8     4.8759        -3.6494
n.9     5.2614        -3.5133
n.10     5.7952        -3.4783
n.11     6.2771        -3.3614
n.12     4.4361        -3.3554
n.13     3.7494        -3.3181
n.14     3.5892        -3.3048
n.15     0.7904        -3.2651
n.16     1.0325        -3.1904
n.17     3.4831        -3.0711
n.18     4.3434        -2.9711
n.19     5.7169        -2.9084
n.20     6.3434        -2.8735
n.21     4.1651        -2.7530
n.22     3.9735        -2.7084
n.23     5.2482        -2.6988
n.24     4.0506        -2.6361
n.25     1.8771        -2.5566
n.26     2.2205        -2.5458
n.27     1.5952        -2.5373
n.28     0.7193        -2.5000
n.29    -1.1542        -2.4602
n.30    -0.2217        -2.3373
n.31     1.6000        -2.3205
n.32     2.8795        -2.3169
n.33     4.5108        -2.1373
n.34     4.1398        -2.1361
n.35     3.3072        -2.1145
n.36     3.2783        -2.0349
n.37     3.0036        -1.9964
n.38     2.3747        -1.9157
n.39     1.6542        -1.8916
n.40     3.6699        -1.7819
n.41     0.8892        -1.7458
n.42     2.5795        -1.7241
n.43     2.7506        -1.6940
n.44     1.5831        -1.6735
n.45     2.5867        -1.5783
n.46     1.5337        -1.5711
n.47     3.9843        -1.5482
n.48     4.9578        -1.5205
n.49     4.6578        -1.4627
n.50     4.4880        -1.4494
n.51     3.3819        -1.4145
n.52     3.4566        -1.4108
n.53     3.5952        -1.3988
n.54     2.0614        -1.3325
n.55     1.7108        -1.3181
n.56     1.8036        -1.2976
n.57     1.4398        -1.2566
n.58     1.2795        -1.2446
n.59     1.5241        -1.2229
n.60     1.0181        -1.2229
n.61     1.5602        -1.1964
n.62     0.4687        -1.1747
n.63     2.4940        -1.1542
n.64     2.3169        -1.0024
n.65     3.0386        -0.9554
n.66     3.2590        -0.9542
n.67     2.8639        -0.9422
n.68     3.2747        -0.9301
n.69     1.2952        -0.9253
n.70     1.9458        -0.8988
n.71     2.7024        -0.8892
n.72     2.8060        -0.8590
n.73     3.0651        -0.8410
n.74     3.4012        -0.8386
n.75     5.8928        -0.8108
n.76     5.2759        -0.8012
n.77     3.5301        -0.7783
n.78     5.3169        -0.7434
n.79     4.4627        -0.7084
n.80     3.8807        -0.7060
n.81     2.3843        -0.7036
n.82     0.0048        -0.6928
n.83     0.0627        -0.6759
n.84    -3.3554        -0.6470
n.85    -1.4108        -0.6373
n.86    -0.7060        -0.6313
n.87     0.6759        -0.6048
n.88     1.3916        -0.5855
n.89     2.3470        -0.5723
n.90     2.1229        -0.5386
n.91     1.3470        -0.5048
n.92     1.0072        -0.4639
n.93     3.2386        -0.4482
n.94     2.0349        -0.4157
n.95     3.6928        -0.4145
n.96     3.4542        -0.3831
n.97     4.6723        -0.3229
n.98     4.0133        -0.3193
n.99     3.3904        -0.2867
n.100     3.0880        -0.2795
n.101     3.4578        -0.2325
n.102     3.4096        -0.2277
n.103     3.6675        -0.2217
n.104     4.2012        -0.2217
n.105     1.4096        -0.2181
n.106    -0.5048        -0.1904
n.107     0.3855        -0.1723
n.108     0.3675        -0.1699
n.109    -0.8410        -0.1217
n.110     0.1361        -0.0747
n.111    -0.1723        -0.0410
n.112     1.1795        -0.0313
n.113     2.6880        -0.0301
n.114     3.0253         0.0000
n.115     3.4699         0.0048
n.116     3.7904         0.0157
n.117     0.7614         0.0253
n.118    -1.7819         0.0265
n.119     0.9096         0.0627
n.120    -0.3831         0.1361
n.121    -0.0410         0.1458
