I dati analizzati provengono dal file: data/1970.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -0.3639        -9.9831
n.2    -3.8373        -9.1048
n.3    -3.7349        -9.0410
n.4    -1.5783        -8.4940
n.5    -0.2084        -7.1422
n.6    -1.1000        -6.6614
n.7    -1.2988        -6.5253
n.8    -1.5241        -6.4651
n.9    -0.6386        -6.3976
n.10    -0.5048        -6.3361
n.11     0.5771        -5.9542
n.12     1.0361        -5.7458
n.13     1.5494        -5.7422
n.14     1.8892        -5.5072
n.15     1.5904        -5.5060
n.16     0.9325        -5.2096
n.17     1.9831        -5.1735
n.18     0.3434        -5.1012
n.19    -0.0831        -5.0386
n.20     0.1434        -4.8386
n.21     0.2651        -4.8217
n.22    -0.6265        -4.7349
n.23    -1.1518        -4.7000
n.24    -0.8494        -4.6988
n.25    -0.5229        -4.6627
n.26     0.6205        -4.5940
n.27     2.6952        -4.5241
n.28     1.8193        -4.4614
n.29     2.4458        -4.4084
n.30     1.5783        -4.3313
n.31     0.3000        -4.3277
n.32    -1.0205        -4.2771
n.33    -2.4892        -4.2313
n.34    -0.0602        -4.1928
n.35     1.1072        -4.1819
n.36     1.0783        -4.1554
n.37     2.2036        -4.1120
n.38     0.1747        -4.1084
n.39    -0.8458        -4.0711
n.40    -0.5301        -4.0458
n.41     0.8892        -4.0120
n.42     0.2795        -3.9964
n.43    -0.8494        -3.9590
n.44     0.1831        -3.9482
n.45    -2.4133        -3.8373
n.46    -2.5663        -3.8325
n.47    -3.8157        -3.8277
n.48    -7.1422        -3.8157
n.49    -5.7422        -3.8120
n.50    -4.0120        -3.7867
n.51    -2.4181        -3.7398
n.52    -2.4434        -3.7349
n.53    -0.3048        -3.7349
n.54     1.8614        -3.7193
n.55    -0.1892        -3.6988
n.56     0.4036        -3.6904
n.57    -2.8602        -3.6892
n.58    -3.0205        -3.6819
n.59    -3.2759        -3.6602
n.60    -3.6819        -3.6422
n.61    -3.7398        -3.6361
n.62    -4.2313        -3.5904
n.63    -5.5060        -3.5855
n.64    -9.9831        -3.5494
n.65    -6.6614        -3.5410
n.66    -9.0410        -3.5361
n.67    -6.3361        -3.5241
n.68    -6.5253        -3.5217
n.69    -9.1048        -3.5193
n.70    -5.9542        -3.5133
n.71    -6.3976        -3.3904
n.72    -8.4940        -3.3759
n.73    -4.7349        -3.3699
n.74    -3.6988        -3.3627
n.75    -3.1072        -3.3398
n.76    -3.5241        -3.3386
n.77    -2.0699        -3.2831
n.78    -1.5831        -3.2759
n.79    -0.4373        -3.1904
n.80     0.2807        -3.1301
n.81     0.2843        -3.1145
n.82     0.4048        -3.1072
n.83     0.2627        -3.0988
n.84    -0.1554        -3.0386
n.85     1.3892        -3.0265
n.86     0.6940        -3.0205
n.87    -2.3241        -3.0108
n.88    -4.4084        -3.0084
n.89    -2.9530        -2.9530
n.90    -2.1771        -2.8964
n.91    -0.8530        -2.8602
n.92    -4.1928        -2.7373
n.93    -4.4614        -2.7072
n.94    -6.4651        -2.6337
n.95    -5.5072        -2.5663
n.96    -5.7458        -2.5373
n.97    -4.3277        -2.5084
n.98    -3.7867        -2.4892
n.99    -2.2096        -2.4434
n.100    -3.8120        -2.4313
n.101    -3.6422        -2.4181
n.102    -3.3904        -2.4133
n.103    -1.9325        -2.3699
n.104    -0.3988        -2.3289
n.105     0.3096        -2.3241
n.106    -0.3048        -2.2952
n.107     1.2855        -2.2855
n.108     2.2675        -2.2361
n.109     0.5590        -2.2193
n.110     0.2361        -2.2108
n.111    -0.0723        -2.2096
n.112    -0.7205        -2.1795
n.113     1.1880        -2.1783
n.114     2.7253        -2.1771
n.115     1.9699        -2.1759
n.116    -0.6096        -2.1735
n.117    -3.3386        -2.1687
n.118    -4.1819        -2.0699
n.119    -3.5904        -2.0542
n.120    -3.2831        -2.0398
n.121    -3.5410        -2.0301
n.122    -3.7349        -2.0253
n.123    -3.0386        -1.9325
n.124    -2.2952        -1.9169
n.125    -1.4277        -1.8867
n.126    -2.8964        -1.8735
n.127    -3.5217        -1.8723
n.128    -3.1904        -1.7012
n.129    -3.9964        -1.6964
n.130    -4.5940        -1.6843
n.131    -3.6361        -1.6711
n.132    -2.1735        -1.6470
n.133    -1.6711        -1.6337
n.134    -1.4940        -1.6253
n.135    -1.4084        -1.6157
n.136    -2.0301        -1.5831
n.137    -2.0253        -1.5783
n.138    -1.2542        -1.5590
n.139    -1.6157        -1.5578
n.140    -0.5181        -1.5566
n.141    -0.1241        -1.5253
n.142    -1.6337        -1.5241
n.143    -2.3289        -1.5072
n.144    -2.2108        -1.4940
n.145    -2.2193        -1.4422
n.146    -0.8241        -1.4313
n.147    -1.1928        -1.4289
n.148    -2.4313        -1.4277
n.149    -2.3699        -1.4084
n.150    -2.0542        -1.3867
n.151    -1.3867        -1.3855
n.152     0.3349        -1.3699
n.153     1.5928        -1.3181
n.154    -1.6964        -1.2988
n.155    -5.0386        -1.2940
n.156    -5.2096        -1.2542
n.157    -2.7072        -1.2470
n.158    -1.6470        -1.2446
n.159    -0.1590        -1.2277
n.160    -1.5072        -1.1928
n.161    -0.4976        -1.1747
n.162     1.0108        -1.1518
n.163     1.4892        -1.1217
n.164     1.7265        -1.1000
n.165    -0.1145        -1.0976
n.166     0.5277        -1.0325
n.167     0.7807        -1.0205
n.168    -0.0229        -1.0157
n.169    -1.5566        -1.0024
n.170    -1.1747        -0.9446
n.171    -0.2012        -0.9386
n.172     0.3169        -0.9145
n.173     0.7446        -0.8904
n.174     0.5988        -0.8855
n.175     0.5289        -0.8747
n.176     1.2518        -0.8530
n.177     1.6639        -0.8494
n.178     1.0446        -0.8494
n.179    -0.0783        -0.8458
n.180    -1.0976        -0.8458
n.181    -3.1145        -0.8289
n.182    -4.0458        -0.8241
n.183    -3.0988        -0.7205
n.184    -3.5494        -0.7145
n.185    -4.5241        -0.6988
n.186    -3.8325        -0.6434
n.187    -1.6253        -0.6386
n.188    -0.4892        -0.6361
n.189    -0.0494        -0.6265
n.190    -0.4181        -0.6217
n.191     0.4386        -0.6096
n.192     1.5036        -0.5373
n.193     1.8795        -0.5301
n.194     1.6952        -0.5229
n.195     1.3831        -0.5181
n.196    -0.4048        -0.5048
n.197    -4.1120        -0.4976
n.198    -3.5855        -0.4952
n.199    -3.8277        -0.4892
n.200    -3.7193        -0.4651
n.201    -3.9590        -0.4373
n.202    -2.5084        -0.4181
n.203    -0.8458        -0.4108
n.204     0.9458        -0.4048
n.205     2.4096        -0.4036
n.206     1.2843        -0.4024
n.207    -0.4651        -0.3988
n.208     0.3795        -0.3639
n.209     1.4373        -0.3506
n.210     1.4723        -0.3482
n.211    -0.2843        -0.3301
n.212    -0.4108        -0.3048
n.213     0.0012        -0.3048
n.214    -0.0964        -0.2843
n.215     0.0470        -0.2602
n.216     0.7084        -0.2542
n.217     1.8771        -0.2434
n.218     2.7819        -0.2084
n.219     3.4410        -0.2012
n.220     1.6145        -0.1892
n.221    -3.1301        -0.1590
n.222    -0.2434        -0.1578
n.223     0.5783        -0.1554
n.224     0.4000        -0.1241
n.225     1.4289        -0.1145
n.226     2.1627        -0.0964
n.227    -0.1578        -0.0831
n.228     0.5651        -0.0783
n.229    -0.8904        -0.0747
n.230    -1.8735        -0.0723
n.231    -1.0325        -0.0602
n.232    -1.6843        -0.0494
n.233    -4.0711        -0.0229
n.234    -4.1084         0.0012
n.235    -4.7000         0.0024
n.236    -3.6602         0.0048
n.237    -3.5133         0.0205
n.238    -2.1783         0.0253
n.239    -1.2470         0.0470
n.240    -0.9446         0.0530
n.241    -2.1759         0.1434
n.242    -2.2361         0.1627
n.243    -0.7145         0.1747
n.244     0.3988         0.1831
n.245     0.0253         0.1831
n.246     0.8627         0.2229
n.247     1.0771         0.2361
n.248     1.2265         0.2627
n.249     2.8133         0.2651
n.250     1.8084         0.2675
n.251     2.2530         0.2795
n.252     2.1855         0.2807
n.253     1.6711         0.2843
n.254     0.8747         0.3000
n.255     0.7434         0.3096
n.256     1.0217         0.3169
n.257    -0.0747         0.3349
n.258     0.4157         0.3434
n.259     0.9217         0.3795
n.260    -1.9169         0.3988
n.261    -2.1795         0.4000
n.262    -1.0024         0.4036
n.263     0.2229         0.4048
n.264     1.0795         0.4096
n.265     1.9205         0.4157
n.266    -0.4024         0.4386
n.267    -0.6361         0.4542
n.268    -0.9145         0.4831
n.269    -1.1217         0.5277
n.270     0.4096         0.5289
n.271     0.5542         0.5542
n.272    -0.8855         0.5590
n.273    -1.0157         0.5651
n.274     0.0205         0.5771
n.275    -0.8747         0.5783
n.276    -1.3699         0.5892
n.277    -2.1687         0.5916
n.278    -1.2940         0.5988
n.279    -1.4289         0.6205
n.280     0.1627         0.6349
n.281     1.0193         0.6470
n.282     2.9012         0.6639
n.283     3.8494         0.6867
n.284     3.2325         0.6940
