I dati analizzati provengono dal file: data/1946.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -1.5639       -10.3108
n.2    -0.7373       -10.0361
n.3    -1.7349        -9.4373
n.4    -3.5783        -9.1482
n.5    -3.6084        -9.0313
n.6    -2.8000        -8.5373
n.7    -2.0988        -8.0217
n.8    -1.5241        -7.9988
n.9    -0.8386        -7.9735
n.10     0.4952        -7.7988
n.11     1.0771        -7.1386
n.12     2.0361        -6.9627
n.13     2.7494        -6.8398
n.14     0.5892        -6.8313
n.15    -3.2096        -6.1398
n.16    -2.4675        -6.0482
n.17    -2.8169        -5.8181
n.18    -1.7566        -5.4036
n.19     0.4169        -5.2012
n.20    -0.3566        -4.8542
n.21    -3.9349        -4.7434
n.22    -3.3265        -4.5807
n.23    -2.7518        -4.5012
n.24    -0.3494        -4.3554
n.25    -2.9229        -4.2494
n.26    -3.3795        -4.2422
n.27    -1.2048        -4.2325
n.28    -4.5807        -4.1133
n.29    -4.8542        -4.1084
n.30    -3.6217        -4.0554
n.31    -1.9000        -4.0361
n.32    -4.0205        -4.0205
n.33    -2.8892        -3.9723
n.34    -1.1602        -3.9349
n.35    -0.4928        -3.8892
n.36     0.5783        -3.8711
n.37     1.8036        -3.8000
n.38     3.2747        -3.7735
n.39     2.1542        -3.7446
n.40     1.0699        -3.6217
n.41     1.2892        -3.6084
n.42    -1.0205        -3.5783
n.43     2.2506        -3.5169
n.44     1.1831        -3.4723
n.45    -1.5133        -3.4482
n.46     0.6337        -3.3795
n.47     1.2843        -3.3470
n.48     2.4578        -3.3265
n.49     3.2578        -3.2831
n.50     3.8880        -3.2193
n.51     2.3819        -3.2096
n.52     1.7566        -3.0578
n.53    -1.1048        -2.9229
n.54    -1.8386        -2.8892
n.55    -0.1892        -2.8361
n.56     0.2036        -2.8169
n.57    -0.6602        -2.8000
n.58     0.8795        -2.7855
n.59     1.8241        -2.7518
n.60     1.3181        -2.7373
n.61     1.1602        -2.6831
n.62     0.1687        -2.5530
n.63     0.4940        -2.5373
n.64    -0.4831        -2.4675
n.65     0.0386        -2.4542
n.66     0.6590        -2.4542
n.67     3.0639        -2.4301
n.68     3.0747        -2.3783
n.69     2.1952        -2.3554
n.70     1.3458        -2.3301
n.71     0.9024        -2.3253
n.72     0.5060        -2.3133
n.73     0.5651        -2.2602
n.74     0.0012        -2.2289
n.75    -0.8072        -2.2145
n.76    -0.2241        -2.2084
n.77    -1.4699        -2.1711
n.78    -2.6831        -2.1687
n.79    -1.4373        -2.1458
n.80    -0.6193        -2.1133
n.81     0.7843        -2.0988
n.82     2.4048        -2.0831
n.83     2.6627        -2.0482
n.84     3.8446        -1.9880
n.85     2.4892        -1.9675
n.86     1.3940        -1.9651
n.87    -0.0241        -1.9000
n.88     0.2916        -1.8651
n.89     1.5470        -1.8386
n.90     1.7229        -1.8277
n.91     1.6470        -1.7566
n.92     2.3072        -1.7506
n.93     3.9386        -1.7446
n.94     3.2349        -1.7349
n.95     1.5928        -1.6229
n.96     1.1542        -1.6181
n.97     1.9723        -1.6048
n.98     2.1133        -1.6012
n.99     1.8904        -1.5843
n.100     1.2880        -1.5639
n.101     0.5578        -1.5602
n.102    -0.5904        -1.5241
n.103     0.4675        -1.5229
n.104     1.7012        -1.5133
n.105     1.8096        -1.4699
n.106     2.8952        -1.4542
n.107     4.1855        -1.4458
n.108     4.5675        -1.4373
n.109     4.5590        -1.3530
n.110     1.3361        -1.3253
n.111    -0.2723        -1.2952
n.112     0.0795        -1.2940
n.113     0.9880        -1.2241
n.114     1.2253        -1.2120
n.115     0.6699        -1.2084
n.116    -0.3096        -1.2048
n.117    -0.8386        -1.1904
n.118    -0.0819        -1.1807
n.119    -1.1904        -1.1771
n.120    -2.0831        -1.1602
n.121     0.8590        -1.1349
n.122     2.4651        -1.1193
n.123     2.3614        -1.1048
n.124     2.3048        -1.0759
n.125     1.4723        -1.0590
n.126     0.7036        -1.0289
n.127     0.1783        -1.0241
n.128     1.4096        -1.0205
n.129     2.2036        -1.0012
n.130     1.3060        -0.9976
n.131     1.1639        -0.9566
n.132     0.5265        -0.8542
n.133     0.6289        -0.8386
n.134    -1.2940        -0.8386
n.135    -1.2084        -0.8361
n.136    -2.3301        -0.8157
n.137    -2.3253        -0.8108
n.138    -2.4542        -0.8072
n.139    -0.8157        -0.8072
n.140    -0.5181        -0.7916
n.141    -1.2241        -0.7386
n.142    -0.0337        -0.7373
n.143     0.0711        -0.7169
n.144    -0.7108        -0.7108
n.145    -0.2193        -0.6855
n.146    -1.0241        -0.6795
n.147    -0.0928        -0.6602
n.148     0.4687        -0.6554
n.149     1.6301        -0.6325
n.150    -0.8542        -0.6193
n.151    -0.4867        -0.6084
n.152    -0.3651        -0.6024
n.153    -0.8072        -0.5904
n.154    -0.0964        -0.5759
n.155    -0.7386        -0.5747
n.156     0.1904        -0.5747
n.157     1.0928        -0.5590
n.158     2.9530        -0.5253
n.159     3.7410        -0.5181
n.160     2.8928        -0.4988
n.161     1.9024        -0.4928
n.162     0.7108        -0.4904
n.163    -0.8108        -0.4892
n.164    -3.7735        -0.4867
n.165    -2.2145        -0.4831
n.166    -3.9723        -0.4566
n.167    -3.2193        -0.4518
n.168    -1.6229        -0.4277
n.169    -0.4566        -0.4145
n.170    -0.5747        -0.3904
n.171    -1.6012        -0.3651
n.172    -3.2831        -0.3566
n.173    -4.3554        -0.3494
n.174    -5.2012        -0.3253
n.175    -3.8711        -0.3193
n.176    -3.4482        -0.3169
n.177    -4.0361        -0.3096
n.178    -2.3554        -0.2952
n.179     0.0217        -0.2867
n.180     1.3024        -0.2759
n.181     2.4855        -0.2723
n.182     3.3542        -0.2614
n.183     3.1012        -0.2241
n.184     3.3506        -0.2193
n.185     2.3759        -0.1964
n.186     2.9675        -0.1892
n.187    -0.3253        -0.1855
n.188    -3.8892        -0.1627
n.189    -4.2494        -0.1590
n.190    -1.6181        -0.1506
n.191    -0.2614        -0.1217
n.192     1.3036        -0.1205
n.193    -0.1205        -0.0964
n.194    -0.0048        -0.0928
n.195    -0.7169        -0.0819
n.196    -1.6048        -0.0361
n.197    -1.2120        -0.0337
n.198    -0.6855        -0.0241
n.199    -0.4277        -0.0169
n.200    -0.3193        -0.0084
n.201    -1.0590        -0.0048
n.202    -2.2084         0.0012
n.203    -2.1458         0.0217
n.204    -1.4542         0.0386
n.205    -0.3904         0.0554
n.206     0.6843         0.0711
n.207     1.8349         0.0795
n.208     2.0795         0.0855
n.209     1.8373         0.1627
n.210     1.5723         0.1687
n.211     0.4157         0.1783
n.212     0.3892         0.1892
n.213     1.3012         0.1904
n.214    -0.1964         0.2036
n.215     0.6470         0.2060
n.216     2.0084         0.2217
n.217     3.4771         0.2265
n.218     3.6819         0.2916
n.219     3.1410         0.2988
n.220     3.0145         0.3422
n.221     1.8699         0.3663
n.222     2.5566         0.3892
n.223     1.7783         0.4157
n.224     2.4000         0.4169
n.225     3.0289         0.4614
n.226     1.2627         0.4675
n.227     0.3422         0.4687
n.228    -1.1349         0.4940
n.229     0.6096         0.4952
n.230     1.4265         0.5060
n.231    -0.6325         0.5265
n.232    -1.5843         0.5578
n.233    -2.1711         0.5651
n.234    -4.1084         0.5783
n.235    -3.8000         0.5892
n.236    -2.2602         0.6096
n.237    -2.1133         0.6289
n.238    -2.3783         0.6337
n.239    -3.3470         0.6470
n.240    -1.7446         0.6590
n.241    -1.0759         0.6699
n.242    -0.8361         0.6843
n.243    -0.4145         0.7036
n.244    -1.0012         0.7108
n.245    -0.5747         0.7843
n.246    -2.5373         0.7855
n.247    -1.5229         0.8084
n.248     0.2265         0.8590
n.249     1.8133         0.8711
n.250     0.8084         0.8735
n.251     1.4530         0.8795
n.252     0.7855         0.9024
