I dati analizzati provengono dal file: data/2018.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1     2.3361        -7.0205
n.2     2.9627        -6.9759
n.3     1.2651        -6.9313
n.4     3.7217        -6.8819
n.5     2.1916        -6.6398
n.6     5.0000        -6.1602
n.7     7.0012        -4.5831
n.8     9.8759        -4.1060
n.9     8.9614        -3.8193
n.10     6.4952        -3.5157
n.11     5.3771        -3.4108
n.12     3.7361        -3.3952
n.13     2.4494        -3.2964
n.14     0.7892        -2.8361
n.15     1.3904        -2.8084
n.16     2.3325        -2.7373
n.17     1.4831        -2.7301
n.18     1.9434        -2.5940
n.19     2.7169        -2.5373
n.20     1.5434        -2.4084
n.21     3.2651        -2.3217
n.22     3.5735        -2.2386
n.23     1.6482        -2.1747
n.24     1.8506        -2.1012
n.25     2.9771        -2.0482
n.26     4.2205        -1.9470
n.27     5.1952        -1.8554
n.28     2.5193        -1.8012
n.29     3.1458        -1.7747
n.30     4.5783        -1.7000
n.31     4.1000        -1.6904
n.32     3.8795        -1.6795
n.33     3.5108        -1.5386
n.34     2.2398        -1.5373
n.35     1.0072        -1.5169
n.36     1.4783        -1.5145
n.37     1.9036        -1.5120
n.38     0.9747        -1.4783
n.39     0.6542        -1.3422
n.40     1.9699        -1.3349
n.41     2.2892        -1.3301
n.42     1.0795        -1.3133
n.43     1.0506        -1.1928
n.44    -0.8169        -1.1289
n.45    -0.8133        -1.1205
n.46    -0.8663        -1.0831
n.47     0.5843        -1.0711
n.48     1.9578        -1.0699
n.49     1.1578        -1.0699
n.50     1.2880        -1.0542
n.51     0.3819        -1.0482
n.52     0.3566        -1.0422
n.53    -0.5048        -0.9964
n.54    -1.5386        -0.9108
n.55     0.7108        -0.8771
n.56    -3.2964        -0.8663
n.57    -6.1602        -0.8373
n.58    -7.0205        -0.8253
n.59    -6.9759        -0.8169
n.60    -6.8819        -0.8133
n.61    -6.6398        -0.8108
n.62    -6.9313        -0.8012
n.63    -4.1060        -0.7723
n.64    -1.0831        -0.7651
n.65     0.0386        -0.7373
