I dati analizzati provengono dal file: data/2008.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -1.1639        -6.0723
n.2    -0.4373        -5.5193
n.3    -0.9349        -4.7843
n.4    -0.0783        -4.4940
n.5     1.5916        -4.4373
n.6     1.8000        -4.3952
n.7     1.8012        -4.3554
n.8     2.2759        -4.2145
n.9     1.4614        -4.1337
n.10     1.6952        -4.1169
n.11     3.0771        -4.1024
n.12     4.6361        -4.0687
n.13     4.3494        -4.0361
n.14     3.4892        -3.8253
n.15     3.9904        -3.6795
n.16     4.3325        -3.6783
n.17     3.6831        -3.6229
n.18     2.9434        -3.6193
n.19     4.2169        -3.5867
n.20     2.6434        -3.5747
n.21     2.5651        -3.5470
n.22     5.6735        -3.5169
n.23     2.9482        -3.5108
n.24     0.7506        -3.4458
n.25     2.5771        -3.4265
n.26     1.9205        -3.3855
n.27     3.6952        -3.2578
n.28     7.2193        -3.2458
n.29     3.7458        -3.1422
n.30     3.3783        -3.1145
n.31     3.4000        -3.0289
n.32     2.9795        -3.0157
n.33     3.7108        -2.9880
n.34     1.8398        -2.9458
n.35     2.1072        -2.8217
n.36     1.7783        -2.7542
n.37     1.7036        -2.7193
n.38     5.0747        -2.7048
n.39     1.2542        -2.5904
n.40    -0.7301        -2.5867
n.41    -1.1108        -2.5771
n.42    -0.1205        -2.5422
n.43    -0.2494        -2.5205
n.44     0.2831        -2.4482
n.45     0.0867        -2.4157
n.46     0.7337        -2.3988
n.47     0.9843        -2.3795
n.48    -1.9422        -2.3349
n.49    -2.5422        -2.3048
n.50    -1.0120        -2.1699
n.51     0.8819        -2.0325
n.52     1.9566        -2.0277
n.53     1.9952        -2.0145
n.54     2.6614        -1.9904
n.55     3.4108        -1.9422
n.56     2.7036        -1.8373
n.57     3.4398        -1.8373
n.58     4.4795        -1.7735
n.59     4.1241        -1.7723
n.60     5.9181        -1.7590
n.61     6.0602        -1.7542
n.62     5.8687        -1.7024
