I dati analizzati provengono dal file: data/1999.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1     4.8361        -4.7084
n.2     3.8627        -4.6904
n.3     3.2651        -4.4000
n.4     2.4217        -4.2542
n.5     2.1916        -4.1229
n.6     1.0000        -4.1000
n.7     1.7012        -4.1000
n.8     2.8759        -4.0373
n.9     3.0614        -4.0205
n.10     1.7952        -3.9289
n.11     1.9771        -3.8590
n.12     2.1361        -3.8012
n.13     1.4494        -3.7313
n.14    -0.4108        -3.7169
n.15    -0.3096        -3.6807
n.16     1.0325        -3.6265
n.17     3.1831        -3.4831
n.18     3.9434        -3.3988
n.19     2.4169        -3.3867
n.20     1.6434        -3.3470
n.21     0.7651        -3.3373
n.22     0.6735        -3.3253
n.23     0.2482        -3.2855
n.24    -0.3494        -3.2639
n.25     0.3771        -3.2145
n.26     0.7205        -3.1699
n.27     2.7952        -3.1169
n.28     0.0193        -2.9759
n.29     2.2458        -2.9494
n.30    -2.0217        -2.8831
n.31    -4.1000        -2.8747
n.32    -4.0205        -2.8446
n.33    -1.1892        -2.8410
n.34     0.5398        -2.7723
n.35     2.5072        -2.7711
n.36     4.4783        -2.7012
n.37     3.3036        -2.7000
n.38     0.0747        -2.6133
n.39     0.4542        -2.6108
n.40    -2.0301        -2.5663
n.41    -2.6108        -2.4771
n.42    -2.1205        -2.4554
n.43    -2.9494        -2.3735
n.44    -3.1169        -2.3373
n.45    -2.6133        -2.3217
n.46    -2.5663        -2.3193
n.47    -1.9157        -2.2325
n.48    -0.6422        -2.1386
n.49     0.2578        -2.1205
n.50    -0.4120        -2.1145
n.51     1.5819        -2.0373
n.52     1.8566        -2.0361
n.53     0.9952        -2.0301
n.54    -0.1386        -2.0217
n.55    -1.2892        -2.0145
n.56    -0.3964        -1.9735
n.57    -0.1602        -1.9217
n.58     1.0795        -1.9157
n.59     1.9241        -1.8940
n.60     1.7181        -1.8711
n.61     2.9602        -1.8614
n.62     2.2687        -1.7988
n.63     2.2940        -1.7699
n.64     1.5169        -1.7482
n.65    -1.8614        -1.7108
n.66    -1.3410        -1.6373
n.67    -2.0361        -1.6253
n.68    -0.4253        -1.6157
n.69     0.9952        -1.5723
n.70     2.6458        -1.5711
n.71     2.6024        -1.5084
n.72     3.1060        -1.4904
n.73     3.7651        -1.4627
n.74     4.5012        -1.4446
n.75     2.2928        -1.4241
n.76    -0.8241        -1.4157
n.77    -3.1699        -1.3952
n.78    -3.4831        -1.3867
n.79     0.2627        -1.3410
n.80    -1.0193        -1.3386
n.81    -1.4157        -1.3108
n.82    -1.2952        -1.2952
