I dati analizzati provengono dal file: data/1948.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -1.8639       -11.5964
n.2    -0.5373       -10.9892
n.3     1.0651       -10.5205
n.4     1.6217       -10.0602
n.5     2.3916        -8.5759
n.6     2.8000        -7.9819
n.7     2.3012        -7.2458
n.8     3.0759        -7.0398
n.9     1.7614        -6.6145
n.10     0.5952        -6.4181
n.11     0.0771        -5.5614
n.12     2.6361        -5.5434
n.13     1.4494        -5.1120
n.14     4.2892        -5.0976
n.15     2.5904        -4.8325
n.16     4.1325        -4.8313
n.17     2.9831        -4.8277
n.18     0.9434        -4.5988
n.19     2.2169        -4.5964
n.20     1.2434        -4.5386
n.21    -0.8349        -4.4373
n.22    -1.9265        -4.2855
n.23    -1.6518        -4.1783
n.24    -0.2494        -4.1422
n.25     2.5771        -4.1253
n.26     1.3205        -4.0988
n.27     2.9952        -4.0735
n.28     2.6193        -4.0711
n.29     1.8458        -4.0289
n.30     3.5783        -3.9361
n.31     1.9000        -3.9265
n.32     3.6795        -3.9205
n.33     2.8108        -3.8241
n.34     0.9398        -3.8024
n.35     2.7072        -3.8000
n.36     1.8783        -3.7578
n.37     0.1036        -3.7494
n.38     1.9747        -3.5843
n.39     2.4542        -3.5482
n.40     5.4699        -3.4012
n.41     5.0892        -3.3181
n.42     3.0795        -3.2494
n.43     2.0506        -3.2313
n.44     2.1831        -3.2048
n.45     1.0867        -3.1711
n.46     0.9337        -3.1554
n.47     1.6843        -3.1325
n.48    -1.9422        -3.1217
n.49    -4.1422        -3.1048
n.50    -5.1120        -3.0831
n.51    -6.4181        -3.0554
n.52    -5.5434        -3.0012
n.53    -3.1048        -2.9711
n.54    -4.5386        -2.9651
n.55   -10.9892        -2.9120
n.56   -11.5964        -2.8867
n.57   -10.0602        -2.8482
n.58   -10.5205        -2.8422
n.59    -8.5759        -2.7795
n.60    -7.9819        -2.7313
n.61    -7.0398        -2.6964
n.62    -4.8313        -2.6892
n.63    -2.3060        -2.6048
n.64    -0.8831        -2.5916
n.65     0.2386        -2.5651
n.66     1.2590        -2.5482
n.67     2.2639        -2.5217
n.68     4.5747        -2.5169
n.69     5.4952        -2.4735
n.70     5.6458        -2.4361
n.71     3.7024        -2.3867
n.72     1.8060        -2.3373
n.73     1.2651        -2.3060
n.74     0.8012        -2.2349
n.75     1.9928        -2.2193
n.76     4.1759        -2.1084
n.77     2.5301        -2.0867
n.78     2.2169        -2.0759
n.79     1.3627        -2.0241
n.80     1.6807        -2.0000
n.81     2.3843        -1.9988
n.82     2.7048        -1.9916
n.83     0.9627        -1.9807
n.84    -0.0554        -1.9783
n.85     0.7892        -1.9422
n.86    -1.1060        -1.9265
n.87    -2.0241        -1.9181
n.88    -1.2084        -1.9072
n.89    -1.1530        -1.8699
n.90    -0.6771        -1.8639
n.91    -1.4530        -1.8458
n.92    -0.3928        -1.8373
n.93    -1.3614        -1.8277
n.94     0.2349        -1.8229
n.95    -0.8072        -1.8169
n.96    -1.8458        -1.8120
