I dati analizzati provengono dal file: data/1955.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -0.7639        -5.9831
n.2    -1.7373        -5.4783
n.3    -1.8349        -5.3410
n.4     0.0217        -5.3361
n.5     1.1916        -5.3108
n.6     1.2000        -5.0867
n.7     3.3012        -5.0301
n.8     3.8759        -4.9530
n.9     1.9614        -4.8831
n.10     1.6952        -4.8711
n.11     1.3771        -4.8614
n.12     0.7361        -4.7843
n.13     2.1494        -4.7651
n.14     3.3892        -4.6892
n.15     4.0904        -4.6855
n.16     4.0325        -4.4145
n.17     3.7831        -4.3265
n.18     2.6434        -4.3253
n.19     0.6169        -4.3169
n.20    -0.4566        -4.3036
n.21     0.5651        -4.3000
n.22    -0.8265        -4.2325
n.23     0.2482        -4.1277
n.24     0.3506        -4.0627
n.25     0.2771        -4.0434
n.26    -0.6795        -3.9964
n.27     2.1952        -3.9590
n.28     4.2193        -3.8434
n.29     3.6458        -3.8289
n.30     1.7783        -3.8253
n.31     2.9000        -3.8217
n.32     4.1795        -3.7855
n.33     4.8108        -3.7217
n.34     4.9398        -3.6795
n.35     1.9072        -3.6373
n.36     2.3783        -3.5795
n.37     0.4036        -3.5771
n.38     3.9747        -3.5229
n.39     2.2542        -3.5157
n.40     3.0699        -3.4181
n.41     1.2892        -3.4169
n.42    -0.1205        -3.3542
n.43    -1.3494        -3.3060
n.44    -0.4169        -3.2892
n.45    -1.3133        -3.2735
n.46    -2.6663        -3.2157
n.47    -2.4157        -3.2048
n.48    -2.8422        -3.1699
n.49    -0.9422        -3.1542
n.50    -1.9120        -3.1181
n.51    -2.3181        -3.1169
n.52    -3.8434        -3.1048
n.53    -3.2048        -3.0988
n.54    -0.3386        -3.0783
n.55     0.6108        -3.0253
n.56     0.2036        -2.9928
n.57    -0.1602        -2.9530
n.58    -0.5205        -2.9337
n.59    -1.5759        -2.8976
n.60    -1.0819        -2.8855
n.61    -1.4398        -2.8783
n.62    -1.4313        -2.8747
n.63    -3.3060        -2.8422
n.64    -4.8831        -2.8205
n.65    -4.8614        -2.7747
n.66    -5.3410        -2.7699
n.67    -5.3361        -2.7410
n.68    -4.3253        -2.7349
n.69    -3.1048        -2.7301
n.70    -1.6542        -2.7145
n.71    -2.8976        -2.7108
n.72    -1.3940        -2.7108
n.73    -1.6349        -2.7048
n.74    -2.4988        -2.7024
n.75    -2.0072        -2.6687
n.76    -2.1241        -2.6663
n.77    -2.7699        -2.6578
