I dati analizzati provengono dal file: data/1956.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -0.1639       -16.4157
n.2    -0.4373       -16.2663
n.3    -0.9349       -15.4422
n.4    -0.7783       -15.0133
n.5    -0.2084       -14.1169
n.6     0.3000       -13.4494
n.7    -0.4988       -13.2422
n.8    -1.9241       -10.8205
n.9    -0.8386        -9.8602
n.10    -1.3048        -9.8108
n.11    -5.0229        -9.8048
n.12    -1.6639        -9.2928
n.13     0.6494        -9.0217
n.14     0.6892        -8.7458
n.15     1.8904        -8.5892
n.16     1.0325        -8.2892
n.17     1.2831        -8.2120
n.18     2.8434        -7.9964
n.19     1.6169        -7.5301
n.20     0.8434        -7.1976
n.21     1.7651        -7.1964
n.22     0.5735        -7.0386
n.23     0.6482        -7.0181
n.24     2.3506        -6.9349
n.25     0.5771        -6.9253
n.26    -0.9795        -6.8940
n.27     0.0952        -6.2988
n.28     1.3193        -6.2434
n.29     0.6458        -6.2277
n.30     0.4783        -6.1542
n.31    -1.6000        -6.0867
n.32    -5.9205        -6.0602
n.33    -8.2892        -5.9205
n.34    -9.8602        -5.8892
n.35    -9.2928        -5.8759
n.36    -9.0217        -5.8205
n.37    -7.9964        -5.5253
n.38    -6.9253        -5.4398
n.39    -8.7458        -5.3048
n.40    -7.5301        -5.0482
n.41    -9.8108        -5.0229
n.42   -10.8205        -5.0205
n.43   -13.4494        -5.0181
n.44   -14.1169        -4.9988
n.45   -15.0133        -4.9229
n.46   -16.2663        -4.8096
n.47   -16.4157        -4.7506
n.48   -15.4422        -4.6193
n.49   -13.2422        -4.6012
n.50    -8.2120        -4.5976
n.51    -7.0181        -4.5590
n.52    -6.2434        -4.5482
n.53    -9.8048        -4.5217
n.54    -7.0386        -4.4675
n.55    -8.5892        -4.4458
n.56    -7.1964        -4.4084
n.57    -6.0602        -4.3988
n.58    -5.0205        -4.3711
n.59    -5.8759        -4.3590
n.60    -0.0819        -4.3325
n.61    -0.2398        -4.2422
n.62     3.8687        -4.2410
n.63     3.1940        -4.1602
n.64     1.8169        -4.1373
n.65    -0.0614        -4.0807
n.66     0.3590        -4.0482
n.67    -1.9361        -4.0373
n.68    -5.5253        -4.0229
n.69    -5.3048        -4.0036
n.70    -6.1542        -3.9482
n.71    -7.1976        -3.9458
n.72    -6.8940        -3.9349
n.73    -6.9349        -3.8639
n.74    -6.2988        -3.8120
n.75    -3.8072        -3.8072
n.76    -2.9241        -3.7554
n.77    -2.9699        -3.7361
n.78    -2.7831        -3.6916
n.79    -4.0373        -3.6651
n.80    -3.5193        -3.6470
n.81    -2.0157        -3.6241
n.82    -2.9952        -3.6048
n.83    -0.9373        -3.5337
n.84    -0.6554        -3.5337
n.85     0.7892        -3.5193
n.86     0.0940        -3.5000
n.87    -0.7241        -3.4687
n.88    -0.2084        -3.4072
n.89     0.2470        -3.3602
n.90     0.9229        -3.2904
n.91     0.9470        -3.2735
n.92    -1.5928        -3.1566
n.93    -1.0614        -3.1542
n.94    -1.3651        -3.1542
n.95    -3.1072        -3.1313
n.96    -3.9458        -3.1181
n.97    -6.2277        -3.1072
n.98    -6.0867        -3.0855
n.99    -4.8096        -3.0651
n.100    -2.1120        -3.0434
n.101    -1.7422        -3.0325
n.102    -0.7904        -3.0133
n.103    -1.6325        -3.0108
n.104    -1.2988        -3.0108
n.105     0.1096        -3.0000
n.106    -0.4048        -2.9976
n.107    -0.8145        -2.9952
n.108    -3.0325        -2.9723
n.109    -4.2410        -2.9699
n.110    -3.8639        -2.9361
n.111    -2.9723        -2.9241
n.112    -5.8205        -2.9193
n.113    -2.2120        -2.8988
n.114    -0.9747        -2.8554
n.115    -1.1301        -2.8289
n.116    -1.8096        -2.7831
n.117    -1.6386        -2.7241
n.118    -1.6819        -2.7169
n.119    -3.2904        -2.7145
n.120    -1.7831        -2.6916
n.121    -0.3410        -2.6458
n.122    -3.9349        -2.6193
n.123    -2.1386        -2.6169
n.124    -0.1952        -2.6084
n.125     0.8723        -2.4783
n.126     1.1036        -2.4361
n.127     1.8783        -2.4145
n.128     2.5096        -2.3964
n.129     2.8036        -2.3759
n.130     1.8060        -2.3494
n.131     1.0639        -2.3277
n.132    -1.2735        -2.3265
n.133     0.9289        -2.3133
n.134    -1.1940        -2.2831
n.135    -0.5084        -2.2518
n.136     0.0699        -2.2169
n.137     1.0747        -2.2120
n.138    -0.4542        -2.1554
n.139    -1.3157        -2.1530
n.140    -1.0181        -2.1386
n.141    -3.6241        -2.1120
n.142    -3.5337        -2.0988
n.143    -0.5289        -2.0964
n.144    -0.8108        -2.0952
n.145    -1.8193        -2.0590
n.146    -1.1241        -2.0530
n.147     0.9072        -2.0157
n.148     1.8687        -1.9398
n.149     2.2301        -1.9361
n.150     1.4458        -1.9241
n.151     0.1133        -1.8627
n.152    -0.2651        -1.8590
n.153     0.9928        -1.8349
n.154     0.6036        -1.8193
n.155     0.9614        -1.8096
n.156     0.1904        -1.8012
n.157     0.6928        -1.7831
n.158     0.6530        -1.7422
n.159    -4.5590        -1.7277
n.160    -3.4072        -1.7169
n.161    -4.5976        -1.6867
