I dati analizzati provengono dal file: data/1994.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1     3.5361        -7.2807
n.2     0.8627        -5.9892
n.3     0.0651        -5.7373
n.4     1.9217        -5.6108
n.5     1.5916        -5.4422
n.6     5.5000        -5.3988
n.7     8.2012        -5.3024
n.8     6.8759        -5.1795
n.9     6.4614        -5.0120
n.10     6.6952        -4.8783
n.11     6.5771        -4.6771
n.12     3.3361        -4.3506
n.13     3.7494        -4.3157
n.14     2.9892        -3.9663
n.15     2.6904        -3.9289
n.16     2.7325        -3.9205
n.17     1.6831        -3.8422
n.18     2.0434        -3.8133
n.19    -0.9831        -3.7976
n.20    -1.1566        -3.7843
n.21    -0.2349        -3.6422
n.22    -0.4265        -3.5169
n.23    -0.4518        -3.4096
n.24     1.8506        -3.3735
n.25     2.8771        -3.2651
n.26     3.1205        -3.2458
n.27     1.4952        -3.0614
n.28     1.9193        -2.8398
n.29     0.3458        -2.8072
n.30     0.3783        -2.7675
n.31     1.6000        -2.4964
n.32     0.5795        -2.4181
n.33     1.7108        -2.4169
n.34     3.5398        -2.4120
n.35     5.3072        -2.4072
n.36     4.6783        -2.3940
n.37     4.0036        -2.1747
n.38     3.8747        -2.1277
n.39     3.2542        -2.1096
n.40     2.0699        -2.0590
n.41     0.3892        -1.7735
n.42     0.7795        -1.7301
n.43    -1.0494        -1.7181
n.44    -2.4169        -1.6904
n.45    -3.8133        -1.4747
n.46    -3.9663        -1.4289
n.47    -4.3157        -1.4241
n.48    -5.4422        -1.3795
n.49    -3.8422        -1.3651
n.50    -2.4120        -1.3542
n.51    -2.4181        -1.3434
n.52    -1.3434        -1.3410
n.53    -1.3048        -1.3181
n.54    -0.8386        -1.3048
n.55     0.7108        -1.2904
n.56     1.4036        -1.2145
n.57     1.6398        -1.1566
n.58     2.3795        -1.1482
n.59     3.0241        -1.1434
n.60     3.0181        -1.1072
n.61     2.7602        -1.0494
n.62     3.0687        -1.0313
n.63     3.4940        -0.9831
n.64     1.8169        -0.9735
n.65     2.1386        -0.9373
n.66     3.0590        -0.9145
n.67     4.2639        -0.8892
n.68     5.3747        -0.8747
n.69     5.9952        -0.8386
n.70     5.6458        -0.8048
n.71     4.6024        -0.8036
n.72     3.4060        -0.7940
n.73     5.0651        -0.7940
n.74     3.5012        -0.7928
n.75     3.7928        -0.7373
n.76     1.7759        -0.7012
n.77     0.9301        -0.6771
n.78     0.3169        -0.6554
n.79     1.8627        -0.6361
n.80     1.9807        -0.6217
n.81     3.7843        -0.5988
n.82     4.8048        -0.5711
n.83     3.8627        -0.5590
n.84     4.6446        -0.5181
n.85     3.0892        -0.5084
n.86     1.2940        -0.4988
n.87     0.1759        -0.4904
n.88     0.6916        -0.4518
n.89     2.4470        -0.4518
n.90     2.2229        -0.4325
n.91     1.3470        -0.4265
n.92    -0.7928        -0.3867
n.93    -3.0614        -0.3831
n.94    -3.2651        -0.3627
n.95    -2.8072        -0.3554
n.96    -3.2458        -0.3470
n.97    -2.1277        -0.3422
n.98    -0.3867        -0.3241
n.99    -3.4096        -0.3133
n.100    -5.0120        -0.3084
n.101    -3.6422        -0.2723
n.102    -1.6904        -0.2639
n.103    -0.4325        -0.2349
n.104    -0.4988        -0.2205
n.105    -0.4904        -0.2145
n.106    -0.8048        -0.1723
n.107    -0.9145        -0.1494
n.108     0.4675        -0.1253
n.109    -1.3410        -0.0783
n.110    -0.2639        -0.0470
n.111    -0.2723        -0.0398
n.112    -0.2205        -0.0289
n.113     0.0880        -0.0193
n.114    -0.8747         0.0036
n.115    -1.7301         0.0554
n.116     0.6904         0.0651
n.117     1.9614         0.0663
n.118     2.8181         0.0687
n.119     3.1096         0.0843
n.120     3.9169         0.0880
n.121     4.3590         0.0988
n.122     1.8651         0.1048
n.123     0.4614         0.1639
n.124     1.0048         0.1675
n.125     0.7723         0.1759
n.126     0.0036         0.1855
n.127     0.4783         0.1916
n.128     1.1096         0.1988
n.129    -2.4964         0.2241
n.130    -0.7940         0.2313
n.131    -0.6361         0.2434
n.132    -1.7735         0.2614
n.133    -0.5711         0.2867
n.134    -0.7940         0.3072
n.135     0.1916         0.3169
n.136     0.5699         0.3458
n.137     0.4747         0.3771
n.138    -1.3542         0.3783
n.139     0.0843         0.3831
n.140    -1.7181         0.3892
n.141    -1.4241         0.4614
n.142     0.0663         0.4675
n.143    -0.0289         0.4747
n.144     0.7892         0.4771
n.145     1.8807         0.4783
n.146    -0.3241         0.4892
n.147     0.3072         0.5084
n.148     0.0687         0.5217
n.149     0.9301         0.5699
n.150     1.4458         0.5795
n.151     1.3133         0.6783
n.152     2.3349         0.6904
n.153     3.2928         0.6916
n.154     1.4036         0.7108
n.155     0.2614         0.7301
n.156    -2.1096         0.7386
n.157    -1.1072         0.7723
n.158    -0.0470         0.7795
n.159     1.0410         0.7892
n.160    -2.4072         0.8096
n.161    -3.7976         0.8217
n.162    -5.9892         0.8627
n.163    -5.6108         0.8988
n.164    -3.3735         0.9036
n.165    -1.2145         0.9265
n.166    -0.1723         0.9301
n.167    -0.0193         0.9301
n.168     0.3771         0.9422
n.169     0.2434         0.9434
n.170     1.0253         0.9470
n.171    -0.7012         1.0048
n.172    -0.3831         1.0253
n.173     1.2446         1.0410
n.174     3.0988         1.0627
n.175     4.0289         1.0675
n.176     3.1518         1.1096
n.177     1.5639         1.1265
n.178    -0.3554         1.1301
n.179     0.5217         1.1542
n.180     2.4024         1.1639
n.181     3.9855         1.2446
n.182     4.4542         1.2530
n.183     4.2012         1.2542
n.184     4.7506         1.2627
n.185     5.4759         1.2795
n.186     4.7675         1.2843
n.187     1.8747         1.2940
n.188     1.9108         1.3000
n.189    -0.1494         1.3084
n.190    -0.5181         1.3133
n.191     0.7386         1.3470
n.192     0.9036         1.3614
n.193     1.2795         1.3783
n.194     1.8952         1.3831
n.195     2.3831         1.4036
n.196     3.5952         1.4036
n.197     3.9880         1.4458
n.198     4.0145         1.4458
n.199     3.5723         1.4639
n.200     1.5807         1.4952
n.201    -2.0590         1.5518
n.202    -0.3084         1.5639
n.203     1.1542         1.5747
n.204     1.4458         1.5807
n.205     1.9096         1.5916
n.206     2.1843         1.6000
n.207     2.4349         1.6145
n.208     2.5795         1.6145
n.209     2.3373         1.6398
n.210     2.3723         1.6458
n.211     2.6157         1.6831
n.212     2.5892         1.6976
n.213     2.2012         1.7108
n.214     2.1036         1.7133
n.215     3.2470         1.7289
n.216     4.3084         1.7759
n.217     5.2771         1.8096
n.218     5.7819         1.8169
n.219     5.1410         1.8410
n.220     4.4145         1.8422
n.221     4.1699         1.8506
n.222     4.0566         1.8627
n.223     2.2783         1.8651
n.224     2.9000         1.8747
n.225     1.7289         1.8807
n.226     1.0627         1.8916
n.227     1.8422         1.8952
n.228     2.7651         1.9096
n.229     1.8096         1.9108
n.230     0.9265         1.9193
n.231     1.0675         1.9217
n.232     2.4157         1.9494
n.233     4.0289         1.9614
n.234     5.6916         1.9807
n.235     5.8000         1.9855
n.236     2.3398         2.0241
n.237    -0.3133         2.0434
n.238     0.8217         2.0554
n.239     1.2530         2.0699
n.240     2.0554         2.0831
n.241     2.7241         2.0855
n.242     0.1639         2.0892
n.243     0.1855         2.1036
n.244     0.1988         2.1048
n.245    -2.1747         2.1133
n.246    -0.7373         2.1386
n.247     0.4771         2.1663
n.248     1.1265         2.1687
n.249     1.7133         2.1843
n.250     1.3084         2.2012
n.251    -0.3470         2.2229
n.252    -0.2145         2.2253
n.253    -1.4289         2.2639
n.254    -0.1253         2.2783
n.255     0.9434         2.3349
n.256    -0.0783         2.3373
n.257    -1.4747         2.3398
n.258    -3.7843         2.3723
n.259    -4.8783         2.3795
n.260    -3.5169         2.3831
n.261    -5.1795         2.4024
n.262    -5.3024         2.4157
n.263    -4.6771         2.4349
n.264    -3.9205         2.4373
n.265    -1.3795         2.4470
n.266     1.6976         2.4554
