I dati analizzati provengono dal file: data/1995.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1     4.2361        -7.2711
n.2     1.4627        -5.8108
n.3    -0.1349        -5.7012
n.4    -1.8783        -5.4602
n.5    -2.9084        -5.3771
n.6    -3.1000        -5.2735
n.7    -2.3988        -5.0157
n.8    -1.6241        -5.0145
n.9    -1.2386        -4.9651
n.10     0.0952        -4.6145
n.11     2.4771        -4.5482
n.12     0.0361        -4.5084
n.13     0.7494        -4.4000
n.14    -2.5108        -4.2530
n.15    -2.0096        -4.1301
n.16    -1.7675        -4.0892
n.17    -1.7169        -3.9084
n.18     0.0434        -3.8988
n.19     2.0169        -3.6904
n.20     0.3434        -3.6723
n.21     2.2651        -3.5470
n.22     1.7735        -3.4795
n.23     3.3482        -3.4241
n.24     3.8506        -3.4012
n.25     1.4771        -3.3904
n.26     1.3205        -3.3855
n.27     2.5952        -3.3651
n.28     0.6193        -3.3506
n.29     0.8458        -3.3361
n.30     1.9783        -3.2337
n.31     2.9000        -3.1759
n.32     1.2795        -3.1735
n.33     0.8108        -3.1241
n.34     1.0398        -3.1181
n.35     0.7072        -3.1096
n.36     2.3783        -3.1000
n.37     3.2036        -3.0361
n.38     2.8747        -3.0241
n.39     3.7542        -3.0205
n.40     3.0699        -3.0193
n.41     1.8892        -3.0145
n.42     2.6795        -2.9735
n.43     2.8506        -2.9217
n.44     3.2831        -2.9193
n.45     4.3867        -2.9084
n.46     2.2337        -2.7952
n.47     3.0843        -2.7916
n.48     3.3578        -2.7783
n.49     5.5578        -2.7771
n.50     2.7880        -2.7325
n.51     1.8819        -2.6988
n.52     2.1566        -2.6542
n.53     2.9952        -2.6072
n.54     3.0614        -2.5976
n.55    -0.6892        -2.5747
n.56     0.5036        -2.5735
n.57    -1.4602        -2.5337
n.58     1.6795        -2.5145
n.59    -0.2759        -2.5108
n.60    -0.1819        -2.4193
n.61    -0.1398        -2.4108
n.62     0.2687        -2.3988
n.63    -0.0060        -2.3988
n.64    -1.5831        -2.2964
n.65     1.0386        -2.2940
n.66    -1.7410        -2.2855
n.67    -3.3361        -2.2843
n.68    -1.1253        -2.2361
n.69    -1.7048        -2.1904
n.70    -1.5542        -2.1554
