I dati analizzati provengono dal file: data/1953.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1     0.7361        -5.7964
n.2    -2.4373        -5.5386
n.3    -1.5349        -5.2494
n.4    -0.4783        -5.1904
n.5    -1.7084        -5.0530
n.6    -1.2000        -5.0301
n.7     0.1012        -4.9988
n.8    -0.4241        -4.8916
n.9    -1.6386        -4.8108
n.10    -2.2048        -4.6205
n.11    -1.2229        -4.6096
n.12    -2.6639        -4.5349
n.13    -3.3506        -4.4566
n.14    -3.1108        -4.3482
n.15    -3.4096        -4.3253
n.16    -2.8675        -4.3205
n.17    -2.4169        -4.1964
n.18    -2.2566        -4.0735
n.19    -1.4831        -4.0361
n.20    -0.9566        -4.0169
n.21    -1.9349        -4.0072
n.22    -2.2265        -3.9988
n.23    -1.3518        -3.8940
n.24    -1.3494        -3.7675
n.25    -1.2229        -3.7602
n.26     0.0205        -3.7506
n.27    -1.6048        -3.7048
n.28    -0.9807        -3.7000
n.29     0.8458        -3.6072
n.30     1.3783        -3.5458
n.31     0.4000        -3.4964
n.32    -0.1205        -3.4253
n.33    -1.5892        -3.4253
n.34    -0.0602        -3.4096
n.35    -1.7928        -3.3506
n.36    -2.8217        -3.3301
n.37    -2.6964        -3.3133
n.38    -3.4253        -3.2843
n.39    -3.5458        -3.2783
n.40    -5.0301        -3.1590
n.41    -4.8108        -3.1108
n.42    -4.3205        -3.0940
n.43    -5.2494        -3.0470
n.44    -4.0169        -3.0229
n.45    -3.3133        -3.0169
n.46    -2.6663        -2.9361
n.47    -2.0157        -2.8783
n.48    -2.7422        -2.8675
n.49    -1.9422        -2.8470
n.50     0.0880        -2.8241
n.51    -0.1181        -2.8217
n.52    -0.0434        -2.7867
n.53     1.0952        -2.7651
n.54     2.2614        -2.7422
n.55     2.0108        -2.7108
n.56     1.3036        -2.6964
n.57     1.5398        -2.6867
n.58     0.7795        -2.6831
n.59     1.6241        -2.6663
n.60     0.7181        -2.6651
n.61     0.8602        -2.6639
n.62     0.4687        -2.6614
n.63     1.8940        -2.6361
n.64     2.7169        -2.6133
n.65     2.2386        -2.5084
n.66     1.0590        -2.5072
n.67     0.8639        -2.4988
n.68    -3.4253        -2.4904
n.69    -1.6048        -2.4843
