I dati analizzati provengono dal file: data/1989.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -0.1639        -5.5000
n.2     0.0627        -5.3241
n.3     0.1651        -5.0759
n.4    -1.6783        -4.9096
n.5    -2.0084        -4.8072
n.6    -1.4000        -4.6819
n.7    -0.2988        -4.6108
n.8     1.9759        -4.4807
n.9     2.4614        -4.4229
n.10     1.7952        -4.3494
n.11     2.5771        -4.2530
n.12     4.0361        -4.2506
n.13     4.2494        -4.2446
n.14     2.6892        -4.2373
n.15     2.4904        -4.1205
n.16     1.2325        -4.0988
n.17     0.6831        -4.0867
n.18     1.6434        -4.0120
n.19     1.4169        -3.9265
n.20     0.5434        -3.8964
n.21    -0.0349        -3.8952
n.22    -0.7265        -3.8530
n.23    -0.1518        -3.8386
n.24    -0.3494        -3.8386
n.25    -0.3229        -3.6964
n.26     0.2205        -3.6735
n.27    -0.6048        -3.6590
n.28    -0.9807        -3.6470
n.29     0.3458        -3.4590
n.30     0.9783        -3.4373
n.31     0.9000        -3.4133
n.32     2.1795        -3.3880
n.33     2.0108        -3.3096
n.34     1.3398        -3.2988
n.35    -0.0928        -3.2988
n.36     0.3783        -3.2446
n.37     0.5036        -3.2253
n.38     0.8747        -3.2145
n.39     1.9542        -3.1952
n.40     1.4699        -3.1193
n.41     1.3892        -3.0940
n.42     0.2795        -3.0867
n.43     0.5506        -3.0301
n.44     2.9831        -3.0072
n.45     1.4867        -2.9458
n.46     2.5337        -2.8313
n.47     1.8843        -2.7723
n.48     1.6578        -2.7578
n.49     2.0578        -2.6747
n.50     3.8880        -2.5916
n.51     4.2819        -2.5133
n.52     3.8566        -2.5048
n.53     3.7952        -2.4361
n.54     3.7614        -2.4084
n.55     3.8108        -2.3747
n.56     2.9036        -2.3723
n.57     2.5398        -2.3542
n.58     0.3795        -2.3506
n.59    -0.7759        -2.2277
n.60    -0.1819        -2.1916
n.61     0.0602        -2.1084
n.62    -0.6313        -2.0976
n.63     1.3940        -2.0590
n.64     2.2169        -2.0325
n.65     2.2386        -2.0084
n.66     2.3590        -1.9446
n.67     2.8639        -1.9373
n.68     1.6747        -1.9145
n.69     1.4952        -1.8964
n.70     2.5458        -1.8783
n.71     3.8024        -1.8470
n.72     4.0060        -1.8289
n.73     1.9651        -1.8277
n.74     0.3012        -1.7976
n.75     0.2928        -1.7904
n.76     1.5759        -1.7675
n.77     1.3301        -1.7627
n.78    -0.1831        -1.7289
n.79     1.2627        -1.6783
n.80     2.1807        -1.6759
n.81     1.7843        -1.6747
n.82     1.3048        -1.6687
n.83    -0.7373        -1.6651
n.84     1.1446        -1.6530
n.85     3.3892        -1.6072
n.86     4.2940        -1.5988
n.87     4.2759        -1.5855
n.88     3.9916        -1.5711
n.89     4.3470        -1.5482
n.90     4.2229        -1.5253
n.91     1.6470        -1.5145
n.92     1.6072        -1.4916
n.93     1.4386        -1.4831
n.94     0.1349        -1.4301
n.95     0.5928        -1.4000
n.96    -1.2458        -1.3747
n.97    -1.8277        -1.3651
n.98     0.2133        -1.3566
n.99     1.1904        -1.3410
n.100     1.8880        -1.2458
n.101     2.7578        -1.2337
n.102     0.1096        -1.2169
n.103    -0.5325        -1.2012
n.104    -0.4988        -1.1795
n.105     2.1096        -1.1614
n.106    -0.4048        -1.1325
n.107    -1.9145        -1.1277
n.108    -1.1325        -1.1229
n.109    -1.3410        -1.1217
n.110    -0.4639        -1.1205
n.111    -2.3723        -1.1012
n.112    -4.1205        -1.0976
n.113    -4.0120        -1.0217
n.114    -2.3747        -1.0157
n.115    -3.0301        -0.9904
n.116    -3.3096        -0.9807
n.117    -3.8386        -0.9108
n.118    -4.6819        -0.8651
n.119    -1.7904        -0.8361
n.120    -1.4831        -0.8193
n.121    -0.4410        -0.8169
n.122     0.2651        -0.8145
n.123     1.1614        -0.8120
n.124     2.0048        -0.7759
n.125     2.5723        -0.7518
n.126     3.7036        -0.7373
n.127     0.7783        -0.7289
n.128    -0.9904        -0.7265
n.129     0.1036        -0.7181
n.130    -0.6940        -0.6940
n.131    -0.2361        -0.6735
n.132    -0.6735        -0.6602
n.133     0.4289        -0.6313
n.134     0.3060        -0.6048
n.135    -2.4084        -0.5783
n.136    -1.4301        -0.5771
n.137    -0.5253        -0.5458
n.138     0.9458        -0.5325
n.139     1.9843        -0.5253
n.140     1.9819        -0.5229
n.141     2.0759        -0.4988
n.142     2.6663        -0.4855
n.143     1.4711        -0.4639
n.144    -0.0108        -0.4590
n.145     0.0807        -0.4470
n.146     0.6759        -0.4410
n.147     1.1072        -0.4386
n.148     1.5687        -0.4373
n.149     1.9301        -0.4048
n.150     1.2458        -0.3904
n.151    -0.3867        -0.3867
n.152    -0.8651        -0.3843
n.153    -1.6072        -0.3747
n.154    -3.8964        -0.3494
n.155    -3.8386        -0.3229
n.156    -4.9096        -0.3145
n.157    -4.8072        -0.2988
n.158    -3.6470        -0.2855
n.159    -3.6590        -0.2361
n.160    -3.0072        -0.1855
n.161    -1.7976        -0.1831
n.162     0.4108        -0.1819
n.163     0.1892        -0.1639
n.164     0.2265        -0.1518
n.165     0.9855        -0.1482
n.166     1.0277        -0.0928
n.167     1.1807        -0.0699
n.168    -0.5229        -0.0349
n.169     0.6434        -0.0217
n.170    -0.3747        -0.0108
n.171     1.0988        -0.0048
n.172     2.2169         0.0602
n.173     0.2446         0.0627
n.174    -1.1012         0.0807
n.175    -1.5711         0.1036
n.176     0.4518         0.1096
n.177     0.6639         0.1349
n.178     0.7446         0.1542
n.179    -0.5783         0.1651
n.180    -2.0976         0.1747
n.181    -0.8145         0.1892
n.182     0.1542         0.2133
n.183    -1.5988         0.2205
n.184    -4.3494         0.2265
n.185    -5.3241         0.2446
n.186    -2.0325         0.2506
n.187     0.1747         0.2566
n.188     1.1108         0.2651
n.189     0.2506         0.2795
n.190     0.7819         0.2916
n.191    -1.1614         0.2928
n.192    -1.8964         0.3000
n.193    -1.1205         0.3012
n.194    -0.0048         0.3060
n.195    -0.8169         0.3096
n.196    -2.5048         0.3458
n.197    -0.8120         0.3578
n.198    -0.4855         0.3783
n.199    -1.1277         0.3795
n.200    -0.8193         0.4108
