I dati analizzati provengono dal file: data/1982.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1     0.9361        -6.0747
n.2    -0.1373        -5.4627
n.3    -2.5349        -5.3711
n.4    -0.8783        -5.3386
n.5     0.6916        -5.1048
n.6     1.1000        -5.0373
n.7     1.3012        -5.0084
n.8    -1.8241        -4.9904
n.9    -2.1386        -4.5964
n.10    -1.6048        -4.2000
n.11    -0.3229        -4.1892
n.12    -0.1639        -3.9904
n.13     0.6494        -3.9590
n.14    -0.0108        -3.9289
n.15     0.5904        -3.9048
n.16    -1.0675        -3.8964
n.17    -0.5169        -3.7301
n.18     0.1434        -3.6108
n.19    -1.0831        -3.5988
n.20    -0.4566        -3.5181
n.21    -2.1349        -3.4904
n.22    -1.6265        -3.4373
n.23    -1.4518        -3.3735
n.24    -0.6494        -3.3627
n.25    -1.4229        -3.3277
n.26    -1.9795        -3.1940
n.27    -1.4048        -3.1831
n.28     0.0193        -3.1506
n.29     0.3458        -3.1205
n.30     2.8783        -3.0988
n.31     5.2000        -3.0530
n.32     3.5795        -3.0277
n.33     0.6108        -2.9554
n.34    -0.7602        -2.9530
n.35    -1.7928        -2.9410
n.36    -1.3217        -2.9096
n.37    -1.6964        -2.8807
n.38    -0.5253        -2.8675
n.39    -0.3458        -2.7602
n.40     0.5699        -2.7590
n.41    -0.1108        -2.7205
n.42     0.0795        -2.6952
n.43     0.2506        -2.6940
n.44     0.3831        -2.6916
n.45    -0.2133        -2.6373
n.46     0.2337        -2.6241
n.47     2.0843        -2.6193
n.48     3.2578        -2.6157
n.49     4.6578        -2.5349
n.50     1.1880        -2.5325
n.51     1.1819        -2.5145
n.52    -2.0434        -2.5072
n.53    -5.1048        -2.4723
n.54    -5.3386        -2.4699
n.55    -4.1892        -2.3602
n.56    -4.5964        -2.3446
n.57    -2.7602        -2.3133
n.58    -2.7205        -2.3120
n.59    -1.3759        -2.2687
n.60     0.4181        -2.1988
n.61     1.0602        -2.1855
n.62     0.2687        -2.1410
n.63    -0.1060        -2.1386
n.64     1.1169        -2.1349
n.65    -0.8614        -2.1349
n.66    -2.1410        -2.0964
n.67    -1.7361        -2.0735
n.68    -1.3253        -2.0639
n.69    -1.1048        -2.0602
n.70    -0.1542        -2.0434
n.71    -1.9976        -2.0205
n.72    -0.2940        -1.9988
n.73    -1.1349        -1.9976
n.74    -3.0988        -1.9916
n.75    -2.5072        -1.9795
n.76    -2.6241        -1.9217
n.77    -2.4699        -1.9145
n.78    -1.4831        -1.9133
n.79    -3.4373        -1.9012
n.80    -2.6193        -1.8241
n.81    -2.6157        -1.7928
n.82    -2.6952        -1.7759
n.83    -2.6373        -1.7518
n.84    -2.9554        -1.7482
n.85    -1.2108        -1.7470
n.86    -0.4060        -1.7373
n.87    -0.6241        -1.7361
n.88    -1.1084        -1.6988
n.89    -0.5530        -1.6964
n.90    -0.8771        -1.6651
n.91    -1.3530        -1.6265
n.92     0.5072        -1.6048
n.93     1.4386        -1.5952
n.94     2.8349        -1.5783
n.95     3.0928        -1.5398
n.96     3.4542        -1.5398
n.97     2.5723        -1.5361
n.98     1.6133        -1.5157
n.99     2.0904        -1.5108
n.100     0.8880        -1.4843
n.101    -0.1422        -1.4843
n.102     0.6096        -1.4831
n.103    -2.5325        -1.4518
n.104    -3.5988        -1.4386
n.105    -3.9904        -1.4229
n.106    -3.9048        -1.4145
n.107    -1.4145        -1.4048
n.108     0.6675        -1.4000
n.109    -1.1410        -1.3916
n.110    -2.0639        -1.3759
n.111    -2.4723        -1.3651
n.112    -2.0205        -1.3530
n.113    -2.3120        -1.3361
n.114    -6.0747        -1.3253
n.115    -3.7301        -1.3229
n.116    -2.9096        -1.3217
n.117    -0.7386        -1.2771
n.118    -1.0819        -1.2723
n.119    -0.5904        -1.2301
n.120    -3.1831        -1.2108
n.121    -2.9410        -1.1687
n.122    -2.1349        -1.1554
n.123    -1.4386        -1.1410
n.124    -1.5952        -1.1349
n.125    -3.0277        -1.1084
n.126    -2.0964        -1.1048
n.127    -1.9217        -1.0988
n.128    -4.9904        -1.0831
n.129    -3.8964        -1.0819
n.130    -2.6940        -1.0675
n.131    -1.5361        -1.0651
n.132    -0.6735        -1.0084
n.133    -0.3711        -0.9964
n.134     0.7060        -0.9554
n.135     1.7916        -0.9217
n.136     2.0699        -0.9193
n.137     1.7747        -0.8783
n.138     1.5458        -0.8771
n.139     1.7843        -0.8747
n.140     2.6819        -0.8614
n.141     1.6759        -0.8554
n.142     2.1663        -0.8542
n.143     0.5711        -0.8313
n.144     0.1892        -0.7855
n.145    -0.9193        -0.7602
n.146    -0.0241        -0.7386
n.147     1.1072        -0.7361
n.148     1.8687        -0.7157
n.149     2.6301        -0.6735
n.150     2.0458        -0.6699
n.151     1.8133        -0.6494
n.152     2.3349        -0.6241
n.153     2.6928        -0.6193
n.154     3.3036        -0.6169
n.155     4.3614        -0.5904
n.156     3.9904        -0.5904
n.157     3.5928        -0.5747
n.158     3.6530        -0.5735
n.159     4.0410        -0.5723
n.160     3.5928        -0.5530
n.161     3.3024        -0.5301
n.162     1.6108        -0.5253
n.163    -1.5108        -0.5181
n.164    -3.3735        -0.5169
n.165    -1.9145        -0.5012
n.166    -1.2723        -0.4566
n.167    -0.6193        -0.4542
n.168     1.1771        -0.4325
