I dati analizzati provengono dal file: data/2012.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1     1.7361        -7.1964
n.2     1.3627        -7.0928
n.3     2.6651        -6.9205
n.4     0.9217        -6.6602
n.5     1.8916        -6.5217
n.6     3.8000        -6.1108
n.7     2.2012        -6.0494
n.8     2.2759        -5.9253
n.9     2.7614        -5.1892
n.10     2.7952        -4.9036
n.11     2.1771        -4.7181
n.12     1.4361        -4.6169
n.13     2.2494        -4.2434
n.14     1.2892        -4.2241
n.15    -1.7096        -4.0301
n.16    -2.3675        -4.0205
n.17    -2.6169        -4.0133
n.18    -1.7566        -3.6458
n.19    -0.0831        -3.4422
n.20     2.0434        -3.4012
n.21     1.4651        -3.3458
n.22     2.8735        -3.3410
n.23     3.4482        -3.3000
n.24     2.4506        -3.1880
n.25     0.8771        -3.1723
n.26    -0.3795        -3.1663
n.27     0.3952        -3.1542
n.28     0.1193        -3.1289
n.29    -0.4542        -3.1253
n.30    -1.5217        -3.1181
n.31    -3.3000        -3.1012
n.32    -4.0205        -3.0855
n.33    -5.1892        -3.0542
n.34    -6.6602        -3.0446
n.35    -7.0928        -3.0108
n.36    -6.5217        -2.9325
n.37    -7.1964        -2.9157
n.38    -5.9253        -2.8301
n.39    -3.3458        -2.7120
n.40    -4.0301        -2.7096
n.41    -6.1108        -2.6904
n.42    -6.9205        -2.6458
n.43    -6.0494        -2.6169
n.44    -4.6169        -2.6120
n.45    -4.0133        -2.4747
n.46    -3.1663        -2.4711
n.47     0.2843        -2.4301
n.48     0.0578        -2.4301
n.49     1.2578        -2.4145
n.50     2.4880        -2.4108
n.51    -0.2181        -2.3940
n.52    -0.6434        -2.3723
n.53    -0.3048        -2.3675
n.54     0.3614        -2.2337
n.55     4.2108        -2.0373
n.56     4.5036        -1.9735
n.57     3.9398        -1.9627
n.58     2.1795        -1.8639
n.59     1.0241        -1.8590
n.60     5.9181        -1.8506
n.61     5.4602        -1.8325
n.62     4.1687        -1.8277
n.63     4.2940        -1.7747
n.64     2.3169        -1.7627
n.65     0.5386        -1.7566
n.66     0.2590        -1.7542
n.67     1.1639        -1.7096
n.68     2.1747        -1.6084
n.69    -0.0048        -1.5952
n.70     0.3458        -1.5904
n.71     3.4024        -1.5217
n.72     3.1060        -1.4747
n.73     3.2651        -1.3783
n.74     4.2012        -1.3373
n.75     3.4928        -1.3048
n.76     2.3759        -1.2892
n.77     2.4301        -1.2205
n.78     1.0169        -1.2145
n.79     0.9627        -1.2133
n.80     2.9807        -1.1976
n.81     3.4843        -1.1771
n.82     3.3048        -1.1530
n.83     3.7627        -1.1096
n.84     3.7446        -1.0952
n.85     4.2892        -1.0867
n.86     4.3940        -1.0048
n.87     5.1759        -0.9723
n.88     5.5916        -0.9205
n.89     6.3470        -0.9120
n.90     5.1229        -0.8988
n.91     1.1470        -0.8964
n.92     0.6072        -0.8361
n.93     1.6386        -0.7518
n.94     1.3349        -0.7325
n.95     1.8928        -0.7217
n.96     2.0542        -0.7084
n.97     1.9723        -0.6855
n.98    -1.0867        -0.6530
n.99    -2.7096        -0.6434
n.100    -2.7120        -0.6313
n.101    -3.4422        -0.5651
n.102    -2.6904        -0.4843
n.103    -0.7325        -0.4566
n.104    -0.8988        -0.4542
n.105    -1.5904        -0.4169
n.106    -1.3048        -0.4145
n.107    -0.4145        -0.3904
n.108    -2.9325        -0.3855
n.109    -3.3410        -0.3795
n.110    -1.8639        -0.3145
n.111    -2.3723        -0.3048
n.112    -0.9205        -0.2217
n.113    -2.6120        -0.2181
n.114    -2.4747        -0.1795
n.115    -2.4301        -0.1590
n.116    -1.1096        -0.1470
n.117     1.4614        -0.1024
n.118     4.3181        -0.0831
n.119     2.2096        -0.0048
n.120     1.1169         0.0084
n.121     0.5590         0.0578
n.122     0.0651         0.0614
n.123     0.3614         0.0651
n.124     0.1048         0.0723
n.125     0.0723         0.0771
n.126    -0.8964         0.0771
n.127    -0.7217         0.1048
n.128    -0.3904         0.1193
n.129     0.8036         0.1614
n.130     3.0060         0.1928
n.131     4.7639         0.2217
n.132     5.8265         0.2590
n.133    -2.4711         0.2602
n.134    -2.3940         0.2639
n.135    -1.6084         0.2759
n.136    -2.4301         0.2831
n.137    -3.1253         0.2831
n.138    -3.1542         0.2843
n.139    -2.9157         0.2904
n.140    -3.1181         0.3145
n.141    -4.2241         0.3458
n.142    -2.2337         0.3614
n.143     2.2711         0.3614
n.144     3.6892         0.3819
n.145     1.6807         0.3952
n.146     0.2759         0.4072
n.147     0.4072         0.4229
n.148     0.6687         0.4614
n.149     1.6301         0.4747
n.150     1.8458         0.4831
n.151     1.9133         0.5193
n.152     2.7349         0.5386
n.153     1.6928         0.5590
n.154     1.1036         0.5639
n.155     0.1614         0.5928
n.156     0.2904         0.5952
