I dati analizzati provengono dal file: data/2006.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -1.9639        -5.7711
n.2    -2.6373        -4.7867
n.3    -0.9349        -4.7000
n.4    -2.1783        -4.2976
n.5    -2.6084        -4.2373
n.6     0.6000        -3.9349
n.7    -1.0988        -3.7795
n.8     0.4759        -3.7482
n.9     0.1614        -3.7398
n.10    -1.8048        -3.6940
n.11    -2.1229        -3.6651
n.12    -0.8639        -3.6578
n.13    -1.6506        -3.5072
n.14    -2.2108        -3.4229
n.15    -2.6096        -3.3988
n.16    -2.3675        -3.3964
n.17    -1.3169        -3.3253
n.18     0.1434        -3.2530
n.19     1.3169        -3.2229
n.20    -0.0566        -3.1819
n.21    -0.0349        -3.1602
n.22     0.9735        -3.1361
n.23    -0.9518        -3.1313
n.24    -3.0494        -3.0494
n.25    -3.4229        -3.0277
n.26    -3.7795        -2.9687
n.27    -2.1048        -2.9494
n.28    -0.1807        -2.9349
n.29     0.0458        -2.9169
n.30     0.6783        -2.7699
n.31    -0.9000        -2.7602
n.32    -0.5205        -2.7241
n.33    -1.4892        -2.6916
n.34    -3.1602        -2.6373
n.35    -1.9928        -2.6133
n.36    -2.4217        -2.6096
n.37    -3.3964        -2.6084
n.38    -3.3253        -2.5904
n.39    -2.0458        -2.5759
n.40    -1.2301        -2.5072
n.41    -0.0108        -2.4446
n.42    -1.0205        -2.4217
n.43    -2.9494        -2.4217
n.44    -2.9169        -2.3867
n.45    -2.6133        -2.3675
n.46    -1.4663        -2.3542
n.47     0.2843        -2.3410
n.48     0.4578        -2.3361
n.49     0.1578        -2.2940
n.50     0.6880        -2.2831
n.51     2.5819        -2.2193
n.52     0.2566        -2.2108
n.53     0.7952        -2.1783
n.54     0.6614        -2.1783
n.55    -1.2892        -2.1470
n.56    -0.2964        -2.1229
n.57    -0.3602        -2.1133
n.58    -1.3205        -2.1048
n.59    -2.5759        -2.0904
n.60    -3.1819        -2.0470
n.61    -3.7398        -2.0458
n.62    -3.1313        -2.0373
n.63    -0.6060        -2.0181
n.64     2.2169        -1.9928
n.65    -0.9614        -1.9639
n.66    -2.3410        -1.9458
n.67    -3.1361        -1.9145
n.68    -0.3253        -1.9072
n.69     0.4952        -1.8831
n.70    -1.5542        -1.8072
n.71    -4.2976        -1.8048
n.72    -3.6940        -1.7964
n.73    -2.9349        -1.6602
n.74    -3.3988        -1.6506
n.75    -2.5072        -1.5759
n.76    -2.7241        -1.5542
n.77    -2.7699        -1.5012
n.78    -2.2831        -1.4892
n.79    -2.0373        -1.4663
n.80    -2.2193        -1.4096
n.81    -0.8157        -1.3988
n.82     0.0048        -1.3434
n.83    -1.1373        -1.3205
n.84     0.4446        -1.3169
n.85     1.7892        -1.2892
n.86     1.5940        -1.2422
n.87     1.1759        -1.2410
n.88     0.4916        -1.2301
n.89     0.1470        -1.1892
n.90     1.6229        -1.1373
n.91     0.9470        -1.1313
n.92     1.1072        -1.0988
n.93     1.8386        -1.0964
n.94    -0.1651        -1.0205
n.95    -1.8072        -0.9614
n.96    -1.9458        -0.9518
n.97    -3.0277        -0.9349
n.98    -2.3867        -0.9000
n.99    -1.4096        -0.8940
n.100    -0.4120        -0.8735
n.101    -1.2422        -0.8639
n.102    -2.0904        -0.8325
n.103    -0.2325        -0.8301
n.104     0.3012        -0.8289
n.105    -0.3904        -0.8157
n.106     1.5952        -0.7590
n.107     0.8855        -0.7193
n.108     1.0675        -0.6289
n.109     0.7590        -0.6108
n.110     1.4361        -0.6084
n.111     2.1277        -0.6060
n.112     2.0795        -0.5807
n.113     2.4880        -0.5205
n.114     2.3253        -0.5000
n.115     2.1699        -0.4843
n.116     1.5904        -0.4747
n.117     2.1614        -0.4711
n.118     1.6181        -0.4554
n.119     1.1096        -0.4361
