I dati analizzati provengono dal file: data/2013.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -0.0639        -7.9193
n.2     2.5627        -7.4699
n.3     0.6651        -6.2108
n.4     3.0217        -6.1831
n.5     6.0916        -5.9783
n.6     7.5000        -5.8241
n.7     5.3012        -5.6241
n.8     4.3759        -5.4108
n.9     3.7614        -5.0554
n.10     2.9952        -4.9373
n.11     2.5771        -4.9060
n.12     2.0361        -4.8072
n.13     1.6494        -4.4241
n.14     1.0892        -4.3699
n.15     0.1904        -4.3542
n.16     0.1325        -4.2928
n.17    -1.1169        -4.0976
n.18    -1.1566        -4.0892
n.19    -0.1831        -4.0253
n.20     0.1434        -3.9867
n.21     0.6651        -3.8964
n.22     0.5735        -3.8313
n.23     0.0482        -3.6530
n.24     0.8506        -3.6386
n.25    -1.2229        -3.6048
n.26     0.5205        -3.6000
n.27    -0.5048        -3.5867
n.28     0.4193        -3.5590
n.29    -0.1542        -3.5193
n.30     1.6783        -3.5108
n.31     2.9000        -3.5096
n.32     1.2795        -3.4988
n.33     2.9108        -3.4867
n.34     2.7398        -3.4554
n.35     0.5072        -3.4542
n.36     1.0783        -3.4084
n.37     0.8036        -3.2530
n.38     0.6747        -3.2470
n.39    -1.5458        -3.2205
n.40    -2.6301        -3.2169
n.41    -3.5108        -3.1675
n.42    -3.2205        -3.1494
n.43    -3.1494        -3.1241
n.44    -3.2169        -3.0976
n.45    -1.6133        -3.0181
n.46     0.4337        -2.9651
n.47     0.2843        -2.9602
n.48    -0.8422        -2.9566
n.49    -0.9422        -2.8940
n.50    -1.3120        -2.8337
n.51    -0.7181        -2.8265
n.52    -2.2434        -2.8072
n.53    -3.6048        -2.6783
n.54    -3.6386        -2.6301
n.55    -4.0892        -2.5759
n.56    -3.8964        -2.5072
n.57    -2.9602        -2.4795
n.58    -1.3205        -2.4783
n.59     1.2241        -2.4157
n.60     1.4181        -2.3928
n.61     0.5602        -2.3373
n.62     0.8687        -2.2530
