I dati analizzati provengono dal file: data/1943.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -2.2639        -6.1169
n.2     0.4627        -5.5530
n.3     0.2651        -5.3566
n.4    -1.2783        -4.7494
n.5    -2.9084        -4.7373
n.6     0.4000        -4.6193
n.7    -1.5988        -4.4976
n.8     0.9759        -4.4904
n.9     1.7614        -4.4386
n.10    -0.7048        -4.3229
n.11    -2.0229        -4.0855
n.12    -1.5639        -3.9831
n.13     1.3494        -3.7145
n.14     0.9892        -3.5458
n.15    -0.5096        -3.5169
n.16    -2.8675        -3.4747
n.17    -6.1169        -3.4651
n.18    -5.3566        -3.4614
n.19    -3.9831        -3.4458
n.20    -2.2566        -3.4205
n.21     0.5651        -3.4181
n.22     3.8735        -3.3988
n.23     5.5482        -3.3518
n.24     2.3506        -3.3361
n.25     1.7771        -3.1096
n.26     2.1205        -3.1084
n.27     0.1952        -3.0578
n.28    -0.3807        -3.0446
n.29     1.5458        -2.9566
n.30     1.9783        -2.9386
n.31     4.2000        -2.9084
n.32     4.8795        -2.8867
n.33     4.3108        -2.8675
n.34     3.3398        -2.8217
n.35     1.3072        -2.8205
n.36    -0.1217        -2.6301
n.37    -1.7964        -2.5855
n.38    -0.8253        -2.4867
n.39     0.0542        -2.4651
n.40    -2.6301        -2.4494
n.41    -1.3108        -2.3157
n.42    -3.4205        -2.2964
n.43     0.0506        -2.2639
n.44     2.8831        -2.2566
n.45     2.5867        -2.1952
n.46     3.0337        -2.0904
n.47     1.9843        -2.0590
n.48     0.5578        -2.0229
n.49     0.8578        -2.0133
n.50     0.7880        -1.9723
n.51     2.1819        -1.9627
n.52     2.6566        -1.8590
n.53     2.5952        -1.8337
n.54     3.4614        -1.7964
n.55     3.3108        -1.7386
n.56     2.5036        -1.7253
n.57     2.3398        -1.7241
n.58     2.1795        -1.6542
n.59     0.6241        -1.5988
n.60     1.6181        -1.5976
n.61     4.5602        -1.5892
n.62     3.8687        -1.5639
n.63     2.4940        -1.5157
n.64     1.1169        -1.5157
n.65     0.7386        -1.5145
n.66     0.3590        -1.4940
n.67     0.2639        -1.4277
n.68    -0.7253        -1.3904
n.69     0.3952        -1.3169
n.70     2.1458        -1.3108
n.71     2.0024        -1.2783
n.72     0.7060        -1.2590
n.73    -0.1349        -1.2554
n.74    -0.6988        -1.2084
n.75     0.0928        -1.1783
n.76     0.9759        -1.1217
n.77     0.8301        -1.1169
n.78     0.5169        -1.1133
n.79    -0.7373        -1.0916
n.80    -0.9193        -1.0361
n.81    -1.5157        -0.9952
n.82    -0.9952        -0.9482
n.83     0.3627        -0.9458
n.84     0.8446        -0.9349
n.85     0.0892        -0.9193
n.86     1.0940        -0.9108
n.87     0.0759        -0.9072
n.88     0.5916        -0.8602
n.89     1.4470        -0.8253
n.90     1.4229        -0.8253
n.91     3.9470        -0.8120
n.92     2.2072        -0.8096
n.93    -0.4614        -0.7711
n.94     1.3349        -0.7554
n.95     1.6928        -0.7373
n.96     1.4542        -0.7253
n.97    -1.4277        -0.7048
n.98    -2.4867        -0.6988
n.99    -3.1096        -0.6855
n.100    -0.8120        -0.6277
n.101     0.1578        -0.6265
n.102     0.7096        -0.6048
n.103     0.0675        -0.5771
n.104     1.5012        -0.5627
n.105     2.2096        -0.5217
n.106     2.8952        -0.5096
n.107     3.3855        -0.4614
n.108     4.7675        -0.4482
n.109     4.7590        -0.4241
n.110     4.2361        -0.4036
n.111     2.8277        -0.3964
n.112     2.3795        -0.3807
n.113     3.5880        -0.3325
n.114     2.1253        -0.3012
n.115     2.6699        -0.2964
n.116     3.8904        -0.2470
n.117     3.2614        -0.1446
n.118     2.5181        -0.1349
n.119     0.6096        -0.1217
n.120     0.9169        -0.0964
n.121     0.0590        -0.0892
n.122    -0.9349         0.0000
n.123    -2.9386         0.0506
n.124    -2.1952         0.0542
n.125    -0.6277         0.0590
n.126    -0.0964         0.0602
n.127    -1.1217         0.0675
n.128    -1.3904         0.0723
n.129    -2.2964         0.0759
n.130    -1.4940         0.0892
n.131    -1.0361         0.0928
n.132     1.2265         0.1169
n.133     3.4289         0.1578
n.134     3.6060         0.1675
n.135     4.1916         0.1807
n.136     4.3699         0.1952
n.137     0.7747         0.1952
n.138     0.2458         0.2024
n.139     1.8843         0.2241
n.140     2.3819         0.2458
n.141     2.5759         0.2530
n.142     2.4663         0.2639
n.143     2.2711         0.2651
n.144     0.8892         0.2711
n.145     0.4807         0.2928
n.146    -0.4241         0.3205
n.147     1.3072         0.3313
n.148     2.3687         0.3590
n.149     2.8301         0.3627
n.150     3.2458         0.3795
n.151     1.8133         0.3819
n.152     0.9349         0.3952
n.153     0.2928         0.4000
n.154    -0.3964         0.4012
n.155    -1.7386         0.4048
n.156    -0.8096         0.4241
n.157     0.7928         0.4265
n.158     0.2530         0.4446
n.159    -1.8590         0.4627
n.160    -0.9072         0.4807
n.161     0.2024         0.5169
n.162    -0.0892         0.5410
n.163     1.1892         0.5578
n.164     1.8265         0.5651
n.165     1.5855         0.5916
n.166    -1.9723         0.6096
