I dati analizzati provengono dal file: data/1992.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -1.3639        -6.2325
n.2    -0.9373        -5.7253
n.3    -0.3349        -5.2048
n.4    -0.3783        -5.0904
n.5    -0.7084        -4.6759
n.6    -0.2000        -4.5964
n.7    -0.4988        -4.5892
n.8     1.9759        -4.4831
n.9     3.3614        -4.4699
n.10     4.0952        -4.4554
n.11     2.6771        -4.4084
n.12     0.7361        -4.3470
n.13    -0.6506        -4.1747
n.14    -1.0108        -4.0590
n.15    -0.1096        -4.0554
n.16     0.6325        -4.0205
n.17     1.0831        -4.0072
n.18     0.6434        -3.9928
n.19    -0.3831        -3.9867
n.20    -0.5566        -3.8892
n.21    -2.0349        -3.8554
n.22    -2.1265        -3.8108
n.23    -0.7518        -3.7012
n.24     1.2506        -3.6735
n.25     4.6771        -3.6012
n.26     2.1205        -3.5434
n.27     0.1952        -3.5337
n.28    -0.6807        -3.4916
n.29    -0.0542        -3.4711
n.30     1.9783        -3.4145
n.31     1.7000        -3.3325
n.32     0.9795        -3.3181
n.33     1.7108        -3.3181
n.34     0.2398        -3.3012
n.35     2.0072        -3.2458
n.36     2.7783        -3.2446
n.37     2.8036        -3.2120
n.38     1.3747        -3.1988
n.39     0.7542        -3.1904
n.40     0.0699        -3.0518
n.41     2.4892        -3.0181
n.42    -0.1205        -3.0133
n.43     1.0506        -3.0060
n.44     2.8831        -2.9530
n.45     4.6867        -2.9482
n.46     2.0337        -2.8494
n.47     2.3843        -2.8313
n.48     1.6578        -2.7892
n.49    -2.0422        -2.7169
n.50    -3.2120        -2.7096
n.51    -3.3181        -2.6771
n.52    -3.5434        -2.6614
n.53    -1.2048        -2.6530
n.54     0.1614        -2.5976
n.55     2.2108        -2.5072
n.56     2.2036        -2.5048
n.57     2.9398        -2.4988
n.58     1.1795        -2.3771
n.59     1.8241        -2.3614
n.60     1.9181        -2.3398
n.61     1.9602        -2.2976
n.62     1.6687        -2.2687
n.63     2.0940        -2.2373
n.64     2.6169        -2.1747
n.65     5.3386        -2.1265
n.66     2.7590        -2.1241
n.67     2.6639        -2.1241
n.68     1.7747        -2.1241
n.69     0.4952        -2.1229
n.70    -0.0542        -2.1108
n.71    -0.0976        -2.0554
n.72     0.4060        -2.0422
n.73     2.2651        -2.0349
n.74     3.0012        -1.8699
n.75     2.3928        -1.8578
n.76     0.3759        -1.7783
n.77    -1.1699        -1.7373
n.78    -1.2831        -1.7373
n.79     2.1627        -1.7361
n.80     3.1807        -1.7289
n.81     1.9843        -1.6446
n.82     0.6048        -1.6398
n.83    -1.7373        -1.6145
n.84    -4.0554        -1.6084
n.85    -3.8108        -1.6012
n.86    -3.0060        -1.5386
n.87    -2.1241        -1.5169
n.88    -1.6084        -1.5084
n.89    -2.6530        -1.4482
n.90    -2.6771        -1.4217
n.91    -2.9530        -1.3831
n.92    -3.9928        -1.3639
n.93    -2.6614        -1.3627
n.94    -0.3651        -1.3422
n.95    -1.1072        -1.3145
n.96    -0.9458        -1.2831
n.97    -1.1277        -1.2590
n.98    -0.1867        -1.2494
n.99    -0.0096        -1.2289
n.100     0.0880        -1.2048
n.101    -0.6422        -1.1699
n.102    -0.3904        -1.1470
n.103    -0.0325        -1.1277
n.104    -0.6988        -1.1072
n.105    -3.1904        -1.0940
n.106    -5.2048        -1.0735
n.107    -3.4145        -1.0482
n.108    -3.3325        -1.0181
n.109     0.2590        -1.0108
n.110     4.3361        -0.9916
n.111     0.0277        -0.9458
n.112    -0.3205        -0.9373
n.113    -0.5120        -0.9289
n.114     0.4253        -0.8373
n.115     2.8699        -0.8349
n.116     4.5904        -0.8217
n.117     4.1614        -0.7518
n.118     3.0181        -0.7410
n.119     0.1096        -0.7217
n.120    -1.3831        -0.7084
n.121    -0.7410        -0.6988
n.122    -0.3349        -0.6807
n.123     0.5614        -0.6506
n.124     2.4048        -0.6422
n.125     2.5723        -0.5855
n.126     2.7036        -0.5566
n.127     2.7783        -0.5434
n.128     2.4096        -0.5157
n.129     2.5036        -0.5145
n.130     1.9060        -0.5120
n.131     1.6639        -0.4988
n.132     0.7265        -0.4747
n.133     1.7289        -0.4651
n.134     3.4060        -0.4289
n.135     4.6916        -0.4253
n.136     5.0699        -0.3904
n.137     5.1747        -0.3855
n.138     4.4458        -0.3831
n.139    -0.1157        -0.3807
n.140    -3.0181        -0.3783
n.141    -2.1241        -0.3651
n.142    -3.5337        -0.3566
n.143    -1.7289        -0.3349
n.144    -0.1108        -0.3349
n.145     0.8807        -0.3205
n.146     1.5759        -0.3036
n.147     2.3072        -0.2048
n.148     2.6687        -0.2000
n.149     1.1301        -0.1988
n.150     1.3458        -0.1964
n.151     0.3133        -0.1867
n.152     0.6349        -0.1542
n.153     0.5928        -0.1361
n.154    -0.1964        -0.1361
n.155    -1.5386        -0.1205
n.156    -2.7096        -0.1157
n.157    -4.0072        -0.1108
n.158    -4.3470        -0.1096
n.159    -4.0590        -0.1000
n.160    -2.5072        -0.0976
n.161    -2.5976        -0.0542
n.162    -2.7892        -0.0542
n.163    -2.1108        -0.0458
n.164    -1.0735        -0.0386
n.165     0.3855        -0.0373
n.166     1.4277        -0.0325
n.167     1.1807        -0.0096
n.168     1.2771         0.0277
n.169     0.4434         0.0627
n.170    -4.1747         0.0699
n.171    -3.7012         0.0880
n.172    -4.4831         0.1096
n.173    -4.4554         0.1145
n.174    -3.3012         0.1289
n.175    -3.4711         0.1373
n.176    -2.9482         0.1614
n.177    -1.7361         0.1892
n.178    -2.0554         0.1952
n.179    -1.7783         0.2205
n.180    -2.2976         0.2398
