I dati analizzati provengono dal file: data/1947.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -7.2639       -10.8988
n.2    -7.4373       -10.3000
n.3    -8.5349        -9.8241
n.4    -7.0783        -8.9205
n.5    -6.3084        -8.5349
n.6   -10.3000        -7.9892
n.7   -10.8988        -7.4373
n.8    -9.8241        -7.2639
n.9    -6.3386        -7.2434
n.10    -4.5048        -7.2181
n.11    -4.6229        -7.0783
n.12    -1.8639        -7.0217
n.13    -2.3506        -6.8229
n.14    -0.8108        -6.7663
n.15    -1.9096        -6.7253
n.16    -2.1675        -6.5795
n.17    -1.5169        -6.3819
n.18     0.1434        -6.3386
n.19    -1.3831        -6.3157
n.20    -2.6566        -6.3084
n.21    -4.2349        -6.2494
n.22    -4.3265        -6.2398
n.23    -5.6518        -6.1542
n.24    -6.2494        -6.1373
n.25    -6.8229        -6.0361
n.26    -6.5795        -6.0169
n.27    -4.6048        -6.0133
n.28    -3.9807        -5.7000
n.29    -6.1542        -5.6627
n.30    -7.0217        -5.6518
n.31    -5.7000        -5.4964
n.32    -8.9205        -5.1313
n.33    -7.9892        -5.1108
n.34    -4.1602        -4.9060
n.35    -2.4928        -4.8422
n.36    -2.9217        -4.6386
n.37    -5.4964        -4.6229
n.38    -6.7253        -4.6048
n.39    -2.3458        -4.5048
n.40    -1.5301        -4.5012
n.41    -0.9108        -4.3265
n.42    -0.5205        -4.2349
n.43    -3.7494        -4.1759
n.44    -6.0169        -4.1602
n.45    -6.0133        -3.9807
n.46    -6.7663        -3.8422
n.47    -6.3157        -3.7867
n.48    -3.8422        -3.7494
n.49    -4.8422        -3.6699
n.50    -3.3120        -3.5277
n.51    -7.2181        -3.5205
n.52    -7.2434        -3.4145
n.53    -3.0048        -3.3831
n.54    -2.3386        -3.3723
n.55    -1.9892        -3.3120
n.56    -2.5964        -3.1253
n.57    -2.1602        -3.0301
n.58    -3.5205        -3.0048
n.59    -4.1759        -2.9217
n.60    -6.3819        -2.8084
n.61    -6.2398        -2.6566
n.62    -5.1313        -2.5964
n.63    -4.9060        -2.5747
n.64    -3.3831        -2.5590
n.65    -2.0614        -2.5337
n.66    -0.9410        -2.5012
n.67    -1.5361        -2.4928
n.68    -1.6253        -2.4771
n.69    -2.0048        -2.3880
n.70    -1.3542        -2.3506
n.71     0.4024        -2.3458
n.72    -0.2940        -2.3386
n.73     0.2651        -2.2542
n.74     1.1012        -2.2506
n.75    -1.5072        -2.2398
n.76    -1.7241        -2.1855
n.77    -0.4699        -2.1675
n.78    -0.6831        -2.1602
n.79    -0.4373        -2.1470
n.80     1.5807        -2.1446
n.81     0.6843        -2.1241
n.82     1.1048        -2.1145
n.83     1.8627        -2.0614
