I dati analizzati provengono dal file: data/2015.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -1.4639        -3.6337
n.2    -0.0373        -3.4024
n.3     2.5651        -3.0458
n.4     5.5217        -2.9241
n.5     2.6916        -2.9072
n.6     1.7000        -2.8325
n.7     1.1012        -2.8193
n.8     1.8759        -2.6988
n.9     2.2614        -2.6699
n.10     6.6952        -2.6289
n.11     5.8771        -2.6253
n.12     3.5361        -2.5795
n.13     3.1494        -2.5711
n.14     4.7892        -2.5361
n.15     2.6904        -2.5012
n.16     5.7325        -2.4470
n.17     6.3831        -2.3602
n.18     2.9434        -2.2627
n.19     2.2169        -2.0916
n.20     2.4434        -1.9867
n.21     0.5651        -1.9602
n.22     2.9735        -1.9590
n.23     1.6482        -1.8964
n.24     2.0506        -1.8747
n.25     3.4771        -1.8337
n.26     1.1205        -1.8265
n.27     0.9952        -1.8108
n.28     0.0193        -1.7855
n.29    -0.5542        -1.7831
n.30     0.8783        -1.7651
n.31    -0.6000        -1.7349
n.32    -0.6205        -1.7277
n.33    -0.7892        -1.7157
n.34    -1.9602        -1.7145
n.35    -0.2928        -1.7012
n.36    -1.4217        -1.6867
n.37    -1.8964        -1.5735
n.38    -0.2253        -1.5590
n.39    -1.1458        -1.5289
n.40    -1.1301        -1.5253
n.41     1.8892        -1.4783
n.42     1.3795        -1.4699
n.43    -0.2494        -1.4639
n.44     1.2831        -1.4566
n.45     1.1867        -1.4482
n.46     2.0337        -1.4217
n.47     4.0843        -1.3470
n.48     3.7578        -1.2964
n.49     2.0578        -1.2735
n.50     0.6880        -1.2554
n.51     0.1819        -1.2108
n.52     0.7566        -1.1578
n.53     1.5952        -1.1458
n.54     0.0614        -1.1410
n.55     1.0108        -1.1301
n.56     3.3036        -1.1084
n.57     0.1398        -1.0892
n.58     0.6795        -1.0253
n.59     1.1241        -0.9771
n.60     1.3181        -0.9410
n.61     2.4602        -0.9241
n.62     2.2687        -0.9072
n.63     1.9940        -0.8518
n.64     1.6169        -0.8193
n.65     0.5386        -0.7892
n.66    -0.7410        -0.7759
n.67    -0.4361        -0.7711
n.68    -1.0253        -0.7687
n.69     0.1952        -0.7410
n.70     2.6458        -0.7145
n.71     1.5024        -0.6928
n.72     0.7060        -0.6843
n.73     0.8651        -0.6229
n.74     0.4012        -0.6205
n.75    -0.9072        -0.6133
n.76     0.6759        -0.6000
n.77     1.0301        -0.5542
n.78     1.3169        -0.5458
n.79     2.0627        -0.5313
n.80     1.1807        -0.5229
n.81    -0.1157        -0.5145
n.82    -0.1952        -0.5084
n.83     0.5627        -0.5000
n.84     0.5446        -0.4843
n.85     1.1892        -0.4530
n.86     1.9940        -0.4361
n.87     1.5759        -0.3904
n.88     2.6916        -0.3795
n.89     3.0470        -0.3361
n.90     3.7229        -0.3277
n.91     1.9470        -0.3181
n.92     0.1072        -0.3012
n.93     0.1386        -0.2928
n.94    -1.7651        -0.2723
n.95    -2.9072        -0.2494
n.96    -3.0458        -0.2373
n.97    -1.7277        -0.2253
n.98    -0.1867        -0.1952
n.99     1.1904        -0.1904
n.100     1.6880        -0.1867
n.101     1.7578        -0.1157
n.102     2.5096        -0.0398
n.103     4.3675        -0.0373
n.104     5.3012        -0.0205
n.105     5.3096         0.0193
n.106     3.5952         0.0277
n.107     1.2855         0.0458
n.108     0.9675         0.0614
n.109    -1.1410         0.1072
n.110     0.6361         0.1133
n.111     2.7277         0.1386
n.112     3.8795         0.1398
