I dati analizzati provengono dal file: data/1974.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1     3.4361        -7.1699
n.2     3.2627        -6.9518
n.3     3.5651        -6.4169
n.4     4.3217        -6.3976
n.5     2.5916        -6.1627
n.6     3.5000        -6.0916
n.7     1.6012        -5.8373
n.8     0.6759        -5.8325
n.9     1.8614        -5.7771
n.10     4.6952        -5.6169
n.11     1.5771        -5.6108
n.12     1.8361        -5.5590
n.13     1.2494        -5.4590
n.14     2.6892        -5.3904
n.15     2.1904        -5.3554
n.16     3.2325        -5.3482
n.17     4.8831        -5.3193
n.18     3.5434        -5.2747
n.19     5.2169        -5.2675
n.20     6.3434        -5.1289
n.21     4.2651        -5.0458
n.22     2.7735        -4.9795
n.23     1.7482        -4.9506
n.24     2.0506        -4.8651
n.25     2.0771        -4.8193
n.26     2.4205        -4.7446
n.27     2.5952        -4.7072
n.28     1.0193        -4.6036
n.29     1.4458        -4.5892
n.30     2.7783        -4.4687
n.31     3.5000        -4.3988
n.32     3.9795        -4.2687
n.33     4.4108        -4.1554
n.34     4.8398        -4.1325
n.35     3.9072        -4.1157
n.36     1.8783        -4.0807
n.37     1.8036        -4.0590
n.38     0.5747        -4.0410
n.39     0.4542        -4.0386
n.40     0.1699        -4.0301
n.41     1.1892        -3.9892
n.42     4.1795        -3.9361
n.43     4.3506        -3.9012
n.44     4.3831        -3.7976
n.45     3.8867        -3.7819
n.46     3.9337        -3.7759
n.47     4.0843        -3.7434
n.48     4.0578        -3.7217
n.49     4.5578        -3.7096
n.50     4.6880        -3.6783
n.51     2.9819        -3.6602
n.52     1.9566        -3.6554
n.53     2.1952        -3.5361
n.54     2.5614        -3.4735
n.55     2.6108        -3.4145
n.56     1.2036        -3.3651
n.57     0.1398        -3.2940
n.58    -1.6205        -3.2735
n.59    -1.4759        -3.2398
n.60    -2.6819        -3.2386
n.61    -2.0398        -3.2217
n.62    -2.8313        -3.1398
n.63    -2.2060        -3.1241
n.64    -1.4831        -3.1145
n.65    -1.3614        -3.0976
n.66     0.2590        -3.0904
n.67    -0.1361        -3.0554
n.68    -0.5253        -3.0145
n.69    -0.8048        -3.0084
n.70    -1.4542        -2.9952
n.71    -1.5976        -2.9904
n.72    -0.9940        -2.9747
n.73    -0.8349        -2.9084
n.74     0.4012        -2.8361
n.75    -1.1072        -2.8313
n.76     1.2759        -2.8205
n.77     1.4301        -2.7458
n.78     3.1169        -2.7313
n.79     3.0627        -2.7181
n.80     3.8807        -2.7133
n.81     3.7843        -2.6819
n.82     3.2048        -2.6530
n.83     2.4627        -2.6361
n.84     2.0446        -2.6048
n.85     0.6892        -2.5904
n.86     1.2940        -2.5831
n.87     0.6759        -2.5639
n.88     1.3916        -2.5012
n.89     2.7470        -2.4494
n.90     2.7229        -2.3855
n.91     1.1470        -2.3831
n.92     1.4072        -2.3759
n.93     1.9386        -2.3108
n.94     1.4349        -2.3024
n.95     0.9928        -2.2723
n.96     1.1542        -2.2542
n.97     0.5723        -2.2301
n.98     1.9133        -2.2277
n.99     2.1904        -2.2060
n.100     1.2880        -2.1964
n.101     0.3578        -2.1699
n.102     0.2096        -2.1277
n.103     0.2675        -2.0940
n.104     0.8012        -2.0711
n.105    -0.6904        -2.0398
n.106    -2.6048        -2.0373
n.107    -3.1145        -2.0193
n.108    -4.1325        -1.9916
n.109    -4.0410        -1.9482
n.110    -2.5639        -1.9120
n.111    -1.1723        -1.8904
n.112    -1.6205        -1.8470
n.113    -1.9120        -1.7566
n.114    -2.9747        -1.7386
n.115    -4.0301        -1.7373
n.116    -3.7096        -1.7000
n.117    -4.0386        -1.6747
n.118    -3.7819        -1.6699
n.119    -2.5904        -1.6205
n.120    -2.3831        -1.6205
n.121    -0.4410        -1.5976
n.122    -1.1349        -1.5964
n.123    -3.2386        -1.5217
n.124    -2.9952        -1.4831
n.125    -2.1277        -1.4759
n.126    -1.5964        -1.4651
n.127    -3.7217        -1.4542
n.128    -3.0904        -1.4012
n.129    -2.1964        -1.3855
n.130    -2.0940        -1.3855
n.131    -3.9361        -1.3614
n.132    -3.4735        -1.3313
n.133    -0.9711        -1.3012
n.134     0.8060        -1.2928
n.135    -0.6084        -1.2735
n.136    -0.4301        -1.2627
n.137     0.7747        -1.2145
n.138     0.7458        -1.1723
n.139     0.5843        -1.1530
n.140     2.3819        -1.1349
n.141     3.0759        -1.1301
n.142     3.2663        -1.1181
n.143     0.3711        -1.1072
n.144    -5.6108        -1.1000
n.145    -4.8193        -1.0108
n.146    -3.1241        -1.0048
n.147    -1.2928        -0.9940
n.148    -2.7313        -0.9867
n.149    -1.6699        -0.9795
n.150    -0.7542        -0.9747
n.151    -0.7867        -0.9711
n.152     1.1349        -0.9578
n.153     0.3928        -0.9434
n.154     1.4036        -0.9361
n.155     1.8614        -0.9253
n.156     1.8904        -0.9241
n.157     0.2928        -0.9205
n.158    -0.6470        -0.9157
n.159    -4.0590        -0.9145
n.160    -4.7072        -0.9012
n.161    -6.3976        -0.8349
n.162    -3.9892        -0.8289
n.163    -2.3108        -0.8048
n.164    -3.2735        -0.7867
n.165    -3.0145        -0.7590
n.166    -2.2723        -0.7542
