I dati analizzati provengono dal file: data/1998.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1     3.6361        -6.4542
n.2     3.8627        -6.2325
n.3     2.6651        -6.0000
n.4     1.3217        -5.3169
n.5     2.3916        -5.0904
n.6     1.9000        -5.0470
n.7     1.8012        -4.8952
n.8     1.8759        -4.7988
n.9     2.2614        -4.7747
n.10     2.6952        -4.6373
n.11     1.7771        -4.4145
n.12     1.4361        -4.3783
n.13     1.9494        -4.2554
n.14     3.2892        -4.2458
n.15     4.0904        -4.2108
n.16     4.7325        -4.1542
n.17     4.7831        -4.0843
n.18     2.2434        -4.0446
n.19     3.1169        -3.9217
n.20     1.8434        -3.6590
n.21     2.7651        -3.6108
n.22     0.8735        -3.5880
n.23    -0.0518        -3.5048
n.24    -0.5494        -3.4904
n.25     1.6771        -3.4723
n.26    -0.0795        -3.2145
n.27    -0.9048        -3.2048
n.28    -1.8807        -3.1952
n.29    -1.4542        -3.1759
n.30    -0.9217        -3.1133
n.31    -1.4000        -3.0422
n.32    -2.2205        -3.0193
n.33    -1.6892        -3.0145
n.34    -1.7602        -2.9735
n.35    -0.7928        -2.9133
n.36    -1.5217        -2.9060
n.37    -0.7964        -2.8988
n.38    -0.5253        -2.8831
n.39     0.6542        -2.8735
n.40    -0.2301        -2.8084
n.41    -0.2108        -2.7976
n.42     1.9795        -2.7687
n.43     2.8506        -2.7157
n.44     4.1831        -2.6337
n.45     5.6867        -2.6217
n.46     5.2337        -2.5181
n.47     5.5843        -2.4000
n.48     7.6578        -2.3530
n.49     5.1578        -2.3446
n.50     3.8880        -2.3229
n.51     5.0819        -2.3120
n.52     4.2566        -2.2940
n.53     4.4952        -2.2747
n.54     3.4614        -2.2482
n.55     4.1108        -2.2205
n.56     4.5036        -2.1783
n.57     4.4398        -2.1325
n.58     3.0795        -2.1313
n.59     3.4241        -2.1169
n.60     3.5181        -2.0892
n.61     2.0602        -2.0494
n.62     1.6687        -2.0277
n.63     2.9940        -2.0120
n.64     4.8169        -1.9699
n.65     1.5386        -1.9639
n.66     2.9590        -1.9410
n.67     3.2639        -1.9361
n.68     2.2747        -1.9048
n.69    -1.9048        -1.8867
n.70    -4.1542        -1.8807
n.71    -2.7976        -1.8699
n.72    -2.2940        -1.8542
n.73    -0.7349        -1.8386
n.74     3.2012        -1.8108
n.75     1.5928        -1.7940
n.76     2.9759        -1.7602
n.77     4.1301        -1.7253
n.78     2.9169        -1.6892
n.79     1.0627        -1.6892
n.80    -0.6193        -1.6807
n.81    -2.7157        -1.6506
n.82    -4.8952        -1.6446
n.83    -4.6373        -1.6313
n.84    -4.2554        -1.5916
n.85    -4.2108        -1.5795
n.86    -2.9060        -1.5723
n.87     0.3759        -1.5699
n.88     3.0916        -1.5410
n.89     3.6470        -1.5349
n.90     2.5229        -1.5217
n.91     3.1470        -1.4988
n.92     2.2072        -1.4904
n.93     2.7386        -1.4855
n.94     4.2349        -1.4578
n.95     3.1928        -1.4542
n.96     1.7542        -1.4169
n.97    -1.1277        -1.4108
n.98    -0.6867        -1.4024
n.99    -0.8096        -1.4000
n.100    -2.0120        -1.3566
n.101    -3.0422        -1.3012
n.102    -3.4904        -1.2795
n.103    -6.2325        -1.2771
n.104    -4.7988        -1.2506
n.105    -5.0904        -1.2398
n.106    -3.2048        -1.2205
n.107    -3.0145        -1.2169
n.108    -2.1325        -1.1494
n.109    -1.5410        -1.1398
n.110    -1.9639        -1.1361
n.111    -0.0723        -1.1277
n.112     0.2795        -1.0892
n.113     0.6880        -1.0867
n.114     2.2253        -1.0855
n.115     3.0699        -1.0566
n.116     3.9904        -1.0325
n.117     1.5614        -1.0193
n.118    -0.8819        -1.0193
n.119    -1.4904        -1.0024
n.120    -2.8831        -0.9542
n.121    -1.9410        -0.9530
n.122    -1.5349        -0.9217
n.123    -0.7386        -0.9048
n.124     1.0048        -0.8952
n.125    -0.0277        -0.8819
n.126    -0.0964        -0.8253
n.127    -0.0217        -0.8169
n.128     1.3096        -0.8096
n.129     2.2036        -0.8036
n.130     3.2060        -0.7964
n.131     4.2639        -0.7928
n.132     4.9265        -0.7795
n.133     5.5289        -0.7542
n.134     4.4060        -0.7386
n.135     3.8916        -0.7361
n.136     0.8699        -0.7349
n.137    -0.8253        -0.7181
n.138    -0.9542        -0.7157
n.139     0.8843        -0.7084
n.140     3.3819        -0.6867
n.141     3.2759        -0.6627
n.142     3.2663        -0.6289
n.143     0.7711        -0.6193
n.144    -1.4108        -0.6145
n.145    -1.0193        -0.5928
n.146    -0.2241        -0.5759
n.147    -0.5928        -0.5651
n.148    -2.1313        -0.5614
n.149    -1.9699        -0.5494
n.150    -0.7542        -0.5470
n.151    -1.0867        -0.5253
n.152    -0.5651        -0.4735
n.153     0.4928        -0.4651
n.154     2.0036        -0.4458
n.155     3.4614        -0.4265
n.156     4.5904        -0.3904
n.157     4.5928        -0.3253
n.158     1.4530        -0.3217
n.159     1.7410        -0.3145
n.160     2.2928        -0.2675
n.161     2.0024        -0.2373
n.162    -2.0892        -0.2361
n.163    -3.6108        -0.2301
n.164    -2.8735        -0.2241
n.165    -3.2145        -0.2241
n.166    -3.4723        -0.2108
n.167    -3.0193        -0.1855
n.168    -2.3229        -0.0964
n.169    -1.3566        -0.0867
n.170    -0.0747        -0.0795
n.171     1.1988        -0.0747
n.172     2.2169        -0.0723
n.173     2.4446        -0.0651
n.174     0.8988        -0.0518
n.175     0.7289        -0.0518
n.176     1.7518        -0.0277
n.177     2.1639        -0.0229
n.178     1.6446        -0.0217
n.179     2.5217         0.0024
n.180     2.7024         0.0241
n.181     1.6855         0.0446
n.182     2.2542         0.0988
n.183     1.8012         0.1145
n.184    -1.1494         0.1410
n.185    -0.2241         0.1446
n.186     0.2675         0.1855
n.187     0.7747         0.2036
n.188    -1.0892         0.2578
n.189    -2.0494         0.2675
n.190    -2.5181         0.2795
n.191    -0.5614         0.3723
n.192     0.2036         0.3759
n.193     0.9795         0.3892
n.194     0.6952         0.4012
n.195    -2.1169         0.4928
n.196    -3.5048         0.5265
n.197    -2.3120         0.5470
n.198    -1.0855         0.6398
n.199     0.3723         0.6542
n.200     1.3807         0.6880
n.201     3.0410         0.6952
n.202     4.2916         0.7096
n.203     4.2542         0.7289
n.204     3.9458         0.7711
n.205     4.7096         0.7723
n.206     3.8843         0.7747
n.207     2.6349         0.8084
n.208     2.3795         0.8084
n.209     0.9373         0.8157
n.210     0.7723         0.8699
n.211     1.8157         0.8735
n.212     1.6892         0.8843
n.213     0.4012         0.8988
n.214     1.8036         0.9373
n.215    -0.9530         0.9795
n.216     0.8084         1.0048
n.217     1.3771         1.0566
n.218     1.8819         1.0627
n.219     2.0410         1.0627
n.220     3.1145         1.0988
n.221     4.9699         1.1289
n.222     6.4566         1.1627
n.223     7.1783         1.1988
n.224     7.0000         1.2313
n.225     5.7289         1.2614
n.226     4.7627         1.2675
n.227     4.4422         1.3096
n.228     3.9651         1.3217
n.229     3.7096         1.3699
n.230     0.5265         1.3771
n.231     1.2675         1.3807
n.232     0.8157         1.4361
n.233     1.1289         1.4530
n.234     2.5916         1.5386
n.235     4.0000         1.5530
n.236     3.2398         1.5614
n.237     2.2867         1.5711
n.238     1.7217         1.5928
n.239     1.5530         1.6446
n.240    -2.3446         1.6687
n.241    -3.1759         1.6771
n.242    -1.9361         1.6855
n.243    -0.3145         1.6892
n.244     1.0988         1.7217
n.245     2.6253         1.7373
n.246     2.2627         1.7410
n.247    -0.0229         1.7518
n.248    -0.4735         1.7542
n.249    -0.0867         1.7711
n.250    -1.5916         1.7771
n.251    -0.5470         1.8012
n.252     0.1855         1.8012
n.253     1.5711         1.8036
n.254    -0.3253         1.8157
n.255    -1.0566         1.8434
n.256    -4.3783         1.8759
n.257    -4.7747         1.8819
n.258    -4.0843         1.9000
n.259    -2.1783         1.9494
n.260    -1.4169         1.9518
n.261    -1.2795         1.9795
n.262    -1.0024         2.0024
n.263    -1.2771         2.0036
n.264    -1.2205         2.0229
n.265    -1.5795         2.0410
n.266    -1.4024         2.0518
n.267    -0.7361         2.0602
n.268    -0.6145         2.1639
n.269    -0.3217         2.2036
n.270    -0.3904         2.2072
n.271    -0.4458         2.2169
n.272     0.1145         2.2253
n.273    -0.7157         2.2434
n.274    -0.7795         2.2542
n.275    -2.2747         2.2614
n.276    -1.5699         2.2627
n.277    -2.7687         2.2747
n.278    -1.7940         2.2867
n.279    -0.6289         2.2928
n.280    -0.2373         2.3795
n.281    -1.6807         2.3916
n.282    -1.4988         2.4446
n.283    -1.2506         2.5217
n.284    -0.2675         2.5229
n.285    -0.0651         2.5916
n.286     0.8084         2.6253
n.287    -1.2169         2.6349
n.288    -0.0518         2.6651
n.289     0.1410         2.6952
n.290     1.7373         2.7024
n.291     2.0229         2.7386
n.292     0.7096         2.7651
n.293    -0.7084         2.8506
n.294    -1.8699         2.8687
n.295    -1.3012         2.9169
n.296    -1.6892         2.9590
n.297     0.0241         2.9759
n.298     0.0446         2.9940
n.299    -1.2398         3.0410
n.300    -1.1398         3.0699
n.301    -0.7181         3.0795
n.302     1.0566         3.0916
n.303    -0.8036         3.1012
n.304    -1.0325         3.1145
n.305    -0.8169         3.1169
n.306     0.1446         3.1470
n.307     1.2313         3.1928
n.308     2.0518         3.2012
n.309     0.6398         3.2060
n.310    -0.4651         3.2398
n.311    -2.3530         3.2639
n.312    -2.9133         3.2663
n.313    -1.1361         3.2759
n.314     0.0024         3.2892
n.315     1.0627         3.3819
n.316    -1.4578         3.4241
n.317    -1.6446         3.4614
n.318    -3.1133         3.4614
n.319    -2.8084         3.5181
n.320    -1.8386         3.5627
n.321    -1.4855         3.6361
n.322    -3.9217         3.6470
n.323    -4.4145         3.7096
n.324    -5.3169         3.8627
n.325    -6.4542         3.8843
n.326    -6.0000         3.8880
n.327    -5.0470         3.8916
n.328    -2.6337         3.9458
n.329    -1.0193         3.9651
n.330    -0.4265         3.9904
n.331    -1.8867         4.0000
n.332    -1.7253         4.0904
n.333    -3.6590         4.1108
n.334    -2.4000         4.1301
n.335    -0.5759         4.1831
n.336    -1.8108         4.2349
n.337    -0.8952         4.2542
n.338     0.5470         4.2566
n.339    -1.6506         4.2639
n.340    -3.1952         4.2916
n.341    -4.0446         4.4060
n.342    -3.5880         4.4398
n.343    -4.2458         4.4422
n.344    -1.8542         4.4952
n.345    -2.0277         4.5036
n.346    -1.5723         4.5904
n.347    -0.1855         4.5928
n.348     1.7711         4.7096
n.349     1.3699         4.7325
n.350     0.0988         4.7627
n.351     1.1627         4.7831
n.352     0.3892         4.8169
n.353    -0.2361         4.9265
n.354    -0.6627         4.9699
n.355     1.2614         5.0819
n.356    -1.6313         5.1578
n.357    -2.8988         5.2337
n.358    -2.9735         5.5289
n.359    -2.6217         5.5843
n.360    -2.2482         5.6867
n.361     0.2578         5.7289
n.362     1.9518         6.4566
n.363     2.8687         7.0000
n.364     3.1012         7.1783
n.365     3.5627         7.6578

Dai dati sono state estrapolate le seguenti variabili.
Media: 0.3855
Varianza: 6.8563
Mediana: 0.1145
