I dati analizzati provengono dal file: data/1979.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1     1.1361        -9.6675
n.2    -5.7373        -9.6096
n.3    -5.7349        -9.5108
n.4    -4.9783        -8.9831
n.5    -4.8084        -8.1506
n.6    -2.3000        -7.9639
n.7    -2.6988        -6.9169
n.8    -2.9241        -6.5494
n.9    -2.0386        -6.0952
n.10    -3.3048        -5.7373
n.11    -2.6229        -5.7349
n.12    -7.9639        -5.7241
n.13    -8.1506        -5.3988
n.14    -9.5108        -5.3277
n.15    -9.6096        -5.3072
n.16    -9.6675        -5.2398
n.17    -6.9169        -5.2193
n.18    -5.1566        -5.1735
n.19    -8.9831        -5.1566
n.20    -4.9566        -5.0783
n.21    -3.6349        -4.9783
n.22    -0.8265        -4.9566
n.23     0.4482        -4.9386
n.24     1.3506        -4.8084
n.25     0.5771        -4.7759
n.26     1.0205        -4.7096
n.27     1.0952        -4.6964
n.28     2.0193        -4.6819
n.29     2.3458        -4.6458
n.30    -0.0217        -4.6446
n.31     0.1000        -4.5602
n.32    -0.8205        -4.5578
n.33     0.8108        -4.5470
n.34     0.5398        -4.4651
n.35     0.4072        -4.4133
n.36     2.3783        -4.3602
n.37     2.3036        -4.3325
n.38     1.8747        -4.2313
n.39     0.5542        -4.1325
n.40     0.5699        -4.1217
n.41     1.5892        -4.0759
n.42     1.8795        -4.0446
n.43     3.1506        -4.0398
n.44     2.4831        -3.9747
n.45     3.4867        -3.9398
n.46     3.2337        -3.8205
n.47     3.0843        -3.7639
n.48     2.7578        -3.7542
n.49     3.1578        -3.7229
n.50     0.4880        -3.6349
n.51     0.8819        -3.5482
n.52    -1.2434        -3.5217
n.53    -1.8048        -3.4386
n.54    -2.8386        -3.4361
n.55    -1.7892        -3.3904
n.56    -2.2964        -3.3843
n.57    -2.2602        -3.3530
n.58    -3.8205        -3.3410
n.59    -4.7759        -3.3386
n.60    -4.6819        -3.3301
n.61    -4.0398        -3.3048
n.62    -4.2313        -3.2723
n.63    -2.3060        -3.2265
n.64     0.1169        -3.1771
n.65     0.8386        -3.1747
n.66     2.5590        -3.1361
n.67     2.1639        -3.1253
n.68    -0.6253        -3.0904
n.69     1.0952        -3.0217
n.70     0.7458        -3.0145
n.71     2.2024        -3.0120
n.72     2.9060        -3.0012
n.73     2.8651        -2.9928
n.74     2.6012        -2.9904
n.75     0.9928        -2.9904
n.76    -1.8241        -2.9819
n.77    -0.9699        -2.9566
n.78    -0.1831        -2.9241
n.79    -0.0373        -2.9205
n.80    -0.6193        -2.8554
n.81     0.4843        -2.8458
n.82     0.2048        -2.8386
n.83     0.1627        -2.7627
n.84    -0.7554        -2.7614
n.85    -0.3108        -2.6988
n.86     0.3940        -2.6530
n.87    -1.2241        -2.6229
n.88    -2.6084        -2.6193
n.89    -3.3530        -2.6145
n.90    -3.1771        -2.6133
n.91    -2.6530        -2.6084
n.92    -2.9928        -2.6024
n.93    -2.7614        -2.5831
n.94    -2.5651        -2.5687
n.95    -5.3072        -2.5651
n.96    -4.6458        -2.5386
n.97    -1.8277        -2.4855
n.98    -1.8867        -2.4723
n.99    -1.4096        -2.4711
n.100    -0.2120        -2.4000
n.101    -1.3422        -2.3867
n.102    -0.9904        -2.3337
n.103    -0.2325        -2.3060
n.104     0.9012        -2.3000
n.105     1.4096        -2.2964
n.106     0.9952        -2.2964
n.107    -1.4145        -2.2602
n.108    -0.9325        -2.2169
n.109    -3.3410        -2.1735
n.110    -3.7639        -2.1687
n.111    -3.2723        -2.1157
n.112    -2.9205        -2.1084
n.113    -3.0120        -2.0940
n.114    -3.1747        -2.0916
n.115    -3.3301        -2.0554
n.116    -4.7096        -2.0458
n.117    -3.4386        -2.0410
n.118    -2.9819        -2.0386
n.119    -2.9904        -1.9795
n.120    -2.5831        -1.9470
n.121    -2.0410        -1.9217
n.122    -1.6349        -1.9181
n.123    -4.9386        -1.8867
n.124    -6.0952        -1.8795
n.125    -5.3277        -1.8301
n.126    -4.6964        -1.8277
n.127    -4.1217        -1.8241
n.128    -3.3904        -1.8048
n.129    -2.2964        -1.7892
n.130    -0.7940        -1.7892
n.131     0.2639        -1.7735
n.132     1.4265        -1.7084
n.133     0.8289        -1.6349
n.134    -0.0940        -1.6325
n.135     0.4916        -1.5783
n.136     0.5699        -1.5217
n.137     0.6747        -1.5169
n.138     0.6458        -1.4711
n.139     0.7843        -1.4361
n.140     1.1819        -1.4145
n.141    -1.2241        -1.4096
n.142    -0.5337        -1.4048
n.143     0.3711        -1.3988
n.144     0.2892        -1.3759
n.145    -0.5193        -1.3699
n.146     0.3759        -1.3422
n.147    -0.5928        -1.3036
n.148     0.7687        -1.2434
n.149     2.5301        -1.2241
n.150     4.1458        -1.2241
n.151     5.2133        -1.1988
