I dati analizzati provengono dal file: data/1963.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -0.5639       -12.1964
n.2    -2.1373       -11.2253
n.3     0.4651       -10.4108
n.4     0.9217       -10.2217
n.5    -0.1084        -9.3928
n.6     0.2000        -9.1892
n.7     1.8012        -9.1518
n.8     0.8759        -9.1217
n.9     0.4614        -8.9108
n.10     1.5952        -8.9096
n.11     1.1771        -8.8000
n.12    -0.1639        -8.7205
n.13    -4.3506        -8.6361
n.14   -10.4108        -8.2229
n.15    -8.9096        -8.1807
n.16    -7.9675        -8.1349
n.17    -6.9169        -7.9675
n.18    -6.5566        -7.9494
n.19    -6.2831        -7.9265
n.20    -7.5566        -7.8133
n.21    -8.1349        -7.7373
n.22    -7.9265        -7.5795
n.23    -9.1518        -7.5566
n.24    -7.9494        -7.5542
n.25    -8.2229        -7.3819
n.26    -7.5795        -7.2663
n.27    -4.7048        -7.2398
n.28    -8.1807        -6.9602
n.29    -7.5542        -6.9169
n.30    -9.1217        -6.6301
n.31    -8.8000        -6.5566
n.32    -8.7205        -6.4313
n.33    -9.1892        -6.2831
n.34    -6.9602        -6.2482
n.35    -9.3928        -6.2012
n.36   -10.2217        -6.0313
n.37   -12.1964        -5.8735
n.38   -11.2253        -5.8169
n.39    -5.2458        -5.5759
n.40    -2.3301        -5.5627
n.41    -2.6108        -5.5602
n.42    -3.5205        -5.4325
n.43    -2.7494        -5.3892
n.44    -5.8169        -5.3386
n.45    -7.8133        -5.2964
n.46    -7.2663        -5.2843
n.47    -3.9157        -5.2458
n.48    -4.8422        -5.2084
n.49    -4.6422        -5.1482
n.50    -2.3120        -5.1205
n.51    -3.0181        -4.9711
n.52    -1.9434        -4.8422
n.53    -3.6048        -4.7048
n.54    -5.3386        -4.6759
n.55    -5.3892        -4.6554
n.56    -5.2964        -4.6422
n.57    -5.5602        -4.5988
n.58    -5.1205        -4.4084
n.59    -5.5759        -4.3916
n.60    -7.3819        -4.3506
n.61    -7.2398        -4.2735
n.62    -6.4313        -4.2060
n.63    -4.2060        -4.1988
n.64    -2.2831        -4.0373
n.65    -2.7614        -4.0289
n.66    -2.1410        -4.0217
n.67    -1.0361        -4.0000
n.68    -0.0253        -3.9422
n.69    -0.2048        -3.9157
n.70    -2.7542        -3.8904
n.71    -0.1976        -3.8361
n.72    -0.4940        -3.8108
n.73    -0.9349        -3.6470
n.74    -0.5988        -3.6470
n.75    -1.2072        -3.6373
n.76    -0.2241        -3.6048
n.77    -0.5699        -3.6048
n.78     0.1169        -3.5205
n.79    -1.4373        -3.4723
n.80    -0.6193        -3.4386
n.81    -1.3157        -3.4072
n.82    -1.3952        -3.3301
n.83    -3.6373        -3.3181
n.84    -4.6554        -3.2590
n.85    -3.8108        -3.2349
n.86    -1.6060        -3.1867
n.87    -0.0241        -3.1434
n.88    -1.3084        -3.1313
n.89    -2.4530        -3.1241
n.90    -1.7771        -3.1145
n.91    -1.3530        -3.1096
n.92    -2.2928        -3.1036
n.93    -1.6614        -3.0446
n.94    -2.5651        -3.0386
n.95    -3.0072        -3.0205
n.96    -2.9458        -3.0181
n.97    -2.6277        -3.0072
n.98    -2.6867        -2.9855
n.99    -0.9096        -2.9458
n.100    -1.4120        -2.8976
n.101    -0.1422        -2.8145
n.102     0.4096        -2.8145
n.103     0.8675        -2.8072
n.104     0.7012        -2.7940
n.105     0.1096        -2.7614
n.106     0.2952        -2.7590
n.107     1.2855        -2.7542
n.108    -0.9325        -2.7494
n.109     0.6590        -2.6867
n.110     2.4361        -2.6614
n.111     1.6277        -2.6277
n.112     2.0795        -2.6277
n.113     1.4880        -2.6108
n.114     1.3253        -2.5651
n.115     0.6699        -2.5542
n.116     1.9904        -2.5012
n.117     1.6614        -2.4952
n.118     1.0181        -2.4530
n.119     2.1096        -2.4506
n.120     2.2169        -2.4434
n.121     0.9590        -2.4289
n.122     0.4651        -2.3988
n.123    -2.2386        -2.3325
n.124    -2.4952        -2.3325
n.125    -2.6277        -2.3301
n.126    -1.4964        -2.3120
n.127    -0.8217        -2.2928
n.128     0.1096        -2.2855
n.129     0.9036        -2.2831
n.130    -0.0940        -2.2398
n.131    -1.6361        -2.2386
n.132    -0.4735        -2.2193
n.133    -0.1711        -2.1964
n.134    -2.7940        -2.1735
n.135    -4.4084        -2.1602
n.136    -3.3301        -2.1578
n.137    -0.4253        -2.1458
n.138    -0.0542        -2.1410
n.139    -1.6157        -2.1373
n.140    -3.3181        -2.1373
n.141    -3.1241        -2.1337
n.142    -2.1337        -2.1253
n.143    -0.3289        -2.0627
n.144    -0.7108        -2.0181
n.145    -0.1193        -1.9482
n.146     0.1759        -1.9434
n.147     1.5072        -1.9301
n.148     1.8687        -1.9217
n.149     1.2301        -1.9169
n.150    -0.3542        -1.8964
n.151    -1.0867        -1.8855
n.152    -0.7651        -1.8000
n.153    -1.7072        -1.7892
n.154    -1.8964        -1.7771
n.155    -3.4386        -1.7277
n.156    -3.1096        -1.7072
n.157    -3.4072        -1.6614
n.158    -3.6470        -1.6361
n.159    -3.2590        -1.6157
n.160    -2.8072        -1.6157
n.161    -2.8976        -1.6060
n.162    -1.7892        -1.5843
n.163    -1.3108        -1.5771
n.164    -2.1735        -1.5229
n.165    -3.1145        -1.5145
n.166    -3.4723        -1.4964
n.167    -2.2193        -1.4916
n.168    -1.3229        -1.4783
n.169    -0.9566        -1.4747
n.170     0.1253        -1.4675
