I dati analizzati provengono dal file: data/1977.txt
Sono stai analizzati i seguinti 365 valori.

        da file       ordinati
n.1    -1.3639        -8.4675
n.2    -0.7373        -8.3831
n.3    -1.9349        -8.2169
n.4    -0.1783        -7.1566
n.5     0.8916        -6.7108
n.6     0.8000        -6.6795
n.7     0.6012        -6.6771
n.8     0.8759        -6.3024
n.9    -1.0386        -6.2711
n.10    -0.8048        -6.0566
n.11    -0.3229        -5.8795
n.12    -0.0639        -5.8205
n.13    -4.8506        -5.8205
n.14    -6.7108        -5.7627
n.15    -4.7096        -5.7169
n.16    -8.4675        -5.5470
n.17    -8.2169        -5.4000
n.18    -7.1566        -5.2843
n.19    -8.3831        -5.2530
n.20    -6.0566        -5.2096
n.21    -3.4349        -5.2084
n.22    -0.5265        -5.1108
n.23    -0.0518        -5.0771
n.24    -0.3494        -5.0277
n.25    -1.5229        -4.9422
n.26     0.2205        -4.8843
n.27    -0.1048        -4.8711
n.28    -1.1807        -4.8506
n.29    -0.8542        -4.7096
n.30    -2.6217        -4.6446
n.31    -1.0000        -4.6361
n.32    -0.1205        -4.6337
n.33    -0.0892        -4.5506
n.34    -1.3602        -4.5120
n.35    -0.5928        -4.5024
n.36     1.2783        -4.4000
n.37     2.5036        -4.3627
n.38     2.7747        -4.2952
n.39     2.1542        -4.2602
n.40     1.3699        -4.1952
n.41     1.4892        -4.1651
n.42     1.9795        -4.1325
n.43     2.5506        -4.1253
n.44     1.2831        -4.0964
n.45     2.5867        -3.9940
n.46     0.6337        -3.9904
n.47    -1.1157        -3.9831
n.48    -0.5422        -3.9530
n.49     0.6578        -3.9084
n.50     2.1880        -3.8964
n.51     2.4819        -3.8651
n.52     3.8566        -3.7687
n.53     1.9952        -3.7554
n.54     3.4614        -3.7386
n.55     2.7108        -3.7313
n.56     4.2036        -3.7301
n.57     1.6398        -3.7193
n.58     1.2795        -3.6928
n.59     0.3241        -3.6723
n.60    -0.2819        -3.6542
n.61    -0.5398        -3.6072
n.62     1.4687        -3.5976
n.63     5.6940        -3.5964
n.64     5.6169        -3.5530
n.65     4.4386        -3.5000
n.66     2.9590        -3.4759
n.67     4.0639        -3.4711
n.68     4.1747        -3.4542
n.69     4.3952        -3.4530
n.70     2.9458        -3.4470
n.71     1.5024        -3.4458
n.72     0.5060        -3.4446
n.73     1.1651        -3.4361
n.74     0.4012        -3.4349
n.75     1.6928        -3.4145
n.76     2.0759        -3.4145
n.77     1.7301        -3.4133
n.78     0.7169        -3.4120
n.79    -0.4373        -3.4084
n.80     0.1807        -3.3108
n.81    -0.6157        -3.2988
n.82     2.8048        -3.2940
n.83     0.7627        -3.2904
n.84     2.2446        -3.2217
n.85     3.4892        -3.2217
n.86     3.3940        -3.2012
n.87     1.6759        -3.1482
n.88    -3.9084        -3.0964
n.89    -5.2530        -3.0699
n.90    -5.0771        -3.0458
n.91    -3.5530        -3.0157
n.92    -0.5928        -2.9916
n.93    -0.5614        -2.9590
n.94    -1.1651        -2.9434
n.95     0.4928        -2.9361
n.96    -1.2458        -2.9301
n.97    -1.7277        -2.9277
n.98    -1.6867        -2.9169
n.99    -5.2096        -2.8711
n.100    -4.5120        -2.8361
n.101    -4.9422        -2.8253
n.102    -3.9904        -2.8072
n.103    -0.6325        -2.7783
n.104     0.2012        -2.7783
n.105    -1.9904        -2.7494
n.106    -2.5048        -2.7373
n.107    -2.0145        -2.7229
n.108    -1.3325        -2.7145
n.109    -1.8410        -2.6855
n.110    -0.7639        -2.6699
n.111    -0.8723        -2.6217
n.112    -0.0205        -2.6084
n.113     0.4880        -2.6000
n.114     1.5253        -2.5855
n.115     2.2699        -2.5458
n.116     1.4904        -2.5277
n.117     1.8614        -2.5048
n.118     0.4181        -2.4904
n.119     0.5096        -2.4735
n.120     0.6169        -2.4386
n.121    -0.2410        -2.4217
n.122    -0.2349        -2.4108
n.123    -0.8386        -2.3940
n.124    -0.0952        -2.3904
n.125    -2.9277        -2.2759
n.126    -3.0964        -2.2590
n.127    -3.2217        -2.2554
n.128    -3.2904        -2.2470
n.129    -3.8964        -2.2193
n.130    -3.2940        -2.2096
n.131    -1.7361        -2.1590
n.132    -1.2735        -2.1542
n.133    -3.4711        -2.0988
n.134    -3.9940        -2.0867
n.135    -3.4084        -2.0289
n.136    -3.7301        -2.0181
n.137    -2.8253        -2.0145
n.138    -3.6542        -1.9904
n.139    -0.7157        -1.9855
n.140    -0.7181        -1.9349
n.141    -1.5241        -1.9253
n.142    -0.4337        -1.9181
n.143     0.0711        -1.9157
n.144     0.0892        -1.9145
n.145     0.5807        -1.8855
n.146    -0.9241        -1.8410
n.147    -3.6928        -1.8301
n.148    -3.7313        -1.8012
n.149    -2.6699        -1.7361
n.150    -1.4542        -1.7277
n.151    -2.0867        -1.7217
n.152    -3.8651        -1.7193
n.153    -3.6072        -1.7012
n.154    -3.5964        -1.6867
n.155    -2.4386        -1.6590
n.156    -2.2096        -1.6578
n.157    -2.8072        -1.5373
n.158    -2.2470        -1.5241
n.159    -2.1590        -1.5229
n.160    -1.2072        -1.4542
n.161    -0.5976        -1.4169
n.162     0.0108        -1.3843
n.163     0.0892        -1.3747
n.164     0.5265        -1.3747
n.165    -1.9145        -1.3639
n.166    -3.6723        -1.3602
n.167    -2.2193        -1.3325
n.168     0.2771        -1.3265
n.169    -0.2566        -1.2904
n.170    -1.2747        -1.2747
n.171    -1.8012        -1.2735
n.172    -3.9831        -1.2458
n.173    -3.7554        -1.2072
n.174    -3.2012        -1.1807
n.175    -2.8711        -1.1651
n.176    -3.1482        -1.1289
n.177    -3.4361        -1.1157
n.178    -2.2554        -1.0988
n.179    -2.7783        -1.0988
n.180    -3.5976        -1.0771
n.181    -3.4145        -1.0386
n.182    -3.0458        -1.0349
n.183    -2.0988        -1.0000
n.184    -0.7494        -0.9880
n.185    -0.3241        -0.9614
n.186    -0.5325        -0.9386
n.187    -0.8253        -0.9241
n.188    -0.7892        -0.9145
n.189    -2.7494        -0.8904
n.190    -2.0181        -0.8867
n.191    -0.9614        -0.8795
n.192     0.1036        -0.8723
n.193     0.8795        -0.8542
n.194    -0.7048        -0.8518
n.195    -1.4169        -0.8386
n.196    -0.8048        -0.8313
n.197    -3.4120        -0.8253
n.198    -2.5855        -0.8048
n.199    -2.5277        -0.8048
n.200    -1.7193        -0.8012
n.201    -1.6590        -0.7892
n.202    -2.6084        -0.7639
n.203    -3.4458        -0.7566
n.204    -3.4542        -0.7494
n.205    -2.3904        -0.7373
n.206    -3.0157        -0.7181
n.207    -4.1651        -0.7157
n.208    -5.8205        -0.7048
n.209    -5.7627        -0.6542
n.210    -5.0277        -0.6325
n.211    -4.8843        -0.6289
n.212    -5.1108        -0.6157
n.213    -3.2988        -0.5976
n.214    -4.0964        -0.5928
n.215    -3.9530        -0.5928
n.216    -2.9916        -0.5916
n.217    -2.7229        -0.5783
n.218    -1.9181        -0.5614
n.219    -2.2590        -0.5422
n.220    -1.9855        -0.5398
n.221    -2.9301        -0.5325
n.222    -2.9434        -0.5265
n.223    -3.2217        -0.5169
n.224    -4.4000        -0.4651
n.225    -4.8711        -0.4373
n.226    -2.7373        -0.4337
n.227    -1.6578        -0.3494
n.228    -1.0349        -0.3277
n.229    -0.8904        -0.3241
n.230    -2.4735        -0.3229
n.231    -4.1325        -0.2819
n.232    -5.2843        -0.2783
n.233    -6.2711        -0.2566
n.234    -5.2084        -0.2410
n.235    -5.4000        -0.2349
n.236    -4.2602        -0.1855
n.237    -3.4133        -0.1783
n.238    -2.7783        -0.1590
n.239    -3.4470        -0.1422
n.240    -3.4446        -0.1205
n.241    -2.2759        -0.1048
n.242    -2.8361        -0.0952
n.243    -0.9145        -0.0892
n.244    -0.8012        -0.0747
n.245    -0.0747        -0.0735
n.246     0.0627        -0.0639
n.247     0.3771        -0.0518
n.248    -0.0735        -0.0205
n.249     0.0133        -0.0084
n.250     0.1084         0.0108
n.251     0.7530         0.0133
